subject,event,ch1,ch2,coh_mean
D0057,Response,RPI14,RAMF10,0.22338170769616655
D0057,Response,RPI14,RAMF11,0.21313353329309911
D0057,Response,RPI14,RAMF12,0.2107799662531387
D0057,Response,RPI14,RAMF13,0.21393531850391045
D0057,Response,RPI14,RAMF14,0.22303566951837123
D0057,Response,RPI14,RAI15,0.22807078002657694
D0057,Response,RPI14,RAI16,0.21526387237416852
D0057,Response,RPI14,RPI15,0.26486535370991054
D0057,Response,RPI14,RAI12,0.22923221131699248
D0057,Response,RPI14,RAI13,0.24198672401013546
D0057,Response,RPI14,RAI14,0.22197851833371623
D0057,Response,RAMF10,RAMF11,0.7577949189357444
D0057,Response,RAMF10,RAMF12,0.6515707830874388
D0057,Response,RAMF10,RAMF13,0.4512694588836899
D0057,Response,RAMF10,RAMF14,0.29860613561723626
D0057,Response,RAMF10,RAI15,0.3691844323529302
D0057,Response,RAMF10,RAI16,0.3552944662357778
D0057,Response,RAMF10,RPI15,0.23995562412879065
D0057,Response,RAMF10,RAI12,0.3987985638422321
D0057,Response,RAMF10,RAI13,0.33287121770986794
D0057,Response,RAMF10,RAI14,0.2609948211593627
D0057,Response,RAMF11,RAMF12,0.7563052350524699
D0057,Response,RAMF11,RAMF13,0.4406705126363989
D0057,Response,RAMF11,RAMF14,0.278377114030121
D0057,Response,RAMF11,RAI15,0.38106048907646
D0057,Response,RAMF11,RAI16,0.3699985287454585
D0057,Response,RAMF11,RPI15,0.23034763597227265
D0057,Response,RAMF11,RAI12,0.3216302848627485
D0057,Response,RAMF11,RAI13,0.28022700211474677
D0057,Response,RAMF11,RAI14,0.24351618491368465
D0057,Response,RAMF12,RAMF13,0.6924974766496819
D0057,Response,RAMF12,RAMF14,0.43438219713663523
D0057,Response,RAMF12,RAI15,0.33939919160446175
D0057,Response,RAMF12,RAI16,0.3560587554726261
D0057,Response,RAMF12,RPI15,0.26584227816542133
D0057,Response,RAMF12,RAI12,0.302861371630358
D0057,Response,RAMF12,RAI13,0.28830309047686287
D0057,Response,RAMF12,RAI14,0.25438284114609017
D0057,Response,RAMF13,RAMF14,0.7573401869826369
D0057,Response,RAMF13,RAI15,0.25424592702473303
D0057,Response,RAMF13,RAI16,0.26906118602880547
D0057,Response,RAMF13,RPI15,0.3726082757181493
D0057,Response,RAMF13,RAI12,0.2581236812072035
D0057,Response,RAMF13,RAI13,0.2952577204149749
D0057,Response,RAMF13,RAI14,0.29795303073496465
D0057,Response,RAMF14,RAI15,0.2336181599455836
D0057,Response,RAMF14,RAI16,0.2414325001057679
D0057,Response,RAMF14,RPI15,0.45436680117315426
D0057,Response,RAMF14,RAI12,0.2340126484914345
D0057,Response,RAMF14,RAI13,0.2658307412543637
D0057,Response,RAMF14,RAI14,0.3318861209058902
D0057,Response,RAI15,RAI16,0.7927847815081291
D0057,Response,RAI15,RPI15,0.22416117601092495
D0057,Response,RAI15,RAI12,0.3789514075489873
D0057,Response,RAI15,RAI13,0.37746231876583747
D0057,Response,RAI15,RAI14,0.2960536740091855
D0057,Response,RAI16,RPI15,0.26141933136054835
D0057,Response,RAI16,RAI12,0.36534028409117725
D0057,Response,RAI16,RAI13,0.3402855531311605
D0057,Response,RAI16,RAI14,0.2861016721309753
D0057,Response,RPI15,RAI12,0.23283832655679304
D0057,Response,RPI15,RAI13,0.3093770866229719
D0057,Response,RPI15,RAI14,0.33901086433501776
D0057,Response,RAI12,RAI13,0.4012757824259862
D0057,Response,RAI12,RAI14,0.2804151304937624
D0057,Response,RAI13,RAI14,0.5269816829805071
