subject,event,ch1,ch2,coh_mean
D0100,Stimulus,LOAM15,LOMM15,0.39028017035769685
D0100,Stimulus,LOAM15,LOPM10,0.2690367174512467
D0100,Stimulus,LOAM15,LOMS13,0.36536165356710165
D0100,Stimulus,LOAM15,LOMS14,0.43102887119300104
D0100,Stimulus,LOAM15,LOMS15,0.4356347713750583
D0100,Stimulus,LOAM15,LOPS9,0.26444275006330503
D0100,Stimulus,LOAM15,LOPS11,0.3344756516469564
D0100,Stimulus,LOAM15,LOPS12,0.3682367388418309
D0100,Stimulus,LOAM15,LPPI14,0.3310281936215647
D0100,Stimulus,LOAM15,LPPI15,0.3386873983766349
D0100,Stimulus,LOAM15,LOMM13,0.4726829636994713
D0100,Stimulus,LOAM15,LOMM14,0.4566920036674172
D0100,Stimulus,LOAM15,LOMS11,0.3201616016347494
D0100,Stimulus,LOAM15,LOMS12,0.3876423056008964
D0100,Stimulus,LOAM15,LOPM8,0.22845177411263592
D0100,Stimulus,LOAM15,LOPM9,0.21702835554098204
D0100,Stimulus,LOAM15,LPPI7,0.26174522152217855
D0100,Stimulus,LOAM15,LPPI8,0.24397121803687719
D0100,Stimulus,LOAM15,LPPI9,0.24400651942642504
D0100,Stimulus,LOMM15,LOPM10,0.5757925108390822
D0100,Stimulus,LOMM15,LOMS13,0.7508250556035395
D0100,Stimulus,LOMM15,LOMS14,0.8018758166895757
D0100,Stimulus,LOMM15,LOMS15,0.8714791782765424
D0100,Stimulus,LOMM15,LOPS9,0.36650524658840167
D0100,Stimulus,LOMM15,LOPS11,0.38923420917848867
D0100,Stimulus,LOMM15,LOPS12,0.7473569967469991
D0100,Stimulus,LOMM15,LPPI14,0.7820202688933959
D0100,Stimulus,LOMM15,LPPI15,0.8142911407154736
D0100,Stimulus,LOMM15,LOMM13,0.7633318321415051
D0100,Stimulus,LOMM15,LOMM14,0.8108204242701151
D0100,Stimulus,LOMM15,LOMS11,0.5376329915887517
D0100,Stimulus,LOMM15,LOMS12,0.7037906565144034
D0100,Stimulus,LOMM15,LOPM8,0.24787204522213405
D0100,Stimulus,LOMM15,LOPM9,0.2382032508426881
D0100,Stimulus,LOMM15,LPPI7,0.5198607046305458
D0100,Stimulus,LOMM15,LPPI8,0.45338616773656026
D0100,Stimulus,LOMM15,LPPI9,0.3821766110633088
D0100,Stimulus,LOPM10,LOMS13,0.5743444866863778
D0100,Stimulus,LOPM10,LOMS14,0.5985715808243582
D0100,Stimulus,LOPM10,LOMS15,0.6082920774959333
D0100,Stimulus,LOPM10,LOPS9,0.4000619014731103
D0100,Stimulus,LOPM10,LOPS11,0.25753439835649766
D0100,Stimulus,LOPM10,LOPS12,0.625377654989235
D0100,Stimulus,LOPM10,LPPI14,0.4947899631603933
D0100,Stimulus,LOPM10,LPPI15,0.5053465872151515
D0100,Stimulus,LOPM10,LOMM13,0.6414806355945608
D0100,Stimulus,LOPM10,LOMM14,0.6622405722705428
D0100,Stimulus,LOPM10,LOMS11,0.35691957136075364
D0100,Stimulus,LOPM10,LOMS12,0.5007053174508415
D0100,Stimulus,LOPM10,LOPM8,0.4281419764644207
D0100,Stimulus,LOPM10,LOPM9,0.5700795914360315
D0100,Stimulus,LOPM10,LPPI7,0.29801700160277894
D0100,Stimulus,LOPM10,LPPI8,0.29929699612718497
D0100,Stimulus,LOPM10,LPPI9,0.2759539035822742
D0100,Stimulus,LOMS13,LOMS14,0.9670117139776857
D0100,Stimulus,LOMS13,LOMS15,0.9427940703589361
D0100,Stimulus,LOMS13,LOPS9,0.408200916907918
D0100,Stimulus,LOMS13,LOPS11,0.45040792805901014
D0100,Stimulus,LOMS13,LOPS12,0.8394522741487294
D0100,Stimulus,LOMS13,LPPI14,0.8240921635808063
D0100,Stimulus,LOMS13,LPPI15,0.8231278237606577
D0100,Stimulus,LOMS13,LOMM13,0.7988218418258438
D0100,Stimulus,LOMS13,LOMM14,0.8106659292891818
D0100,Stimulus,LOMS13,LOMS11,0.5852610963683346
D0100,Stimulus,LOMS13,LOMS12,0.8609449305105911
D0100,Stimulus,LOMS13,LOPM8,0.25126379014267747
D0100,Stimulus,LOMS13,LOPM9,0.2568522366658242
D0100,Stimulus,LOMS13,LPPI7,0.4237654611274022
D0100,Stimulus,LOMS13,LPPI8,0.37449766440270166
D0100,Stimulus,LOMS13,LPPI9,0.37957439245430635
D0100,Stimulus,LOMS14,LOMS15,0.9871058877893466
D0100,Stimulus,LOMS14,LOPS9,0.4091657795935465
D0100,Stimulus,LOMS14,LOPS11,0.44059416165191384
D0100,Stimulus,LOMS14,LOPS12,0.8656982762570077
D0100,Stimulus,LOMS14,LPPI14,0.8655427787304711
D0100,Stimulus,LOMS14,LPPI15,0.8683392008948694
D0100,Stimulus,LOMS14,LOMM13,0.8428825527278403
D0100,Stimulus,LOMS14,LOMM14,0.8571265132290279
D0100,Stimulus,LOMS14,LOMS11,0.5880686132907155
D0100,Stimulus,LOMS14,LOMS12,0.8471702486547988
D0100,Stimulus,LOMS14,LOPM8,0.24938528702036325
D0100,Stimulus,LOMS14,LOPM9,0.2559343528779586
D0100,Stimulus,LOMS14,LPPI7,0.44228926139004154
D0100,Stimulus,LOMS14,LPPI8,0.3899968904995935
D0100,Stimulus,LOMS14,LPPI9,0.3872293260839679
D0100,Stimulus,LOMS15,LOPS9,0.40246802801627046
D0100,Stimulus,LOMS15,LOPS11,0.4361689798222846
D0100,Stimulus,LOMS15,LOPS12,0.859788302798728
D0100,Stimulus,LOMS15,LPPI14,0.8801817253632298
D0100,Stimulus,LOMS15,LPPI15,0.893727299610308
D0100,Stimulus,LOMS15,LOMM13,0.8433789287613016
D0100,Stimulus,LOMS15,LOMM14,0.8663435352224199
