subject,event,ch1,ch2,coh_mean
D0103,Response,LFAM15,LFO15,0.694542975438964
D0103,Response,LFAM15,LFAI4,0.2678268326940333
D0103,Response,LFAM15,LFAM8,0.2861874969150774
D0103,Response,LFAM15,LFAM9,0.24746722529023138
D0103,Response,LFAM15,LAI13,0.2532407298484107
D0103,Response,LFAM15,LAI14,0.22469516591925287
D0103,Response,LFAM15,LAI4,0.2570855175459593
D0103,Response,LFAM15,LAI7,0.32125538224614403
D0103,Response,LFAM15,LAI8,0.3042290281633832
D0103,Response,LFAM15,LAI18,0.3480282949078617
D0103,Response,LFO15,LFAI4,0.2499941596795862
D0103,Response,LFO15,LFAM8,0.24591164443776276
D0103,Response,LFO15,LFAM9,0.25589015062951215
D0103,Response,LFO15,LAI13,0.23408230783542192
D0103,Response,LFO15,LAI14,0.21405660997827192
D0103,Response,LFO15,LAI4,0.264341996036825
D0103,Response,LFO15,LAI7,0.2581991725177348
D0103,Response,LFO15,LAI8,0.25036547376256574
D0103,Response,LFO15,LAI18,0.28911946973072417
D0103,Response,LFAI4,LFAM8,0.4114008621783089
D0103,Response,LFAI4,LFAM9,0.5559295761509829
D0103,Response,LFAI4,LAI13,0.2947335510888896
D0103,Response,LFAI4,LAI14,0.26629446674303286
D0103,Response,LFAI4,LAI4,0.24041380623711994
D0103,Response,LFAI4,LAI7,0.331438619262601
D0103,Response,LFAI4,LAI8,0.5259869432851265
D0103,Response,LFAI4,LAI18,0.24505389362627156
D0103,Response,LFAM8,LFAM9,0.6837203114008668
D0103,Response,LFAM8,LAI13,0.2714522611979973
D0103,Response,LFAM8,LAI14,0.247365716602581
D0103,Response,LFAM8,LAI4,0.3348903483448955
D0103,Response,LFAM8,LAI7,0.25277747022570224
D0103,Response,LFAM8,LAI8,0.4112103108227626
D0103,Response,LFAM8,LAI18,0.276939282243727
D0103,Response,LFAM9,LAI13,0.29754196576781466
D0103,Response,LFAM9,LAI14,0.31149185544950425
D0103,Response,LFAM9,LAI4,0.31153735971646523
D0103,Response,LFAM9,LAI7,0.24936241747948695
D0103,Response,LFAM9,LAI8,0.4620807188205944
D0103,Response,LFAM9,LAI18,0.2633706211695097
D0103,Response,LAI13,LAI14,0.646335153764342
D0103,Response,LAI13,LAI4,0.29964328737085205
D0103,Response,LAI13,LAI7,0.23791824024444053
D0103,Response,LAI13,LAI8,0.33032009453674904
D0103,Response,LAI13,LAI18,0.33716399682908643
D0103,Response,LAI14,LAI4,0.2467484715513786
D0103,Response,LAI14,LAI7,0.22970056991865978
D0103,Response,LAI14,LAI8,0.28099738292896137
D0103,Response,LAI14,LAI18,0.40538826128840205
D0103,Response,LAI4,LAI7,0.30555956967996095
D0103,Response,LAI4,LAI8,0.3117320402483062
D0103,Response,LAI4,LAI18,0.24113150112543213
D0103,Response,LAI7,LAI8,0.6456698497069496
D0103,Response,LAI7,LAI18,0.22912189998655258
D0103,Response,LAI8,LAI18,0.2848166720900371
