subject,event,ch1,ch2,coh_mean
D0103,Stimulus,LFAM15,LFO15,0.6942689915272118
D0103,Stimulus,LFAM15,LFAI4,0.2616353915288846
D0103,Stimulus,LFAM15,LFAM8,0.27295444045682776
D0103,Stimulus,LFAM15,LFAM9,0.24618750613073023
D0103,Stimulus,LFAM15,LAI13,0.2525030089946451
D0103,Stimulus,LFAM15,LAI14,0.22180586509203548
D0103,Stimulus,LFAM15,LAI4,0.24767788174930114
D0103,Stimulus,LFAM15,LAI7,0.3089644251026731
D0103,Stimulus,LFAM15,LAI8,0.2933326006002239
D0103,Stimulus,LFAM15,LAI18,0.3435703952802926
D0103,Stimulus,LFO15,LFAI4,0.24765982676436527
D0103,Stimulus,LFO15,LFAM8,0.24793237634929743
D0103,Stimulus,LFO15,LFAM9,0.2683991489611926
D0103,Stimulus,LFO15,LAI13,0.2333314402382427
D0103,Stimulus,LFO15,LAI14,0.21316824378726232
D0103,Stimulus,LFO15,LAI4,0.2657804047067908
D0103,Stimulus,LFO15,LAI7,0.25441946225351875
D0103,Stimulus,LFO15,LAI8,0.24575966239066985
D0103,Stimulus,LFO15,LAI18,0.2910660623315781
D0103,Stimulus,LFAI4,LFAM8,0.4037851240197672
D0103,Stimulus,LFAI4,LFAM9,0.5492028011943652
D0103,Stimulus,LFAI4,LAI13,0.28883718884639387
D0103,Stimulus,LFAI4,LAI14,0.25997766579444376
D0103,Stimulus,LFAI4,LAI4,0.24265453612970897
D0103,Stimulus,LFAI4,LAI7,0.3217817407213964
D0103,Stimulus,LFAI4,LAI8,0.5199239812774007
D0103,Stimulus,LFAI4,LAI18,0.23297091507025855
D0103,Stimulus,LFAM8,LFAM9,0.6763476167637313
D0103,Stimulus,LFAM8,LAI13,0.2628628580169364
D0103,Stimulus,LFAM8,LAI14,0.2490221928213386
D0103,Stimulus,LFAM8,LAI4,0.3428378555120555
D0103,Stimulus,LFAM8,LAI7,0.2633614354750554
D0103,Stimulus,LFAM8,LAI8,0.4148953251017156
D0103,Stimulus,LFAM8,LAI18,0.27817235362756193
D0103,Stimulus,LFAM9,LAI13,0.2763448524943127
D0103,Stimulus,LFAM9,LAI14,0.30507493884832215
D0103,Stimulus,LFAM9,LAI4,0.3122230372391898
D0103,Stimulus,LFAM9,LAI7,0.2558791481016185
D0103,Stimulus,LFAM9,LAI8,0.45304232148725804
D0103,Stimulus,LFAM9,LAI18,0.2602592194626785
D0103,Stimulus,LAI13,LAI14,0.6556932916499727
D0103,Stimulus,LAI13,LAI4,0.2913996196034955
D0103,Stimulus,LAI13,LAI7,0.23424035507606358
D0103,Stimulus,LAI13,LAI8,0.3276603865716104
D0103,Stimulus,LAI13,LAI18,0.3399441616471258
D0103,Stimulus,LAI14,LAI4,0.2435554294542718
D0103,Stimulus,LAI14,LAI7,0.22445850336883438
D0103,Stimulus,LAI14,LAI8,0.26588544507714057
D0103,Stimulus,LAI14,LAI18,0.40532187088038435
D0103,Stimulus,LAI4,LAI7,0.29706346900730907
D0103,Stimulus,LAI4,LAI8,0.30952079227330376
D0103,Stimulus,LAI4,LAI18,0.24543026036928878
D0103,Stimulus,LAI7,LAI8,0.6509140047061642
D0103,Stimulus,LAI7,LAI18,0.22912679803209204
D0103,Stimulus,LAI8,LAI18,0.28416517817264625
