subject,event,ch1,ch2,coh_mean
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAIF12,0.6629729138258328
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAIF13,0.6485107161172827
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAIF14,0.646566600374398
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RPI14,0.1967199250884118
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAMF10,0.3420633805134459
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAMF11,0.29345833131514565
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAMF12,0.31402568284766796
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAMF13,0.34866733799672534
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAMF14,0.353965420617505
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAI15,0.2483490810360943
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAI16,0.28077237492157975
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RPI15,0.24642594869336293
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAI6,0.30158729819340113
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAI12,0.3097565182291776
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAI13,0.2639032155870698
D0057,Stimulus_c75.0_Accuracy1.0,RAIF11,RAI14,0.263490738939355
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RAIF13,0.823366049144048
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RAIF14,0.8269167652279162
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RPI14,0.19813488104963842
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RAMF10,0.3030016226434522
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RAMF11,0.250995542913213
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RAMF12,0.2669222203701755
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RAMF13,0.3269391944087575
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RAMF14,0.36712790371306264
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RAI15,0.24497461109598306
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RAI16,0.2802420382247779
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RPI15,0.2926423863768935
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RAI6,0.307556251323737
D0057,Stimulus_c75.0_Accuracy1.0,RAIF12,RAI12,0.30699170826120986
