subject,event,ch1,ch2,coh_mean
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAIF12,0.5670417110476136
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAIF13,0.692518219169119
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAIF14,0.5180917183202373
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RPI14,0.5401889755636605
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAMF10,0.469715971042808
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAMF11,0.4825459874475358
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAMF12,0.48512306621641116
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAMF13,0.4905853827737331
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAMF14,0.5028607615603119
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAI15,0.5435497196103481
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAI16,0.5955840035237884
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RPI15,0.5132354528280387
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAI6,0.47938920203561197
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAI12,0.5210479546350671
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAI13,0.4461523239083197
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF11,RAI14,0.5936365163427432
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAIF13,0.5623818535925088
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAIF14,0.4828348939721829
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RPI14,0.46750051772131584
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAMF10,0.5639194289927274
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAMF11,0.5036498170733814
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAMF12,0.4810848089412363
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAMF13,0.5102505119588917
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAMF14,0.5891699056283229
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAI15,0.5003392262645004
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAI16,0.5509589217136615
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RPI15,0.4792445895726199
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAI6,0.5601226100414213
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAI12,0.5371144640313795
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAI13,0.5825838671814177
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF12,RAI14,0.6916642998901662
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RAIF14,0.5751225848972825
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RPI14,0.5146977394393735
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RAMF10,0.601691067933626
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RAMF11,0.49077415479709274
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RAMF12,0.5089429604973446
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RAMF13,0.48890883431487325
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RAMF14,0.5396337087286639
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RAI15,0.44205216082628707
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RAI16,0.6350179366037075
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RPI15,0.4708702395712085
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RAI6,0.5995986742510936
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RAI12,0.5209605107834556
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RAI13,0.49127292431799785
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF13,RAI14,0.590217085401801
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RPI14,0.5145354655302413
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RAMF10,0.6032768384972214
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RAMF11,0.5754246155292873
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RAMF12,0.4875715308363256
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RAMF13,0.536781466299317
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RAMF14,0.48292835585981014
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RAI15,0.4817964963001278
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RAI16,0.5688256000103348
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RPI15,0.5562422306366345
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RAI6,0.49298664458909386
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RAI12,0.5580775639275867
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RAI13,0.5304571690938953
D0057,"stimulus_ci25_(-1.0, -0.5)",RAIF14,RAI14,0.5719764313938674
D0057,"stimulus_ci25_(-1.0, -0.5)",RPI14,RAMF10,0.5665378214688179
D0057,"stimulus_ci25_(-1.0, -0.5)",RPI14,RAMF11,0.49861928043295395
D0057,"stimulus_ci25_(-1.0, -0.5)",RPI14,RAMF12,0.6127519686531587
D0057,"stimulus_ci25_(-1.0, -0.5)",RPI14,RAMF13,0.4705002975500797
D0057,"stimulus_ci25_(-1.0, -0.5)",RPI14,RAMF14,0.5736107231527506
D0057,"stimulus_ci25_(-1.0, -0.5)",RPI14,RAI15,0.48296491701845967
D0057,"stimulus_ci25_(-1.0, -0.5)",RPI14,RAI16,0.54497536062112
D0057,"stimulus_ci25_(-1.0, -0.5)",RPI14,RPI15,0.5420774618748188
D0057,"stimulus_ci25_(-1.0, -0.5)",RPI14,RAI6,0.5404970249604153
D0057,"stimulus_ci25_(-1.0, -0.5)",RPI14,RAI12,0.542918464795093
D0057,"stimulus_ci25_(-1.0, -0.5)",RPI14,RAI13,0.5827592450739874
D0057,"stimulus_ci25_(-1.0, -0.5)",RPI14,RAI14,0.515700935372882
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF10,RAMF11,0.5778719234205171
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF10,RAMF12,0.5039980598073117
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF10,RAMF13,0.5482505006004194
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF10,RAMF14,0.5066709753329425
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF10,RAI15,0.5249069783638722
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF10,RAI16,0.4944171460509286
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF10,RPI15,0.5757841123145717
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF10,RAI6,0.5393911631101169
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF10,RAI12,0.5655791703241003
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF10,RAI13,0.5133122070169752
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF10,RAI14,0.6072667037379098
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF11,RAMF12,0.535288998955856
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF11,RAMF13,0.5655930229022839
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF11,RAMF14,0.5295694859003752
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF11,RAI15,0.6228653633928695
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF11,RAI16,0.5951055061121316
D0057,"stimulus_ci25_(-1.0, -0.5)",RAMF11,RPI15,0.5240356781163527
