subject,event,ch1,ch2,coh_mean
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAIF12,0.5215740018684422
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAIF13,0.5215740018684422
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAIF14,0.5575521573690524
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RPI14,0.5522428170650229
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAMF10,0.49808000094971466
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAMF11,0.5939163301634283
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAMF12,0.5799413084510813
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAMF13,0.5699446776355819
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAMF14,0.5740985182995513
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAI15,0.5422860402001004
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAI16,0.47771925710349905
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RPI15,0.4867010116560867
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAI6,0.5067570499939678
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAI12,0.5638448163213549
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAI13,0.48776441226240813
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF11,RAI14,0.5477074087209629
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAIF13,0.5394043732007535
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAIF14,0.5501676259247151
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RPI14,0.6477087840361608
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAMF10,0.5154621567334182
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAMF11,0.5288344458366158
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAMF12,0.5272371546793919
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAMF13,0.5275596655587987
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAMF14,0.47124107202187554
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAI15,0.5441618508949244
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAI16,0.469750938866654
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RPI15,0.5572311723197367
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAI6,0.5328890241911357
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAI12,0.5116291823209081
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAI13,0.5605723402984722
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF12,RAI14,0.552341442084504
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RAIF14,0.540323146521262
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RPI14,0.5545922459015313
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RAMF10,0.5170728635352054
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RAMF11,0.5535424488182781
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RAMF12,0.5700053600011552
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RAMF13,0.5264436124939386
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RAMF14,0.4861043116375638
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RAI15,0.5509213468583293
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RAI16,0.5677566403404429
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RPI15,0.537818162551113
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RAI6,0.5212279397895735
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RAI12,0.5392029204674944
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RAI13,0.5243135087453479
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF13,RAI14,0.5045027156758135
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF14,RPI14,0.5583527513352471
D0057,"stimulus_ci75_(-0.5, 0.0)",RAIF14,RAMF10,0.6699304483141773
