subject,event,ch1,ch2,coh_mean
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAIF12,0.5180917183202368
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAIF13,0.5401889755636602
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAIF14,0.4825459874475355
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RPI14,0.5028607615603117
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAMF10,0.44615232390831905
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAMF11,0.4889088343148735
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAMF12,0.4912729243179972
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAMF13,0.5902170854018014
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAMF14,0.5145354655302418
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAI15,0.603276838497221
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAI16,0.4929866445890936
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RPI15,0.6127519686531586
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAI6,0.48296491701845895
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAI12,0.5404970249604145
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAI13,0.5827592450739878
D0057,"stimulus_i_(-1.0, -0.5)",RAIF11,RAI14,0.5157009353728818
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAIF13,0.5374241352661356
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAIF14,0.5374241352661356
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RPI14,0.5490573690627145
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAMF10,0.5522058959126339
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAMF11,0.5149527885249737
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAMF12,0.5229240465097692
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAMF13,0.5399073536518892
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAMF14,0.49993640216132185
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAI15,0.5313457150362523
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAI16,0.5051356891067289
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RPI15,0.5105163917956894
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAI6,0.5538207178286931
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAI12,0.5836016651235104
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAI13,0.4828806704500058
D0057,"stimulus_i_(-1.0, -0.5)",RAIF12,RAI14,0.5426051128197034
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RAIF14,0.645623515236195
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RPI14,0.5286286367020749
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RAMF10,0.49453650198934257
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RAMF11,0.49567277217043376
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RAMF12,0.5024986526188927
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RAMF13,0.5639622406790784
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RAMF14,0.5353494947479401
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RAI15,0.569412960838484
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RAI16,0.49218400135674123
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RPI15,0.6083485862193688
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RAI6,0.5696769924751667
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RAI12,0.5080926238862467
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RAI13,0.4960571484381252
D0057,"stimulus_i_(-1.0, -0.5)",RAIF13,RAI14,0.4802333741095486
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RPI14,0.5185629702876073
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RAMF10,0.5687549516526215
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RAMF11,0.4912882790276301
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RAMF12,0.4786536427022737
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RAMF13,0.5978663653186532
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RAMF14,0.5417115522379592
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RAI15,0.5417702785262972
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RAI16,0.5436705737540504
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RPI15,0.5195587247855972
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RAI6,0.5337406039977287
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RAI12,0.516412086071473
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RAI13,0.7673469993490667
D0057,"stimulus_i_(-1.0, -0.5)",RAIF14,RAI14,0.6508351755419952
D0057,"stimulus_i_(-1.0, -0.5)",RPI14,RAMF10,0.5220100117437017
D0057,"stimulus_i_(-1.0, -0.5)",RPI14,RAMF11,0.5902698821017848
D0057,"stimulus_i_(-1.0, -0.5)",RPI14,RAMF12,0.4599650063583289
D0057,"stimulus_i_(-1.0, -0.5)",RPI14,RAMF13,0.528867347427755
D0057,"stimulus_i_(-1.0, -0.5)",RPI14,RAMF14,0.46739758764812966
D0057,"stimulus_i_(-1.0, -0.5)",RPI14,RAI15,0.5544687889269533
D0057,"stimulus_i_(-1.0, -0.5)",RPI14,RAI16,0.5253930464844366
D0057,"stimulus_i_(-1.0, -0.5)",RPI14,RPI15,0.5082639604754927
D0057,"stimulus_i_(-1.0, -0.5)",RPI14,RAI6,0.4723521548035612
D0057,"stimulus_i_(-1.0, -0.5)",RPI14,RAI12,0.49173257070118453
D0057,"stimulus_i_(-1.0, -0.5)",RPI14,RAI13,0.5206560090072194
D0057,"stimulus_i_(-1.0, -0.5)",RPI14,RAI14,0.5657370182769126
D0057,"stimulus_i_(-1.0, -0.5)",RAMF10,RAMF11,0.5016323948268354
D0057,"stimulus_i_(-1.0, -0.5)",RAMF10,RAMF12,0.45987767118359835
D0057,"stimulus_i_(-1.0, -0.5)",RAMF10,RAMF13,0.5505117003046677
D0057,"stimulus_i_(-1.0, -0.5)",RAMF10,RAMF14,
D0057,"stimulus_i_(-1.0, -0.5)",RAMF10,RAI15,0.5415600103333236
D0057,"stimulus_i_(-1.0, -0.5)",RAMF10,RAI16,0.5280757871063099
D0057,"stimulus_i_(-1.0, -0.5)",RAMF10,RPI15,0.5123225330648498
D0057,"stimulus_i_(-1.0, -0.5)",RAMF10,RAI6,0.507767611255689
D0057,"stimulus_i_(-1.0, -0.5)",RAMF10,RAI12,0.566017645295515
D0057,"stimulus_i_(-1.0, -0.5)",RAMF10,RAI13,0.5097341974125986
D0057,"stimulus_i_(-1.0, -0.5)",RAMF10,RAI14,0.4772959641589919
D0057,"stimulus_i_(-1.0, -0.5)",RAMF11,RAMF12,0.5177046739589736
D0057,"stimulus_i_(-1.0, -0.5)",RAMF11,RAMF13,0.5031967209344914
D0057,"stimulus_i_(-1.0, -0.5)",RAMF11,RAMF14,0.520209085667658
D0057,"stimulus_i_(-1.0, -0.5)",RAMF11,RAI15,0.5465048660625219
D0057,"stimulus_i_(-1.0, -0.5)",RAMF11,RAI16,0.5493866310946397
D0057,"stimulus_i_(-1.0, -0.5)",RAMF11,RPI15,0.512155679572182
D0057,"stimulus_i_(-1.0, -0.5)",RAMF11,RAI6,0.5223115622922039
D0057,"stimulus_i_(-1.0, -0.5)",RAMF11,RAI12,0.5326974813891197
D0057,"stimulus_i_(-1.0, -0.5)",RAMF11,RAI13,0.5263310294356853
D0057,"stimulus_i_(-1.0, -0.5)",RAMF11,RAI14,0.4873422595400637
D0057,"stimulus_i_(-1.0, -0.5)",RAMF12,RAMF13,0.5551432184804691
D0057,"stimulus_i_(-1.0, -0.5)",RAMF12,RAMF14,0.6476957128987847
D0057,"stimulus_i_(-1.0, -0.5)",RAMF12,RAI15,0.5108136433633576
D0057,"stimulus_i_(-1.0, -0.5)",RAMF12,RAI16,0.47734045794523794
D0057,"stimulus_i_(-1.0, -0.5)",RAMF12,RPI15,0.5344377057860646
