subject,event,ch1,ch2,coh_mean
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAIF12,0.527048000682004
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAIF13,0.4699579287335378
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAIF14,0.5216799726760012
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RPI14,0.5829767339637347
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAMF10,0.5334869330921657
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAMF11,0.5138055749483079
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAMF12,0.5351783015934168
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAMF13,0.5037776693055873
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAMF14,0.48863169133810513
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAI15,0.5802728833745333
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAI16,0.5264869683645677
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RPI15,0.5390403380807177
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAI6,0.6128421428460552
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAI12,0.5017017228336426
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAI13,0.5288486618735301
D0057,"stimulus_i_(0.5, 1.0)",RAIF11,RAI14,0.5582083088091456
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAIF13,0.5927058824085318
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAIF14,0.5623226898209417
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RPI14,0.5017427492200619
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAMF10,0.50880336626845
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAMF11,0.5452897202523594
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAMF12,0.5645370364171335
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAMF13,0.5595319266349013
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAMF14,0.5121072554523143
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAI15,0.5273780396073449
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAI16,0.5620098212138234
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RPI15,0.5054417675485354
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAI6,0.48934697675919986
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAI12,0.5593703925375879
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAI13,0.4507989647666554
D0057,"stimulus_i_(0.5, 1.0)",RAIF12,RAI14,0.5339464311124793
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RAIF14,0.5939491041819729
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RPI14,0.5251981493281785
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RAMF10,0.506813332594795
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RAMF11,0.5571056167049209
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RAMF12,0.5279134427828034
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RAMF13,0.5758966312107157
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RAMF14,0.5619980208743195
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RAI15,0.5547608081092824
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RAI16,0.5650713448194734
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RPI15,0.5496084184226562
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RAI6,0.5391071824755455
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RAI12,0.4909002182296492
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RAI13,0.5101253559365796
D0057,"stimulus_i_(0.5, 1.0)",RAIF13,RAI14,0.5362501978391273
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RPI14,0.5086384069142725
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RAMF10,0.5084733464466431
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RAMF11,0.45470640093081555
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RAMF12,0.5374724383930979
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RAMF13,0.6343360784337441
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RAMF14,0.4935909571889492
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RAI15,0.5629215597449264
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RAI16,0.5033644047295359
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RPI15,0.5214822466376653
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RAI6,0.5071203945543165
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RAI12,0.6890517637572405
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RAI13,0.6983004285152535
D0057,"stimulus_i_(0.5, 1.0)",RAIF14,RAI14,0.5687608605794038
D0057,"stimulus_i_(0.5, 1.0)",RPI14,RAMF10,0.5464480043260967
D0057,"stimulus_i_(0.5, 1.0)",RPI14,RAMF11,0.507720939825558
D0057,"stimulus_i_(0.5, 1.0)",RPI14,RAMF12,0.5314980340846321
D0057,"stimulus_i_(0.5, 1.0)",RPI14,RAMF13,0.5069830790614178
D0057,"stimulus_i_(0.5, 1.0)",RPI14,RAMF14,0.5021403393224252
D0057,"stimulus_i_(0.5, 1.0)",RPI14,RAI15,0.5286280417690685
D0057,"stimulus_i_(0.5, 1.0)",RPI14,RAI16,0.5276744774095612
D0057,"stimulus_i_(0.5, 1.0)",RPI14,RPI15,0.5109545465977504
D0057,"stimulus_i_(0.5, 1.0)",RPI14,RAI6,0.5570158969800914
D0057,"stimulus_i_(0.5, 1.0)",RPI14,RAI12,0.4631380327623079
D0057,"stimulus_i_(0.5, 1.0)",RPI14,RAI13,0.506899616990434
D0057,"stimulus_i_(0.5, 1.0)",RPI14,RAI14,0.5789381890591696
D0057,"stimulus_i_(0.5, 1.0)",RAMF10,RAMF11,0.49263436664757365
D0057,"stimulus_i_(0.5, 1.0)",RAMF10,RAMF12,0.5243627398338429
D0057,"stimulus_i_(0.5, 1.0)",RAMF10,RAMF13,0.5446031760302852
D0057,"stimulus_i_(0.5, 1.0)",RAMF10,RAMF14,0.49190692556509985
D0057,"stimulus_i_(0.5, 1.0)",RAMF10,RAI15,0.547881067502528
D0057,"stimulus_i_(0.5, 1.0)",RAMF10,RAI16,0.524802265585718
D0057,"stimulus_i_(0.5, 1.0)",RAMF10,RPI15,0.5243054206190226
D0057,"stimulus_i_(0.5, 1.0)",RAMF10,RAI6,0.5713004466886779
D0057,"stimulus_i_(0.5, 1.0)",RAMF10,RAI12,0.5413248731681636
D0057,"stimulus_i_(0.5, 1.0)",RAMF10,RAI13,0.5281098471972042
D0057,"stimulus_i_(0.5, 1.0)",RAMF10,RAI14,0.5007222121987552
D0057,"stimulus_i_(0.5, 1.0)",RAMF11,RAMF12,0.4682075443935766
D0057,"stimulus_i_(0.5, 1.0)",RAMF11,RAMF13,0.4918596211396585
D0057,"stimulus_i_(0.5, 1.0)",RAMF11,RAMF14,0.5086064303723622
D0057,"stimulus_i_(0.5, 1.0)",RAMF11,RAI15,0.570460295020701
D0057,"stimulus_i_(0.5, 1.0)",RAMF11,RAI16,0.5969096339037597
D0057,"stimulus_i_(0.5, 1.0)",RAMF11,RPI15,0.5454644971880096
D0057,"stimulus_i_(0.5, 1.0)",RAMF11,RAI6,0.5448458512104519
D0057,"stimulus_i_(0.5, 1.0)",RAMF11,RAI12,0.5107895556830995
D0057,"stimulus_i_(0.5, 1.0)",RAMF11,RAI13,0.5052240848603102
D0057,"stimulus_i_(0.5, 1.0)",RAMF11,RAI14,0.6441936688188945
D0057,"stimulus_i_(0.5, 1.0)",RAMF12,RAMF13,0.574601575674323
D0057,"stimulus_i_(0.5, 1.0)",RAMF12,RAMF14,0.5478229662495431
D0057,"stimulus_i_(0.5, 1.0)",RAMF12,RAI15,0.4741357814202125
D0057,"stimulus_i_(0.5, 1.0)",RAMF12,RAI16,0.5196670083107198
D0057,"stimulus_i_(0.5, 1.0)",RAMF12,RPI15,0.5350615540031243
D0057,"stimulus_i_(0.5, 1.0)",RAMF12,RAI6,0.48712004048078134
D0057,"stimulus_i_(0.5, 1.0)",RAMF12,RAI12,0.4938654987740487
D0057,"stimulus_i_(0.5, 1.0)",RAMF12,RAI13,0.5088447804748383
D0057,"stimulus_i_(0.5, 1.0)",RAMF12,RAI14,0.5665702919477941
D0057,"stimulus_i_(0.5, 1.0)",RAMF13,RAMF14,0.5404176793823153
D0057,"stimulus_i_(0.5, 1.0)",RAMF13,RAI15,0.5216411452755856
D0057,"stimulus_i_(0.5, 1.0)",RAMF13,RAI16,0.5166056781589551
D0057,"stimulus_i_(0.5, 1.0)",RAMF13,RPI15,0.508255614094047
D0057,"stimulus_i_(0.5, 1.0)",RAMF13,RAI6,0.540531866991288
D0057,"stimulus_i_(0.5, 1.0)",RAMF13,RAI12,0.49651600292587234
D0057,"stimulus_i_(0.5, 1.0)",RAMF13,RAI13,0.4849592930907163
D0057,"stimulus_i_(0.5, 1.0)",RAMF13,RAI14,0.4723070162498773
D0057,"stimulus_i_(0.5, 1.0)",RAMF14,RAI15,0.5447586470915023
D0057,"stimulus_i_(0.5, 1.0)",RAMF14,RAI16,0.5026775396800633
D0057,"stimulus_i_(0.5, 1.0)",RAMF14,RPI15,0.517766501572661
D0057,"stimulus_i_(0.5, 1.0)",RAMF14,RAI6,0.5097047048249755
D0057,"stimulus_i_(0.5, 1.0)",RAMF14,RAI12,0.5509250563037205
D0057,"stimulus_i_(0.5, 1.0)",RAMF14,RAI13,0.4948339041919827
D0057,"stimulus_i_(0.5, 1.0)",RAMF14,RAI14,0.5624569457183698
D0057,"stimulus_i_(0.5, 1.0)",RAI15,RAI16,0.5162125646495757
D0057,"stimulus_i_(0.5, 1.0)",RAI15,RPI15,0.4653363375903998
D0057,"stimulus_i_(0.5, 1.0)",RAI15,RAI6,0.4863899566101598
D0057,"stimulus_i_(0.5, 1.0)",RAI15,RAI12,0.47547711983689084
D0057,"stimulus_i_(0.5, 1.0)",RAI15,RAI13,0.5298411900313477
D0057,"stimulus_i_(0.5, 1.0)",RAI15,RAI14,0.5272083979324248
D0057,"stimulus_i_(0.5, 1.0)",RAI16,RPI15,0.4941586583321512
D0057,"stimulus_i_(0.5, 1.0)",RAI16,RAI6,0.5550715462327426
D0057,"stimulus_i_(0.5, 1.0)",RAI16,RAI12,0.5991290351818311
D0057,"stimulus_i_(0.5, 1.0)",RAI16,RAI13,0.47619563722440766
D0057,"stimulus_i_(0.5, 1.0)",RAI16,RAI14,0.4947634110623952
D0057,"stimulus_i_(0.5, 1.0)",RPI15,RAI6,0.5541788843983906
D0057,"stimulus_i_(0.5, 1.0)",RPI15,RAI12,0.6207852600366198
D0057,"stimulus_i_(0.5, 1.0)",RPI15,RAI13,0.6635442035211636
D0057,"stimulus_i_(0.5, 1.0)",RPI15,RAI14,0.6198064168580814
D0057,"stimulus_i_(0.5, 1.0)",RAI6,RAI12,0.6103738375361444
D0057,"stimulus_i_(0.5, 1.0)",RAI6,RAI13,0.5439335637499916
D0057,"stimulus_i_(0.5, 1.0)",RAI6,RAI14,0.4788566806489669
D0057,"stimulus_i_(0.5, 1.0)",RAI12,RAI13,0.511013660466672
D0057,"stimulus_i_(0.5, 1.0)",RAI12,RAI14,0.5405025677952858
D0057,"stimulus_i_(0.5, 1.0)",RAI13,RAI14,0.49988948317097526
