subject,event,ch1,ch2,coh_mean
D0063,Response,LASF10,LASF11,0.5029970935767132
D0063,Response,LASF10,LASF14,0.44780389257121844
D0063,Response,LASF10,LASF15,0.4640579010052644
D0063,Response,LASF10,LASF16,0.24620608268482522
D0063,Response,LASF10,LMSF5,0.4676369790841106
D0063,Response,LASF10,LMSF6,0.4653034621326798
D0063,Response,LASF10,LMSF12,0.24184438228343105
D0063,Response,LASF10,LPSF10,0.2360822485286137
D0063,Response,LASF10,LPSF12,0.23046306520834645
D0063,Response,LASF10,ROF16,0.25210444540421867
D0063,Response,LASF10,RAI16,0.2346810080066218
D0063,Response,LASF10,RAMF11,0.24572277432183845
D0063,Response,LASF10,RAMF12,0.24208228714847926
D0063,Response,LASF10,RAMF13,0.24880956016302172
D0063,Response,LASF10,RAMF14,0.24956010155766012
D0063,Response,LASF10,RMMF13,0.24213845648553478
D0063,Response,LASF10,RMMF14,0.24168418962584312
D0063,Response,LASF10,RAI4,0.24053255078830488
D0063,Response,LASF10,RAI6,0.22267377243703312
D0063,Response,LASF10,RAI5,0.23710154887429197
D0063,Response,LASF11,LASF14,0.47528990620694517
D0063,Response,LASF11,LASF15,0.44722799892504544
D0063,Response,LASF11,LASF16,0.2908280850878725
D0063,Response,LASF11,LMSF5,0.32747783730677277
D0063,Response,LASF11,LMSF6,0.39494560317311794
D0063,Response,LASF11,LMSF12,0.28845344660573174
D0063,Response,LASF11,LPSF10,0.2571318078173925
D0063,Response,LASF11,LPSF12,0.26610823611191003
D0063,Response,LASF11,ROF16,0.24929017083513053
D0063,Response,LASF11,RAI16,0.25713157817424004
D0063,Response,LASF11,RAMF11,0.23059053554782408
D0063,Response,LASF11,RAMF12,0.23314200019382933
D0063,Response,LASF11,RAMF13,0.235103773130035
D0063,Response,LASF11,RAMF14,0.2360399833696587
D0063,Response,LASF11,RMMF13,0.26370960892427886
D0063,Response,LASF11,RMMF14,0.2494481432945252
D0063,Response,LASF11,RAI4,0.23864206088872442
D0063,Response,LASF11,RAI6,0.2460611414497534
D0063,Response,LASF11,RAI5,0.23927742168241367
D0063,Response,LASF14,LASF15,0.8359069919012354
D0063,Response,LASF14,LASF16,0.3246015887279208
D0063,Response,LASF14,LMSF5,0.5884760507090611
D0063,Response,LASF14,LMSF6,0.7059667839041818
D0063,Response,LASF14,LMSF12,0.32289397931510905
D0063,Response,LASF14,LPSF10,0.2256788261361898
D0063,Response,LASF14,LPSF12,0.24189978231790307
D0063,Response,LASF14,ROF16,0.27950929288892395
D0063,Response,LASF14,RAI16,0.2691291358810031
D0063,Response,LASF14,RAMF11,0.22139188418373293
D0063,Response,LASF14,RAMF12,0.26259404971275513
D0063,Response,LASF14,RAMF13,0.26209751179613044
D0063,Response,LASF14,RAMF14,0.26288596944024845
D0063,Response,LASF14,RMMF13,0.22413100860693302
D0063,Response,LASF14,RMMF14,0.2474441333690433
D0063,Response,LASF14,RAI4,0.2183365464375493
D0063,Response,LASF14,RAI6,0.2191465232836498
D0063,Response,LASF14,RAI5,0.2343821568526827
D0063,Response,LASF15,LASF16,0.28313507692183854
D0063,Response,LASF15,LMSF5,0.5204140989992111
D0063,Response,LASF15,LMSF6,0.5983228754095932
D0063,Response,LASF15,LMSF12,0.2687835598753781
D0063,Response,LASF15,LPSF10,0.22565186503241327
D0063,Response,LASF15,LPSF12,0.240015629926712
D0063,Response,LASF15,ROF16,0.2643216645674766
D0063,Response,LASF15,RAI16,0.24829624730498928
D0063,Response,LASF15,RAMF11,0.23712830915621655
D0063,Response,LASF15,RAMF12,0.2518964690847229
D0063,Response,LASF15,RAMF13,0.2505848735014472
D0063,Response,LASF15,RAMF14,0.2513016501028617
D0063,Response,LASF15,RMMF13,0.22526748121015294
D0063,Response,LASF15,RMMF14,0.23693651424330198
D0063,Response,LASF15,RAI4,0.22870355928762812
D0063,Response,LASF15,RAI6,0.2179100945909644
D0063,Response,LASF15,RAI5,0.22730410991241898
D0063,Response,LASF16,LMSF5,0.2946743978716511
D0063,Response,LASF16,LMSF6,0.33343280029206435
D0063,Response,LASF16,LMSF12,0.8562094749584754
D0063,Response,LASF16,LPSF10,0.28887442011991665
D0063,Response,LASF16,LPSF12,0.5972172629324094
D0063,Response,LASF16,ROF16,0.5180910198750392
D0063,Response,LASF16,RAI16,0.5903195127800803
D0063,Response,LASF16,RAMF11,0.2722135888067366
D0063,Response,LASF16,RAMF12,0.4887797614133973
D0063,Response,LASF16,RAMF13,0.5080488168973489
D0063,Response,LASF16,RAMF14,0.5121998690974503
D0063,Response,LASF16,RMMF13,0.2811602947313161
D0063,Response,LASF16,RMMF14,0.5088779700928184
D0063,Response,LASF16,RAI4,0.2373223102478185
D0063,Response,LASF16,RAI6,0.22868571808622828
D0063,Response,LASF16,RAI5,0.3070507766848232
D0063,Response,LMSF5,LMSF6,0.9132922075692212
D0063,Response,LMSF5,LMSF12,0.29496365728512197
D0063,Response,LMSF5,LPSF10,0.22882814247509914
D0063,Response,LMSF5,LPSF12,0.2712304264618803
D0063,Response,LMSF5,ROF16,0.2928578053818973
D0063,Response,LMSF5,RAI16,0.3106661929592408
D0063,Response,LMSF5,RAMF11,0.23555422464831385
D0063,Response,LMSF5,RAMF12,0.2904654915419492
D0063,Response,LMSF5,RAMF13,0.3010172767297959
