subject,event,ch1,ch2,coh_mean
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,LASF3,0.5149110664726784
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,LASF7,0.47346241734553823
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,LASF9,0.46516307803956214
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RAMF1,0.5058370494354628
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RAMF2,0.5036912761732735
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMMF2,0.4508452480071196
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMMF3,0.45919832207880396
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMMF4,0.4515475903855848
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,LMSF1,0.4873207384042686
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,LMSF2,0.45763046322745937
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,LMSF4,0.4690647978186243
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMSF3,0.485970825353834
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMSF4,0.5008690484509276
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMSF5,0.48312653052119897
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMMF1,0.4731136784858221
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,LASF7,0.6069997658394568
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,LASF9,0.6146964589920783
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RAMF1,0.4671356234195628
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RAMF2,0.5892815555723449
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMMF2,0.5608154018571291
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMMF3,0.5606443126041981
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMMF4,0.5785937142957587
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,LMSF1,0.4625956168034859
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,LMSF2,0.4563692081914265
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,LMSF4,0.5630966405109854
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMSF3,0.5135170632840307
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMSF4,0.5140582834409746
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMSF5,0.5365667576493179
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMMF1,0.44863992860627555
