subject,event,ch1,ch2,coh_mean
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,LASF3,0.5228514475597822
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,LASF7,0.5115082057566794
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,LASF9,0.5068322934742686
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RAMF1,0.488878744032602
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RAMF2,0.46615560453096216
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMMF2,0.476350386677362
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMMF3,0.4908750186079757
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMMF4,0.48960264189655817
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,LMSF1,0.47967369651509173
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,LMSF2,0.4874177629726131
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,LMSF4,0.4813286582668479
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMSF3,0.46616989247257984
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMSF4,0.4494216960261598
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMSF5,0.47451926303739983
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF1,RMMF1,0.47452481431966265
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,LASF7,0.6219529359344214
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,LASF9,0.5627145660365573
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RAMF1,0.4672644689164873
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RAMF2,0.5527566748231364
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMMF2,0.5272654962086897
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMMF3,0.5692566506002869
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMMF4,0.5431624403778471
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,LMSF1,0.5040768567391878
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,LMSF2,0.5097101910701827
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,LMSF4,0.5370565576836226
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMSF3,0.48980903685560484
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMSF4,0.49184193811931365
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMSF5,0.5161122822512594
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF3,RMMF1,0.504546562476855
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,LASF9,0.5370757492741582
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,RAMF1,0.48856808874284163
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,RAMF2,0.5320266417222002
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,RMMF2,0.5100339457488408
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,RMMF3,0.5165741352902855
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,RMMF4,0.5278681888923651
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,LMSF1,0.5546077063999292
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,LMSF2,0.5069074952645295
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,LMSF4,0.5146387576877701
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,RMSF3,0.4841059534999861
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,RMSF4,0.47433663512999474
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,RMSF5,0.5224991543726284
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF7,RMMF1,0.493979150594677
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF9,RAMF1,0.45626998882149095
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF9,RAMF2,0.5168624905939249
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF9,RMMF2,0.5150476746631152
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF9,RMMF3,0.5489457523199976
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF9,RMMF4,0.5475349023321887
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF9,LMSF1,0.4541488725594967
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF9,LMSF2,0.4830661781536349
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF9,LMSF4,0.556441931995227
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF9,RMSF3,0.5022387025258876
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF9,RMSF4,0.4924109206170008
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF9,RMSF5,0.5407737244451717
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",LASF9,RMMF1,0.47029029800644273
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF1,RAMF2,0.6178166247418723
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF1,RMMF2,0.4947364309887524
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF1,RMMF3,0.4843306197999474
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF1,RMMF4,0.4791305965826475
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF1,LMSF1,0.46444734141050203
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF1,LMSF2,0.49345080827882526
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF1,LMSF4,0.4708319519466479
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF1,RMSF3,0.47287025524262505
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF1,RMSF4,0.4686139417421413
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF1,RMSF5,0.4670786835669379
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF1,RMMF1,0.5036319710468729
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF2,RMMF2,0.5520998710716786
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF2,RMMF3,0.5963682346359555
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF2,RMMF4,0.5898207629512956
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF2,LMSF1,0.47788263723769364
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF2,LMSF2,0.49850151053316594
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF2,LMSF4,0.5423489157344767
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF2,RMSF3,0.5170524634823708
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF2,RMSF4,0.5242635797445685
D0063,"Stimulus_i75.0_Accuracy1.0_(0.0, 0.5)",RAMF2,RMSF5,0.562574801237991
