subject,event,ch1,ch2,coh_mean
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,LASF3,0.5629742676643447
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,LASF7,0.5220097062269273
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,LASF9,0.5193515964557937
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RAMF1,0.552796846027207
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RAMF2,0.4731654057846959
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMMF2,0.4906704770674576
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMMF3,0.5027093487044259
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMMF4,0.5318838984227194
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,LMSF1,0.49274722610077726
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,LMSF2,0.4761807853673768
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,LMSF4,0.5283430263293953
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMSF3,0.4953089024070041
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMSF4,0.5665418518011229
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMSF5,0.5120662258818385
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMMF1,0.562451387254801
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,LASF7,0.45468513549937795
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,LASF9,0.4813852785511101
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RAMF1,0.5238259609597593
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RAMF2,0.48877250554405954
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RMMF2,0.5476494282019586
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RMMF3,0.4973072438259631
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RMMF4,0.4861520738971179
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,LMSF1,0.48767646596682873
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,LMSF2,0.48542681290837153
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,LMSF4,0.5208763066613181
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RMSF3,0.4843069238454455
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RMSF4,0.4850458773138554
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RMSF5,0.4546596067082367
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RMMF1,0.49433078261745605
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,LASF9,0.5161780443128818
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,RAMF1,0.5132643151969706
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,RAMF2,0.4994382935157362
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,RMMF2,0.6053991612423946
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,RMMF3,0.5979888012880825
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,RMMF4,0.5172208479256379
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,LMSF1,0.5157162140289544
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,LMSF2,0.5531907806982335
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,LMSF4,0.46906215587047984
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,RMSF3,0.528677746006156
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,RMSF4,0.5341644792917398
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,RMSF5,0.4975247852365508
D0063,"stimulus_c_(-0.5, 0.0)",LASF7,RMMF1,0.4918230580210912
D0063,"stimulus_c_(-0.5, 0.0)",LASF9,RAMF1,0.5166638579622912
D0063,"stimulus_c_(-0.5, 0.0)",LASF9,RAMF2,0.5322741100856396
D0063,"stimulus_c_(-0.5, 0.0)",LASF9,RMMF2,0.5300760407774994
D0063,"stimulus_c_(-0.5, 0.0)",LASF9,RMMF3,0.5377885208124034
D0063,"stimulus_c_(-0.5, 0.0)",LASF9,RMMF4,0.5080005995998788
D0063,"stimulus_c_(-0.5, 0.0)",LASF9,LMSF1,0.48150903113657234
D0063,"stimulus_c_(-0.5, 0.0)",LASF9,LMSF2,0.4778702705575636
D0063,"stimulus_c_(-0.5, 0.0)",LASF9,LMSF4,0.4867484226585552
D0063,"stimulus_c_(-0.5, 0.0)",LASF9,RMSF3,0.4914710026656842
D0063,"stimulus_c_(-0.5, 0.0)",LASF9,RMSF4,0.511453118880131
D0063,"stimulus_c_(-0.5, 0.0)",LASF9,RMSF5,0.4730633002340886
D0063,"stimulus_c_(-0.5, 0.0)",LASF9,RMMF1,0.5383188543403986
D0063,"stimulus_c_(-0.5, 0.0)",RAMF1,RAMF2,0.48917744574213623
D0063,"stimulus_c_(-0.5, 0.0)",RAMF1,RMMF2,0.5185244360950362
D0063,"stimulus_c_(-0.5, 0.0)",RAMF1,RMMF3,0.5272864136915557
D0063,"stimulus_c_(-0.5, 0.0)",RAMF1,RMMF4,0.4707334426971304
D0063,"stimulus_c_(-0.5, 0.0)",RAMF1,LMSF1,0.49073549448759235
D0063,"stimulus_c_(-0.5, 0.0)",RAMF1,LMSF2,0.5216772252764065
D0063,"stimulus_c_(-0.5, 0.0)",RAMF1,LMSF4,0.5098753728466742
D0063,"stimulus_c_(-0.5, 0.0)",RAMF1,RMSF3,0.5228155463418217
D0063,"stimulus_c_(-0.5, 0.0)",RAMF1,RMSF4,0.4948033644534432
D0063,"stimulus_c_(-0.5, 0.0)",RAMF1,RMSF5,0.4781610870932088
D0063,"stimulus_c_(-0.5, 0.0)",RAMF1,RMMF1,0.6168548745381913
D0063,"stimulus_c_(-0.5, 0.0)",RAMF2,RMMF2,0.5676132643148322
D0063,"stimulus_c_(-0.5, 0.0)",RAMF2,RMMF3,0.5275511851143498
D0063,"stimulus_c_(-0.5, 0.0)",RAMF2,RMMF4,0.48079119260048114
D0063,"stimulus_c_(-0.5, 0.0)",RAMF2,LMSF1,0.513723373238415
D0063,"stimulus_c_(-0.5, 0.0)",RAMF2,LMSF2,0.4909173052136655
D0063,"stimulus_c_(-0.5, 0.0)",RAMF2,LMSF4,0.48328079313992733
D0063,"stimulus_c_(-0.5, 0.0)",RAMF2,RMSF3,0.5018400439685637
D0063,"stimulus_c_(-0.5, 0.0)",RAMF2,RMSF4,0.4991682913494998
D0063,"stimulus_c_(-0.5, 0.0)",RAMF2,RMSF5,0.4869989915392713
D0063,"stimulus_c_(-0.5, 0.0)",RAMF2,RMMF1,0.5043939814212615
D0063,"stimulus_c_(-0.5, 0.0)",RMMF2,RMMF3,0.48836077164623737
D0063,"stimulus_c_(-0.5, 0.0)",RMMF2,RMMF4,0.5382750844830902
D0063,"stimulus_c_(-0.5, 0.0)",RMMF2,LMSF1,0.684285083889061
D0063,"stimulus_c_(-0.5, 0.0)",RMMF2,LMSF2,0.5997495103711789
D0063,"stimulus_c_(-0.5, 0.0)",RMMF2,LMSF4,0.5385593949975148
D0063,"stimulus_c_(-0.5, 0.0)",RMMF2,RMSF3,0.5608791974326686
D0063,"stimulus_c_(-0.5, 0.0)",RMMF2,RMSF4,0.4504566320378454
D0063,"stimulus_c_(-0.5, 0.0)",RMMF2,RMSF5,0.4872109455359847
D0063,"stimulus_c_(-0.5, 0.0)",RMMF2,RMMF1,0.5182583438820962
D0063,"stimulus_c_(-0.5, 0.0)",RMMF3,RMMF4,0.4883635501283014
D0063,"stimulus_c_(-0.5, 0.0)",RMMF3,LMSF1,0.5034300763285497
D0063,"stimulus_c_(-0.5, 0.0)",RMMF3,LMSF2,0.5944768614663898
D0063,"stimulus_c_(-0.5, 0.0)",RMMF3,LMSF4,0.49642947701267326
D0063,"stimulus_c_(-0.5, 0.0)",RMMF3,RMSF3,0.5277972849236413
D0063,"stimulus_c_(-0.5, 0.0)",RMMF3,RMSF4,0.4888381700466949
D0063,"stimulus_c_(-0.5, 0.0)",RMMF3,RMSF5,0.5781604576302175
D0063,"stimulus_c_(-0.5, 0.0)",RMMF3,RMMF1,0.4733040667222656
D0063,"stimulus_c_(-0.5, 0.0)",RMMF4,LMSF1,0.5263481150192002
D0063,"stimulus_c_(-0.5, 0.0)",RMMF4,LMSF2,0.4681065184934514
D0063,"stimulus_c_(-0.5, 0.0)",RMMF4,LMSF4,0.46432828723155284
D0063,"stimulus_c_(-0.5, 0.0)",RMMF4,RMSF3,0.47134840776585
D0063,"stimulus_c_(-0.5, 0.0)",RMMF4,RMSF4,0.5269454334659023
D0063,"stimulus_c_(-0.5, 0.0)",RMMF4,RMSF5,0.4931618267602852
D0063,"stimulus_c_(-0.5, 0.0)",RMMF4,RMMF1,0.5347653301763705
D0063,"stimulus_c_(-0.5, 0.0)",LMSF1,LMSF2,0.5125119360140451
D0063,"stimulus_c_(-0.5, 0.0)",LMSF1,LMSF4,0.49298347988207025
D0063,"stimulus_c_(-0.5, 0.0)",LMSF1,RMSF3,0.48816068546542923
D0063,"stimulus_c_(-0.5, 0.0)",LMSF1,RMSF4,0.4890024556866509
D0063,"stimulus_c_(-0.5, 0.0)",LMSF1,RMSF5,0.5770450379244494
D0063,"stimulus_c_(-0.5, 0.0)",LMSF1,RMMF1,0.4923706955893947
D0063,"stimulus_c_(-0.5, 0.0)",LMSF2,LMSF4,0.5749998204143252
D0063,"stimulus_c_(-0.5, 0.0)",LMSF2,RMSF3,0.486359534506721
D0063,"stimulus_c_(-0.5, 0.0)",LMSF2,RMSF4,0.48061337648762775
D0063,"stimulus_c_(-0.5, 0.0)",LMSF2,RMSF5,0.525935825489056
D0063,"stimulus_c_(-0.5, 0.0)",LMSF2,RMMF1,0.5111648573565885
