subject,event,ch1,ch2,coh_mean
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,LASF3,0.5383965075991239
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,LASF7,0.49482497219286
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,LASF9,0.5227803252094084
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RAMF1,0.48865267454468264
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RAMF2,0.4825944254640831
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMMF2,0.45859508195644777
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMMF3,0.47324224812716714
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMMF4,0.46942917769855474
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,LMSF1,0.49394011412957106
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,LMSF2,0.47216792452937234
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,LMSF4,0.47470769975104377
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMSF3,0.4722794744582921
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMSF4,0.46868886446947
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMSF5,0.47874827017684557
D0063,"stimulus_c_(-0.5, 0.0)",LASF1,RMMF1,0.46206959931393643
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,LASF7,0.6328335750226719
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,LASF9,0.6074349123552684
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RAMF1,0.4750530009247844
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RAMF2,0.5550241248535825
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RMMF2,0.5597557866904262
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RMMF3,0.6020885606089316
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,RMMF4,0.566295495203914
D0063,"stimulus_c_(-0.5, 0.0)",LASF3,LMSF1,0.4986860643106212
