subject,event,ch1,ch2,coh_mean
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,LASF3,0.524559296161097
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,LASF7,0.4956611365777445
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,LASF9,0.4966139975218796
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,RAMF1,0.5492950903391693
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,RAMF2,0.49340347720190314
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,RMMF2,0.548025795058969
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,RMMF3,0.4979476495121344
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,RMMF4,0.5564135606436504
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,LMSF1,0.49015044576969097
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,LMSF2,0.5162591717936847
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,LMSF4,0.5240140144106679
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,RMSF3,0.47869913938393616
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,RMSF4,0.5318043723664578
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,RMSF5,0.471584862361092
D0063,"stimulus_c_(-1.0, -0.5)",LASF1,RMMF1,0.5842622357383211
D0063,"stimulus_c_(-1.0, -0.5)",LASF3,LASF7,0.4971891748248423
D0063,"stimulus_c_(-1.0, -0.5)",LASF3,LASF9,0.5139856546588061
D0063,"stimulus_c_(-1.0, -0.5)",LASF3,RAMF1,0.5111313704725342
D0063,"stimulus_c_(-1.0, -0.5)",LASF3,RAMF2,0.5066322202610752
D0063,"stimulus_c_(-1.0, -0.5)",LASF3,RMMF2,0.5234142114444812
D0063,"stimulus_c_(-1.0, -0.5)",LASF3,RMMF3,0.5044349698444662
D0063,"stimulus_c_(-1.0, -0.5)",LASF3,RMMF4,0.47056249787851817
D0063,"stimulus_c_(-1.0, -0.5)",LASF3,LMSF1,0.47901552188988633
