subject,event,ch1,ch2,coh_mean
D0063,"stimulus_c_(0.0, 0.5)",LASF1,LASF3,0.5358382596208281
D0063,"stimulus_c_(0.0, 0.5)",LASF1,LASF7,0.4991963947830667
D0063,"stimulus_c_(0.0, 0.5)",LASF1,LASF9,0.5162373369003768
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RAMF1,0.5091902802627831
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RAMF2,0.4885036851361442
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMMF2,0.5184107522568829
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMMF3,0.4952924579779814
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMMF4,0.4972216380902521
D0063,"stimulus_c_(0.0, 0.5)",LASF1,LMSF1,0.5199876534738513
D0063,"stimulus_c_(0.0, 0.5)",LASF1,LMSF2,0.47269453480253887
D0063,"stimulus_c_(0.0, 0.5)",LASF1,LMSF4,0.5135823384674859
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMSF3,0.49219149106210963
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMSF4,0.5665639969073982
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMSF5,0.5082973138772732
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMMF1,0.5431764082253625
D0063,"stimulus_c_(0.0, 0.5)",LASF3,LASF7,0.4635542222880011
D0063,"stimulus_c_(0.0, 0.5)",LASF3,LASF9,0.4727981026616254
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RAMF1,0.5121752823407248
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RAMF2,0.5249793965547965
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RMMF2,0.48750727170579794
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RMMF3,0.4951207183526738
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RMMF4,0.48515377304435203
D0063,"stimulus_c_(0.0, 0.5)",LASF3,LMSF1,0.5073373451284722
D0063,"stimulus_c_(0.0, 0.5)",LASF3,LMSF2,0.4807822784582886
D0063,"stimulus_c_(0.0, 0.5)",LASF3,LMSF4,0.4844682826550148
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RMSF3,0.48146048276647185
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RMSF4,0.5167241299560561
