subject,event,ch1,ch2,coh_mean
D0063,"stimulus_c_(0.0, 0.5)",LASF1,LASF3,0.5296442962311483
D0063,"stimulus_c_(0.0, 0.5)",LASF1,LASF7,0.500077587194645
D0063,"stimulus_c_(0.0, 0.5)",LASF1,LASF9,0.528380207009145
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RAMF1,0.4893026027882649
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RAMF2,0.48537088955233626
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMMF2,0.46520958156695835
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMMF3,0.4630930364973619
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMMF4,0.46811536246234453
D0063,"stimulus_c_(0.0, 0.5)",LASF1,LMSF1,0.4863381314922038
D0063,"stimulus_c_(0.0, 0.5)",LASF1,LMSF2,0.46324809970759645
D0063,"stimulus_c_(0.0, 0.5)",LASF1,LMSF4,0.46509664549362223
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMSF3,0.46204521450164604
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMSF4,0.45948843288242097
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMSF5,0.47573960537586335
D0063,"stimulus_c_(0.0, 0.5)",LASF1,RMMF1,0.477497110935049
D0063,"stimulus_c_(0.0, 0.5)",LASF3,LASF7,0.6329753065572361
D0063,"stimulus_c_(0.0, 0.5)",LASF3,LASF9,0.6076941756110437
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RAMF1,0.471024142794963
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RAMF2,0.5431057439473775
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RMMF2,0.5626374036007731
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RMMF3,0.5725262761958053
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RMMF4,0.5426980919999616
D0063,"stimulus_c_(0.0, 0.5)",LASF3,LMSF1,0.4747273838611142
D0063,"stimulus_c_(0.0, 0.5)",LASF3,LMSF2,0.4738902964397834
D0063,"stimulus_c_(0.0, 0.5)",LASF3,LMSF4,0.5423157564341781
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RMSF3,0.5213234013973604
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RMSF4,0.49945423989773274
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RMSF5,0.5252890294378375
D0063,"stimulus_c_(0.0, 0.5)",LASF3,RMMF1,0.4613251693878656
D0063,"stimulus_c_(0.0, 0.5)",LASF7,LASF9,0.5695444182010375
D0063,"stimulus_c_(0.0, 0.5)",LASF7,RAMF1,0.487714120796075
D0063,"stimulus_c_(0.0, 0.5)",LASF7,RAMF2,0.5193148613728448
