subject,event,ch1,ch2,coh_mean
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,LASF3,0.5350535495246285
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,LASF7,0.5546266330091486
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,LASF9,0.4809244660158707
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RAMF1,0.5438016146712357
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RAMF2,0.5759227243796146
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMMF2,0.46944247780761406
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMMF3,0.4993539380954833
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMMF4,0.5083759787084133
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,LMSF1,0.5605104874675761
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,LMSF2,0.4785239630764565
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,LMSF4,0.5249617563604543
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMSF3,0.508807234883279
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMSF4,0.5384358110684606
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMSF5,0.5340119607769251
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMMF1,0.5209195253763954
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,LASF7,0.48914047967702706
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,LASF9,0.5971772112131756
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RAMF1,0.5110443917566724
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RAMF2,0.46786802353684886
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMMF2,0.46786802353684886
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMMF3,0.562434189236938
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMMF4,0.5465752837432108
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,LMSF1,0.5354032663791444
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,LMSF2,0.4933305924465135
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,LMSF4,0.5066635973341075
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMSF3,0.47852081632154386
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMSF4,0.43946137194508256
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMSF5,0.5081889143009026
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMMF1,0.5335779143618209
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,LASF9,0.503164086910819
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,RAMF1,0.5225985745128882
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,RAMF2,0.4771921045974804
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,RMMF2,0.5341938186841473
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,RMMF3,0.4899227663210062
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,RMMF4,0.504786020020069
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,LMSF1,0.48639767370388026
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,LMSF2,0.5877142621786191
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,LMSF4,0.5198743817438153
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,RMSF3,0.5444109847485785
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,RMSF4,0.47518261137076073
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,RMSF5,0.5596716782339557
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,RMMF1,0.564911185559324
D0063,"stimulus_i_(-0.5, 0.0)",LASF9,RAMF1,0.4491559465567995
D0063,"stimulus_i_(-0.5, 0.0)",LASF9,RAMF2,0.5106296167747997
D0063,"stimulus_i_(-0.5, 0.0)",LASF9,RMMF2,0.47806395228408083
D0063,"stimulus_i_(-0.5, 0.0)",LASF9,RMMF3,0.5124184451200122
D0063,"stimulus_i_(-0.5, 0.0)",LASF9,RMMF4,0.4845567772309606
D0063,"stimulus_i_(-0.5, 0.0)",LASF9,LMSF1,0.5062395791517532
D0063,"stimulus_i_(-0.5, 0.0)",LASF9,LMSF2,0.5524558288754754
D0063,"stimulus_i_(-0.5, 0.0)",LASF9,LMSF4,0.5072072442017018
D0063,"stimulus_i_(-0.5, 0.0)",LASF9,RMSF3,0.5439359006811748
D0063,"stimulus_i_(-0.5, 0.0)",LASF9,RMSF4,0.559946920557843
D0063,"stimulus_i_(-0.5, 0.0)",LASF9,RMSF5,0.5820313701189189
D0063,"stimulus_i_(-0.5, 0.0)",LASF9,RMMF1,0.5489632114894053
D0063,"stimulus_i_(-0.5, 0.0)",RAMF1,RAMF2,0.5060006539716146
D0063,"stimulus_i_(-0.5, 0.0)",RAMF1,RMMF2,0.48637434712071276
D0063,"stimulus_i_(-0.5, 0.0)",RAMF1,RMMF3,0.521966828593395
D0063,"stimulus_i_(-0.5, 0.0)",RAMF1,RMMF4,0.4945240022427317
D0063,"stimulus_i_(-0.5, 0.0)",RAMF1,LMSF1,0.5352953383930956
D0063,"stimulus_i_(-0.5, 0.0)",RAMF1,LMSF2,0.5371197956419411
D0063,"stimulus_i_(-0.5, 0.0)",RAMF1,LMSF4,0.5304127108598687
D0063,"stimulus_i_(-0.5, 0.0)",RAMF1,RMSF3,0.5078891283506164
D0063,"stimulus_i_(-0.5, 0.0)",RAMF1,RMSF4,0.49015709497202936
D0063,"stimulus_i_(-0.5, 0.0)",RAMF1,RMSF5,0.5092880515160971
D0063,"stimulus_i_(-0.5, 0.0)",RAMF1,RMMF1,0.4873215202961255
D0063,"stimulus_i_(-0.5, 0.0)",RAMF2,RMMF2,0.5398793215055044
D0063,"stimulus_i_(-0.5, 0.0)",RAMF2,RMMF3,0.4637530817094088
D0063,"stimulus_i_(-0.5, 0.0)",RAMF2,RMMF4,0.4974484109413466
D0063,"stimulus_i_(-0.5, 0.0)",RAMF2,LMSF1,0.5291479476940599
D0063,"stimulus_i_(-0.5, 0.0)",RAMF2,LMSF2,0.4797532342980868
D0063,"stimulus_i_(-0.5, 0.0)",RAMF2,LMSF4,0.4967827346365108
D0063,"stimulus_i_(-0.5, 0.0)",RAMF2,RMSF3,0.5173991763691225
D0063,"stimulus_i_(-0.5, 0.0)",RAMF2,RMSF4,0.5185699471409888
D0063,"stimulus_i_(-0.5, 0.0)",RAMF2,RMSF5,0.5741638160381456
D0063,"stimulus_i_(-0.5, 0.0)",RAMF2,RMMF1,0.47047618839655997
D0063,"stimulus_i_(-0.5, 0.0)",RMMF2,RMMF3,0.5373789081300133
D0063,"stimulus_i_(-0.5, 0.0)",RMMF2,RMMF4,0.5045797167618989
D0063,"stimulus_i_(-0.5, 0.0)",RMMF2,LMSF1,0.5611016061524172
D0063,"stimulus_i_(-0.5, 0.0)",RMMF2,LMSF2,0.5105407988605266
D0063,"stimulus_i_(-0.5, 0.0)",RMMF2,LMSF4,0.49722492583290223
D0063,"stimulus_i_(-0.5, 0.0)",RMMF2,RMSF3,0.5568982435360849
D0063,"stimulus_i_(-0.5, 0.0)",RMMF2,RMSF4,0.5180877322821821
D0063,"stimulus_i_(-0.5, 0.0)",RMMF2,RMSF5,0.481054034220845
D0063,"stimulus_i_(-0.5, 0.0)",RMMF2,RMMF1,0.4672358842021655
D0063,"stimulus_i_(-0.5, 0.0)",RMMF3,RMMF4,0.4870174319182
D0063,"stimulus_i_(-0.5, 0.0)",RMMF3,LMSF1,0.5170933022221458
D0063,"stimulus_i_(-0.5, 0.0)",RMMF3,LMSF2,0.5291108340603925
D0063,"stimulus_i_(-0.5, 0.0)",RMMF3,LMSF4,0.47100591813233067
D0063,"stimulus_i_(-0.5, 0.0)",RMMF3,RMSF3,0.5457376685757385
D0063,"stimulus_i_(-0.5, 0.0)",RMMF3,RMSF4,0.5457376685757385
D0063,"stimulus_i_(-0.5, 0.0)",RMMF3,RMSF5,0.499152478849986
D0063,"stimulus_i_(-0.5, 0.0)",RMMF3,RMMF1,0.4688668891593542
D0063,"stimulus_i_(-0.5, 0.0)",RMMF4,LMSF1,0.5142254096073118
D0063,"stimulus_i_(-0.5, 0.0)",RMMF4,LMSF2,0.5387085735300419
D0063,"stimulus_i_(-0.5, 0.0)",RMMF4,LMSF4,0.47741354187149576
D0063,"stimulus_i_(-0.5, 0.0)",RMMF4,RMSF3,0.5390476186133696
D0063,"stimulus_i_(-0.5, 0.0)",RMMF4,RMSF4,0.5126828360370799
D0063,"stimulus_i_(-0.5, 0.0)",RMMF4,RMSF5,0.5052481126216416
D0063,"stimulus_i_(-0.5, 0.0)",RMMF4,RMMF1,0.49961551405140076
D0063,"stimulus_i_(-0.5, 0.0)",LMSF1,LMSF2,0.5750001409225404
D0063,"stimulus_i_(-0.5, 0.0)",LMSF1,LMSF4,0.5330782826889675
D0063,"stimulus_i_(-0.5, 0.0)",LMSF1,RMSF3,0.5766060305396765
D0063,"stimulus_i_(-0.5, 0.0)",LMSF1,RMSF4,0.4917099040187881
D0063,"stimulus_i_(-0.5, 0.0)",LMSF1,RMSF5,0.49994517078479384
D0063,"stimulus_i_(-0.5, 0.0)",LMSF1,RMMF1,0.47543382240745524
D0063,"stimulus_i_(-0.5, 0.0)",LMSF2,LMSF4,0.4905937554397184
D0063,"stimulus_i_(-0.5, 0.0)",LMSF2,RMSF3,0.5306924390237988
D0063,"stimulus_i_(-0.5, 0.0)",LMSF2,RMSF4,0.5342748163969349
D0063,"stimulus_i_(-0.5, 0.0)",LMSF2,RMSF5,0.5962413255736027
D0063,"stimulus_i_(-0.5, 0.0)",LMSF2,RMMF1,0.5784048077260064
D0063,"stimulus_i_(-0.5, 0.0)",LMSF4,RMSF3,0.514501530482041
D0063,"stimulus_i_(-0.5, 0.0)",LMSF4,RMSF4,0.5024463160565845
D0063,"stimulus_i_(-0.5, 0.0)",LMSF4,RMSF5,0.5902472886066543
D0063,"stimulus_i_(-0.5, 0.0)",LMSF4,RMMF1,0.5098473572816635
D0063,"stimulus_i_(-0.5, 0.0)",RMSF3,RMSF4,0.5056499506963036
D0063,"stimulus_i_(-0.5, 0.0)",RMSF3,RMSF5,0.4676418977638668
D0063,"stimulus_i_(-0.5, 0.0)",RMSF3,RMMF1,0.48214012187435257
D0063,"stimulus_i_(-0.5, 0.0)",RMSF4,RMSF5,0.4755887638951391
D0063,"stimulus_i_(-0.5, 0.0)",RMSF4,RMMF1,0.5047497487368277
D0063,"stimulus_i_(-0.5, 0.0)",RMSF5,RMMF1,0.4760581161621484
