subject,event,ch1,ch2,coh_mean
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,LASF3,0.5233482141843434
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,LASF7,0.4798540950328598
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,LASF9,0.5233670499316931
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RAMF1,0.4833959869385555
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RAMF2,0.4661684185015759
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMMF2,0.47399735746969973
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMMF3,0.4748863211346255
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMMF4,0.4661015396345555
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,LMSF1,0.4741749106671903
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,LMSF2,0.46977964573277775
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,LMSF4,0.4681509455619096
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMSF3,0.4718959195997607
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMSF4,0.43036632342582903
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMSF5,0.4622504888475851
D0063,"stimulus_i_(-0.5, 0.0)",LASF1,RMMF1,0.47931457474509725
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,LASF7,0.5951198243686677
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,LASF9,0.5774717684277404
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RAMF1,0.49339600871908085
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RAMF2,0.5349969749072454
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMMF2,0.5276034012314215
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMMF3,0.5550933394477316
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMMF4,0.5287452886802924
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,LMSF1,0.49644316760133533
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,LMSF2,0.48491383077513917
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,LMSF4,0.5441468188357649
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMSF3,0.4976528791696696
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMSF4,0.47204924228547407
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMSF5,0.5415559005449407
D0063,"stimulus_i_(-0.5, 0.0)",LASF3,RMMF1,0.4756162652462674
D0063,"stimulus_i_(-0.5, 0.0)",LASF7,LASF9,0.518024117710001
