subject,event,ch1,ch2,coh_mean
D0063,"stimulus_i_(0.0, 0.5)",LASF1,LASF3,0.48590777878404645
D0063,"stimulus_i_(0.0, 0.5)",LASF1,LASF7,0.556674179141498
D0063,"stimulus_i_(0.0, 0.5)",LASF1,LASF9,0.49232598028617164
D0063,"stimulus_i_(0.0, 0.5)",LASF1,RAMF1,0.5355430279463157
D0063,"stimulus_i_(0.0, 0.5)",LASF1,RAMF2,0.5604392759174702
D0063,"stimulus_i_(0.0, 0.5)",LASF1,RMMF2,0.5367896824014652
D0063,"stimulus_i_(0.0, 0.5)",LASF1,RMMF3,0.5148465792221905
D0063,"stimulus_i_(0.0, 0.5)",LASF1,RMMF4,0.5374464515028786
D0063,"stimulus_i_(0.0, 0.5)",LASF1,LMSF1,0.5071590188837142
D0063,"stimulus_i_(0.0, 0.5)",LASF1,LMSF2,0.5077102217789224
D0063,"stimulus_i_(0.0, 0.5)",LASF1,LMSF4,0.4573338840329081
D0063,"stimulus_i_(0.0, 0.5)",LASF1,RMSF3,0.545037808906496
D0063,"stimulus_i_(0.0, 0.5)",LASF1,RMSF4,0.5289762592298761
D0063,"stimulus_i_(0.0, 0.5)",LASF1,RMSF5,0.5793536077922601
D0063,"stimulus_i_(0.0, 0.5)",LASF1,RMMF1,0.5334234320241864
D0063,"stimulus_i_(0.0, 0.5)",LASF3,LASF7,0.4829937305818443
D0063,"stimulus_i_(0.0, 0.5)",LASF3,LASF9,0.5983849635659733
D0063,"stimulus_i_(0.0, 0.5)",LASF3,RAMF1,0.5144913369954227
D0063,"stimulus_i_(0.0, 0.5)",LASF3,RAMF2,0.4869694384083372
D0063,"stimulus_i_(0.0, 0.5)",LASF3,RMMF2,0.4869694384083372
D0063,"stimulus_i_(0.0, 0.5)",LASF3,RMMF3,0.5872363403086436
D0063,"stimulus_i_(0.0, 0.5)",LASF3,RMMF4,0.5772572255716895
D0063,"stimulus_i_(0.0, 0.5)",LASF3,LMSF1,0.5194142530551452
D0063,"stimulus_i_(0.0, 0.5)",LASF3,LMSF2,0.5081606557834286
D0063,"stimulus_i_(0.0, 0.5)",LASF3,LMSF4,0.4726335420812967
D0063,"stimulus_i_(0.0, 0.5)",LASF3,RMSF3,0.5293434877301502
D0063,"stimulus_i_(0.0, 0.5)",LASF3,RMSF4,0.5165361097423724
D0063,"stimulus_i_(0.0, 0.5)",LASF3,RMSF5,0.5015779205924953
D0063,"stimulus_i_(0.0, 0.5)",LASF3,RMMF1,0.5041924834277404
D0063,"stimulus_i_(0.0, 0.5)",LASF7,LASF9,0.5121020190361585
D0063,"stimulus_i_(0.0, 0.5)",LASF7,RAMF1,0.5672852778006473
D0063,"stimulus_i_(0.0, 0.5)",LASF7,RAMF2,0.5098726126032533
D0063,"stimulus_i_(0.0, 0.5)",LASF7,RMMF2,0.5425296705919965
D0063,"stimulus_i_(0.0, 0.5)",LASF7,RMMF3,0.5043922125248764
D0063,"stimulus_i_(0.0, 0.5)",LASF7,RMMF4,0.46095193405634227
D0063,"stimulus_i_(0.0, 0.5)",LASF7,LMSF1,0.5093760192995825
D0063,"stimulus_i_(0.0, 0.5)",LASF7,LMSF2,0.5480325114669276
D0063,"stimulus_i_(0.0, 0.5)",LASF7,LMSF4,0.5289708644085576
D0063,"stimulus_i_(0.0, 0.5)",LASF7,RMSF3,0.5253697717626089
D0063,"stimulus_i_(0.0, 0.5)",LASF7,RMSF4,0.5033714503165381
D0063,"stimulus_i_(0.0, 0.5)",LASF7,RMSF5,0.5302292679389575
D0063,"stimulus_i_(0.0, 0.5)",LASF7,RMMF1,0.5404228901128039
D0063,"stimulus_i_(0.0, 0.5)",LASF9,RAMF1,0.45889739536183727
D0063,"stimulus_i_(0.0, 0.5)",LASF9,RAMF2,0.47761632523053626
D0063,"stimulus_i_(0.0, 0.5)",LASF9,RMMF2,0.5149175091117715
D0063,"stimulus_i_(0.0, 0.5)",LASF9,RMMF3,0.5400700379551993
D0063,"stimulus_i_(0.0, 0.5)",LASF9,RMMF4,0.5014092222696038
D0063,"stimulus_i_(0.0, 0.5)",LASF9,LMSF1,0.485469531089328
D0063,"stimulus_i_(0.0, 0.5)",LASF9,LMSF2,0.5568572621602167
D0063,"stimulus_i_(0.0, 0.5)",LASF9,LMSF4,0.4949995614684234
D0063,"stimulus_i_(0.0, 0.5)",LASF9,RMSF3,0.5021357138741446
D0063,"stimulus_i_(0.0, 0.5)",LASF9,RMSF4,0.6444988395731284
D0063,"stimulus_i_(0.0, 0.5)",LASF9,RMSF5,0.5351022517460716
D0063,"stimulus_i_(0.0, 0.5)",LASF9,RMMF1,0.5024621637992714
D0063,"stimulus_i_(0.0, 0.5)",RAMF1,RAMF2,0.5388475561245807
D0063,"stimulus_i_(0.0, 0.5)",RAMF1,RMMF2,0.5474237353576504
D0063,"stimulus_i_(0.0, 0.5)",RAMF1,RMMF3,0.5176811881206265
D0063,"stimulus_i_(0.0, 0.5)",RAMF1,RMMF4,0.4943064964323895
D0063,"stimulus_i_(0.0, 0.5)",RAMF1,LMSF1,0.536290809446448
D0063,"stimulus_i_(0.0, 0.5)",RAMF1,LMSF2,0.46826919225222213
D0063,"stimulus_i_(0.0, 0.5)",RAMF1,LMSF4,0.49790409496541643
D0063,"stimulus_i_(0.0, 0.5)",RAMF1,RMSF3,0.4862369371019814
D0063,"stimulus_i_(0.0, 0.5)",RAMF1,RMSF4,0.4703613839124901
D0063,"stimulus_i_(0.0, 0.5)",RAMF1,RMSF5,0.5406663935115668
D0063,"stimulus_i_(0.0, 0.5)",RAMF1,RMMF1,0.5129454409023264
D0063,"stimulus_i_(0.0, 0.5)",RAMF2,RMMF2,0.49084196045714407
D0063,"stimulus_i_(0.0, 0.5)",RAMF2,RMMF3,0.4881835802812813
D0063,"stimulus_i_(0.0, 0.5)",RAMF2,RMMF4,0.5248228519291138
D0063,"stimulus_i_(0.0, 0.5)",RAMF2,LMSF1,0.5013015542353755
D0063,"stimulus_i_(0.0, 0.5)",RAMF2,LMSF2,0.5123492850407853
D0063,"stimulus_i_(0.0, 0.5)",RAMF2,LMSF4,0.5292774803560324
D0063,"stimulus_i_(0.0, 0.5)",RAMF2,RMSF3,0.5329798244652953
D0063,"stimulus_i_(0.0, 0.5)",RAMF2,RMSF4,0.49802807316623476
D0063,"stimulus_i_(0.0, 0.5)",RAMF2,RMSF5,0.6522440044993378
D0063,"stimulus_i_(0.0, 0.5)",RAMF2,RMMF1,0.509730313472348
D0063,"stimulus_i_(0.0, 0.5)",RMMF2,RMMF3,0.5873332232680819
D0063,"stimulus_i_(0.0, 0.5)",RMMF2,RMMF4,0.5125977486378396
D0063,"stimulus_i_(0.0, 0.5)",RMMF2,LMSF1,0.49530401319757106
D0063,"stimulus_i_(0.0, 0.5)",RMMF2,LMSF2,0.5300425275003564
D0063,"stimulus_i_(0.0, 0.5)",RMMF2,LMSF4,0.532585711674607
D0063,"stimulus_i_(0.0, 0.5)",RMMF2,RMSF3,0.5536364388044962
D0063,"stimulus_i_(0.0, 0.5)",RMMF2,RMSF4,0.4755790490682246
D0063,"stimulus_i_(0.0, 0.5)",RMMF2,RMSF5,0.46982926892952825
D0063,"stimulus_i_(0.0, 0.5)",RMMF2,RMMF1,0.462008111889609
D0063,"stimulus_i_(0.0, 0.5)",RMMF3,RMMF4,0.4961673469479483
D0063,"stimulus_i_(0.0, 0.5)",RMMF3,LMSF1,0.4899211599858823
D0063,"stimulus_i_(0.0, 0.5)",RMMF3,LMSF2,0.4722183718511409
D0063,"stimulus_i_(0.0, 0.5)",RMMF3,LMSF4,0.4697638170166607
D0063,"stimulus_i_(0.0, 0.5)",RMMF3,RMSF3,0.5386498048925988
D0063,"stimulus_i_(0.0, 0.5)",RMMF3,RMSF4,0.5386498048925988
D0063,"stimulus_i_(0.0, 0.5)",RMMF3,RMSF5,0.4860252344991599
D0063,"stimulus_i_(0.0, 0.5)",RMMF3,RMMF1,0.47188240758253613
D0063,"stimulus_i_(0.0, 0.5)",RMMF4,LMSF1,0.5038560061301243
D0063,"stimulus_i_(0.0, 0.5)",RMMF4,LMSF2,0.5794188473627369
D0063,"stimulus_i_(0.0, 0.5)",RMMF4,LMSF4,0.4861873430485529
D0063,"stimulus_i_(0.0, 0.5)",RMMF4,RMSF3,0.496072785325045
D0063,"stimulus_i_(0.0, 0.5)",RMMF4,RMSF4,0.5133713851999662
D0063,"stimulus_i_(0.0, 0.5)",RMMF4,RMSF5,0.5045449374289575
D0063,"stimulus_i_(0.0, 0.5)",RMMF4,RMMF1,0.4740108925300233
D0063,"stimulus_i_(0.0, 0.5)",LMSF1,LMSF2,0.5325654767850658
D0063,"stimulus_i_(0.0, 0.5)",LMSF1,LMSF4,0.5250627223175801
D0063,"stimulus_i_(0.0, 0.5)",LMSF1,RMSF3,0.5287246188405433
D0063,"stimulus_i_(0.0, 0.5)",LMSF1,RMSF4,0.4957684119178103
D0063,"stimulus_i_(0.0, 0.5)",LMSF1,RMSF5,0.4837647343326794
D0063,"stimulus_i_(0.0, 0.5)",LMSF1,RMMF1,0.5497882897084936
D0063,"stimulus_i_(0.0, 0.5)",LMSF2,LMSF4,0.5041803150923908
D0063,"stimulus_i_(0.0, 0.5)",LMSF2,RMSF3,0.539335006788175
D0063,"stimulus_i_(0.0, 0.5)",LMSF2,RMSF4,0.521867092066163
D0063,"stimulus_i_(0.0, 0.5)",LMSF2,RMSF5,0.5346871276887325
D0063,"stimulus_i_(0.0, 0.5)",LMSF2,RMMF1,0.5027924222591893
D0063,"stimulus_i_(0.0, 0.5)",LMSF4,RMSF3,0.4913025824318574
D0063,"stimulus_i_(0.0, 0.5)",LMSF4,RMSF4,0.4964800539151116
D0063,"stimulus_i_(0.0, 0.5)",LMSF4,RMSF5,0.5720109460336404
D0063,"stimulus_i_(0.0, 0.5)",LMSF4,RMMF1,0.49545334540939723
D0063,"stimulus_i_(0.0, 0.5)",RMSF3,RMSF4,0.5029053559233383
D0063,"stimulus_i_(0.0, 0.5)",RMSF3,RMSF5,0.525113827311487
D0063,"stimulus_i_(0.0, 0.5)",RMSF3,RMMF1,0.48567925780412197
D0063,"stimulus_i_(0.0, 0.5)",RMSF4,RMSF5,0.46237358404370554
D0063,"stimulus_i_(0.0, 0.5)",RMSF4,RMMF1,0.5207203638364891
D0063,"stimulus_i_(0.0, 0.5)",RMSF5,RMMF1,0.4960119831184798
