subject,event,ch1,ch2,coh_mean
D0063,"stimulus_i_(1.0, 1.5)",LASF1,LASF3,0.5092607054424956
D0063,"stimulus_i_(1.0, 1.5)",LASF1,LASF7,0.5184614576173842
D0063,"stimulus_i_(1.0, 1.5)",LASF1,LASF9,0.4940594098021483
D0063,"stimulus_i_(1.0, 1.5)",LASF1,RAMF1,0.5179739249917263
D0063,"stimulus_i_(1.0, 1.5)",LASF1,RAMF2,0.5145304535349791
D0063,"stimulus_i_(1.0, 1.5)",LASF1,RMMF2,0.5375329486807702
D0063,"stimulus_i_(1.0, 1.5)",LASF1,RMMF3,0.5137980430563642
D0063,"stimulus_i_(1.0, 1.5)",LASF1,RMMF4,0.4567219783733754
D0063,"stimulus_i_(1.0, 1.5)",LASF1,LMSF1,0.47962892527761036
D0063,"stimulus_i_(1.0, 1.5)",LASF1,LMSF2,0.5172588736362681
D0063,"stimulus_i_(1.0, 1.5)",LASF1,LMSF4,0.520872556033611
D0063,"stimulus_i_(1.0, 1.5)",LASF1,RMSF3,0.5197855828834665
D0063,"stimulus_i_(1.0, 1.5)",LASF1,RMSF4,0.5201763174523354
D0063,"stimulus_i_(1.0, 1.5)",LASF1,RMSF5,0.5230086620272606
D0063,"stimulus_i_(1.0, 1.5)",LASF1,RMMF1,0.5185816888252801
D0063,"stimulus_i_(1.0, 1.5)",LASF3,LASF7,0.5676055558170895
D0063,"stimulus_i_(1.0, 1.5)",LASF3,LASF9,0.4984523876751426
D0063,"stimulus_i_(1.0, 1.5)",LASF3,RAMF1,0.5146199347045068
D0063,"stimulus_i_(1.0, 1.5)",LASF3,RAMF2,0.5073755505271229
D0063,"stimulus_i_(1.0, 1.5)",LASF3,RMMF2,0.5073755505271229
D0063,"stimulus_i_(1.0, 1.5)",LASF3,RMMF3,0.5582325737075091
D0063,"stimulus_i_(1.0, 1.5)",LASF3,RMMF4,0.5139113534507219
D0063,"stimulus_i_(1.0, 1.5)",LASF3,LMSF1,0.545818002557219
D0063,"stimulus_i_(1.0, 1.5)",LASF3,LMSF2,0.49178905110438786
D0063,"stimulus_i_(1.0, 1.5)",LASF3,LMSF4,0.482244489650555
D0063,"stimulus_i_(1.0, 1.5)",LASF3,RMSF3,0.5501705799949754
D0063,"stimulus_i_(1.0, 1.5)",LASF3,RMSF4,0.4827596647962052
D0063,"stimulus_i_(1.0, 1.5)",LASF3,RMSF5,0.5216913591740707
D0063,"stimulus_i_(1.0, 1.5)",LASF3,RMMF1,0.49941141801795347
D0063,"stimulus_i_(1.0, 1.5)",LASF7,LASF9,0.48456826676386383
D0063,"stimulus_i_(1.0, 1.5)",LASF7,RAMF1,0.5022137988168542
D0063,"stimulus_i_(1.0, 1.5)",LASF7,RAMF2,0.4910081421613889
D0063,"stimulus_i_(1.0, 1.5)",LASF7,RMMF2,0.4707184030589374
D0063,"stimulus_i_(1.0, 1.5)",LASF7,RMMF3,0.5184553044330136
D0063,"stimulus_i_(1.0, 1.5)",LASF7,RMMF4,0.5037013531568933
D0063,"stimulus_i_(1.0, 1.5)",LASF7,LMSF1,0.49665528767375994
D0063,"stimulus_i_(1.0, 1.5)",LASF7,LMSF2,0.5130721853383082
D0063,"stimulus_i_(1.0, 1.5)",LASF7,LMSF4,0.5377760634476647
D0063,"stimulus_i_(1.0, 1.5)",LASF7,RMSF3,0.49655510776453327
D0063,"stimulus_i_(1.0, 1.5)",LASF7,RMSF4,0.5019063502444928
D0063,"stimulus_i_(1.0, 1.5)",LASF7,RMSF5,0.49629319639512204
D0063,"stimulus_i_(1.0, 1.5)",LASF7,RMMF1,0.4741356372482727
D0063,"stimulus_i_(1.0, 1.5)",LASF9,RAMF1,0.49146266019368207
D0063,"stimulus_i_(1.0, 1.5)",LASF9,RAMF2,0.48533506337869137
D0063,"stimulus_i_(1.0, 1.5)",LASF9,RMMF2,0.4447371157681651
D0063,"stimulus_i_(1.0, 1.5)",LASF9,RMMF3,0.5094785091824603
D0063,"stimulus_i_(1.0, 1.5)",LASF9,RMMF4,0.5403683794835472
D0063,"stimulus_i_(1.0, 1.5)",LASF9,LMSF1,0.5193771166498141
D0063,"stimulus_i_(1.0, 1.5)",LASF9,LMSF2,0.5489886716242114
D0063,"stimulus_i_(1.0, 1.5)",LASF9,LMSF4,0.4874634226369286
D0063,"stimulus_i_(1.0, 1.5)",LASF9,RMSF3,0.5746840718460295
D0063,"stimulus_i_(1.0, 1.5)",LASF9,RMSF4,0.6331670708245933
D0063,"stimulus_i_(1.0, 1.5)",LASF9,RMSF5,0.5339457677475391
D0063,"stimulus_i_(1.0, 1.5)",LASF9,RMMF1,0.5037345434294599
D0063,"stimulus_i_(1.0, 1.5)",RAMF1,RAMF2,0.5184300995608063
D0063,"stimulus_i_(1.0, 1.5)",RAMF1,RMMF2,0.4911019808021011
D0063,"stimulus_i_(1.0, 1.5)",RAMF1,RMMF3,0.5064687470115805
D0063,"stimulus_i_(1.0, 1.5)",RAMF1,RMMF4,0.5642693672808351
D0063,"stimulus_i_(1.0, 1.5)",RAMF1,LMSF1,0.49458589897635014
D0063,"stimulus_i_(1.0, 1.5)",RAMF1,LMSF2,0.5385123096345699
D0063,"stimulus_i_(1.0, 1.5)",RAMF1,LMSF4,0.5871029252545822
D0063,"stimulus_i_(1.0, 1.5)",RAMF1,RMSF3,0.46433303814512655
D0063,"stimulus_i_(1.0, 1.5)",RAMF1,RMSF4,0.5011279748919889
D0063,"stimulus_i_(1.0, 1.5)",RAMF1,RMSF5,0.5049905379199788
D0063,"stimulus_i_(1.0, 1.5)",RAMF1,RMMF1,0.5364778421140207
D0063,"stimulus_i_(1.0, 1.5)",RAMF2,RMMF2,0.48767334032551013
D0063,"stimulus_i_(1.0, 1.5)",RAMF2,RMMF3,0.4859151492534076
D0063,"stimulus_i_(1.0, 1.5)",RAMF2,RMMF4,0.536956789183405
D0063,"stimulus_i_(1.0, 1.5)",RAMF2,LMSF1,0.5498754383767944
D0063,"stimulus_i_(1.0, 1.5)",RAMF2,LMSF2,0.5416945379524666
D0063,"stimulus_i_(1.0, 1.5)",RAMF2,LMSF4,0.5525275258566197
D0063,"stimulus_i_(1.0, 1.5)",RAMF2,RMSF3,0.5106821005783693
D0063,"stimulus_i_(1.0, 1.5)",RAMF2,RMSF4,0.5467679555627091
D0063,"stimulus_i_(1.0, 1.5)",RAMF2,RMSF5,0.6261437224820675
D0063,"stimulus_i_(1.0, 1.5)",RAMF2,RMMF1,0.5266606045541502
D0063,"stimulus_i_(1.0, 1.5)",RMMF2,RMMF3,0.6087559939219206
D0063,"stimulus_i_(1.0, 1.5)",RMMF2,RMMF4,0.5053495527238949
D0063,"stimulus_i_(1.0, 1.5)",RMMF2,LMSF1,0.5279231805821163
D0063,"stimulus_i_(1.0, 1.5)",RMMF2,LMSF2,0.5176139140887915
D0063,"stimulus_i_(1.0, 1.5)",RMMF2,LMSF4,0.6097049761970021
D0063,"stimulus_i_(1.0, 1.5)",RMMF2,RMSF3,0.4747944674353571
D0063,"stimulus_i_(1.0, 1.5)",RMMF2,RMSF4,0.4944129397246414
D0063,"stimulus_i_(1.0, 1.5)",RMMF2,RMSF5,0.5352164928876401
D0063,"stimulus_i_(1.0, 1.5)",RMMF2,RMMF1,0.5060730628889549
D0063,"stimulus_i_(1.0, 1.5)",RMMF3,RMMF4,0.5129222447104715
D0063,"stimulus_i_(1.0, 1.5)",RMMF3,LMSF1,0.49844086005200916
D0063,"stimulus_i_(1.0, 1.5)",RMMF3,LMSF2,0.4629531330289472
D0063,"stimulus_i_(1.0, 1.5)",RMMF3,LMSF4,0.5411853797598407
D0063,"stimulus_i_(1.0, 1.5)",RMMF3,RMSF3,0.5068564001332607
D0063,"stimulus_i_(1.0, 1.5)",RMMF3,RMSF4,0.5068564001332607
D0063,"stimulus_i_(1.0, 1.5)",RMMF3,RMSF5,0.49455054711546276
D0063,"stimulus_i_(1.0, 1.5)",RMMF3,RMMF1,0.5085646398833081
D0063,"stimulus_i_(1.0, 1.5)",RMMF4,LMSF1,0.5438091570042874
D0063,"stimulus_i_(1.0, 1.5)",RMMF4,LMSF2,0.5401477046920454
D0063,"stimulus_i_(1.0, 1.5)",RMMF4,LMSF4,0.4569877605271319
D0063,"stimulus_i_(1.0, 1.5)",RMMF4,RMSF3,0.48101924402667573
