subject,event,ch1,ch2,coh_mean
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,LASF3,0.5389783626348968
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,LASF7,0.4834120781519949
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,LASF9,0.5301736202098357
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,RAMF1,0.47590349110659375
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,RAMF2,0.4693821881743309
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,RMMF2,0.47002930480365057
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,RMMF3,0.47541828167569666
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,RMMF4,0.49269669282110895
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,LMSF1,0.4788199778354697
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,LMSF2,0.46643663207107516
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,LMSF4,0.4690368139290411
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,RMSF3,0.47051639544088986
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,RMSF4,0.43923995346095956
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,RMSF5,0.47633977936359023
D0063,"stimulus_r_(-0.5, 0.0)",LASF1,RMMF1,0.47028449859210897
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,LASF7,0.6159234009599026
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,LASF9,0.607211387073953
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,RAMF1,0.4810838015976586
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,RAMF2,0.5521068976404555
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,RMMF2,0.5461301723547005
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,RMMF3,0.5772038286805501
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,RMMF4,0.5518203910632115
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,LMSF1,0.49412558274723145
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,LMSF2,0.49286606079924267
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,LMSF4,0.5519380502752536
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,RMSF3,0.5287121097239263
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,RMSF4,0.506738322187994
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,RMSF5,0.5437156818924744
D0063,"stimulus_r_(-0.5, 0.0)",LASF3,RMMF1,0.45965938198657424
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,LASF9,0.5611257619113273
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,RAMF1,0.47442294266767926
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,RAMF2,0.5305555050576993
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,RMMF2,0.5199995429701689
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,RMMF3,0.5487240507386602
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,RMMF4,0.5406196192916197
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,LMSF1,0.5396386392936592
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,LMSF2,0.5262136077143065
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,LMSF4,0.514362280778873
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,RMSF3,0.4903548310105564
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,RMSF4,0.508843593917053
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,RMSF5,0.5310813914743854
D0063,"stimulus_r_(-0.5, 0.0)",LASF7,RMMF1,0.4836827012275058
D0063,"stimulus_r_(-0.5, 0.0)",LASF9,RAMF1,0.4794966929907211
D0063,"stimulus_r_(-0.5, 0.0)",LASF9,RAMF2,0.5253562418582132
D0063,"stimulus_r_(-0.5, 0.0)",LASF9,RMMF2,0.5123933295353271
D0063,"stimulus_r_(-0.5, 0.0)",LASF9,RMMF3,0.5505634093215286
D0063,"stimulus_r_(-0.5, 0.0)",LASF9,RMMF4,0.5374922479640736
D0063,"stimulus_r_(-0.5, 0.0)",LASF9,LMSF1,0.48347843963419346
D0063,"stimulus_r_(-0.5, 0.0)",LASF9,LMSF2,0.48947005850573033
D0063,"stimulus_r_(-0.5, 0.0)",LASF9,LMSF4,0.5381196943133739
D0063,"stimulus_r_(-0.5, 0.0)",LASF9,RMSF3,0.5232701366917598
D0063,"stimulus_r_(-0.5, 0.0)",LASF9,RMSF4,0.5038801969275126
D0063,"stimulus_r_(-0.5, 0.0)",LASF9,RMSF5,0.5344001512221593
D0063,"stimulus_r_(-0.5, 0.0)",LASF9,RMMF1,0.4624653062527247
D0063,"stimulus_r_(-0.5, 0.0)",RAMF1,RAMF2,0.6278723215875769
D0063,"stimulus_r_(-0.5, 0.0)",RAMF1,RMMF2,0.5104290196289643
D0063,"stimulus_r_(-0.5, 0.0)",RAMF1,RMMF3,0.49756053582110615
D0063,"stimulus_r_(-0.5, 0.0)",RAMF1,RMMF4,0.4906016487931745
D0063,"stimulus_r_(-0.5, 0.0)",RAMF1,LMSF1,0.4646342950037345
D0063,"stimulus_r_(-0.5, 0.0)",RAMF1,LMSF2,0.472807082029341
D0063,"stimulus_r_(-0.5, 0.0)",RAMF1,LMSF4,0.4595262752979469
D0063,"stimulus_r_(-0.5, 0.0)",RAMF1,RMSF3,0.46740374658881434
D0063,"stimulus_r_(-0.5, 0.0)",RAMF1,RMSF4,0.4811270969919551
D0063,"stimulus_r_(-0.5, 0.0)",RAMF1,RMSF5,0.49946307705891535
D0063,"stimulus_r_(-0.5, 0.0)",RAMF1,RMMF1,0.5158832446351764
D0063,"stimulus_r_(-0.5, 0.0)",RAMF2,RMMF2,0.5743866055162353
D0063,"stimulus_r_(-0.5, 0.0)",RAMF2,RMMF3,0.6330052206641954
D0063,"stimulus_r_(-0.5, 0.0)",RAMF2,RMMF4,0.5699734219832859
D0063,"stimulus_r_(-0.5, 0.0)",RAMF2,LMSF1,0.48509259940292265
D0063,"stimulus_r_(-0.5, 0.0)",RAMF2,LMSF2,0.4826589819280091
D0063,"stimulus_r_(-0.5, 0.0)",RAMF2,LMSF4,0.5263469319548766
D0063,"stimulus_r_(-0.5, 0.0)",RAMF2,RMSF3,0.5486698248003892
D0063,"stimulus_r_(-0.5, 0.0)",RAMF2,RMSF4,0.5362544594780592
D0063,"stimulus_r_(-0.5, 0.0)",RAMF2,RMSF5,0.5768907975136046
D0063,"stimulus_r_(-0.5, 0.0)",RAMF2,RMMF1,0.5045952685422899
D0063,"stimulus_r_(-0.5, 0.0)",RMMF2,RMMF3,0.7412784678784051
D0063,"stimulus_r_(-0.5, 0.0)",RMMF2,RMMF4,0.5781148486365058
D0063,"stimulus_r_(-0.5, 0.0)",RMMF2,LMSF1,0.4771801426645056
D0063,"stimulus_r_(-0.5, 0.0)",RMMF2,LMSF2,0.47880993047520476
D0063,"stimulus_r_(-0.5, 0.0)",RMMF2,LMSF4,0.5057759086524981
D0063,"stimulus_r_(-0.5, 0.0)",RMMF2,RMSF3,0.5184288010827462
D0063,"stimulus_r_(-0.5, 0.0)",RMMF2,RMSF4,0.5325032325384538
D0063,"stimulus_r_(-0.5, 0.0)",RMMF2,RMSF5,0.579607542469417
D0063,"stimulus_r_(-0.5, 0.0)",RMMF2,RMMF1,0.6458639443925469
D0063,"stimulus_r_(-0.5, 0.0)",RMMF3,RMMF4,0.6687269694669834
D0063,"stimulus_r_(-0.5, 0.0)",RMMF3,LMSF1,0.47714504010612274
D0063,"stimulus_r_(-0.5, 0.0)",RMMF3,LMSF2,0.4918117238293174
D0063,"stimulus_r_(-0.5, 0.0)",RMMF3,LMSF4,0.552072360340101
