subject,event,ch1,ch2,coh_mean
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,LASF3,0.5230206861386592
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,LASF7,0.48867721069424896
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,LASF9,0.5165415860819906
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,RAMF1,0.5020883908255993
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,RAMF2,0.48509052648237083
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,RMMF2,0.4600605931628341
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,RMMF3,0.47376671267865383
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,RMMF4,0.44461566165036975
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,LMSF1,0.4944977538699662
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,LMSF2,0.4717479741673417
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,LMSF4,0.4734822285994555
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,RMSF3,0.4789212940890794
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,RMSF4,0.46765893982530066
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,RMSF5,0.461674514533343
D0063,"stimulus_s_(-0.5, 0.0)",LASF1,RMMF1,0.467653490176656
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,LASF7,0.6188291814248232
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,LASF9,0.5776435024681961
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,RAMF1,0.4832256739370482
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,RAMF2,0.5428263459296244
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,RMMF2,0.5414277071961074
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,RMMF3,0.5781895900733575
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,RMMF4,0.5422208275909586
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,LMSF1,0.5005050922645767
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,LMSF2,0.4948244979215625
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,LMSF4,0.5530877908405163
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,RMSF3,0.5035835194000441
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,RMSF4,0.4696283460266051
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,RMSF5,0.5498821840525565
D0063,"stimulus_s_(-0.5, 0.0)",LASF3,RMMF1,0.4782011313952094
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,LASF9,0.545222859537844
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,RAMF1,0.47805570184170926
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,RAMF2,0.5061018502402649
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,RMMF2,0.5349819440058742
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,RMMF3,0.5334668567105721
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,RMMF4,0.5196577447872551
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,LMSF1,0.5161490937287949
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,LMSF2,0.5103029615368947
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,LMSF4,0.5002385887088929
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,RMSF3,0.5092748709759808
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,RMSF4,0.47510354458920856
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,RMSF5,0.5126492891180409
D0063,"stimulus_s_(-0.5, 0.0)",LASF7,RMMF1,0.47825764732862786
D0063,"stimulus_s_(-0.5, 0.0)",LASF9,RAMF1,0.48465857204338414
D0063,"stimulus_s_(-0.5, 0.0)",LASF9,RAMF2,0.5269260091593378
D0063,"stimulus_s_(-0.5, 0.0)",LASF9,RMMF2,0.5492007464072736
D0063,"stimulus_s_(-0.5, 0.0)",LASF9,RMMF3,0.578866771777452
D0063,"stimulus_s_(-0.5, 0.0)",LASF9,RMMF4,0.5497794364528998
D0063,"stimulus_s_(-0.5, 0.0)",LASF9,LMSF1,0.5080730636034296
D0063,"stimulus_s_(-0.5, 0.0)",LASF9,LMSF2,0.47844445159233373
D0063,"stimulus_s_(-0.5, 0.0)",LASF9,LMSF4,0.578883849632295
D0063,"stimulus_s_(-0.5, 0.0)",LASF9,RMSF3,0.5236434235709598
D0063,"stimulus_s_(-0.5, 0.0)",LASF9,RMSF4,0.4751145813816863
D0063,"stimulus_s_(-0.5, 0.0)",LASF9,RMSF5,0.5550361070789654
D0063,"stimulus_s_(-0.5, 0.0)",LASF9,RMMF1,0.49363904790347035
D0063,"stimulus_s_(-0.5, 0.0)",RAMF1,RAMF2,0.6383721349325218
D0063,"stimulus_s_(-0.5, 0.0)",RAMF1,RMMF2,0.5252425114021669
D0063,"stimulus_s_(-0.5, 0.0)",RAMF1,RMMF3,0.5163863544590618
D0063,"stimulus_s_(-0.5, 0.0)",RAMF1,RMMF4,0.4882062670108639
D0063,"stimulus_s_(-0.5, 0.0)",RAMF1,LMSF1,0.47904724788876707
D0063,"stimulus_s_(-0.5, 0.0)",RAMF1,LMSF2,0.4692860860984069
D0063,"stimulus_s_(-0.5, 0.0)",RAMF1,LMSF4,0.46472372877010854
D0063,"stimulus_s_(-0.5, 0.0)",RAMF1,RMSF3,0.47772965685755353
D0063,"stimulus_s_(-0.5, 0.0)",RAMF1,RMSF4,0.4995639493864619
D0063,"stimulus_s_(-0.5, 0.0)",RAMF1,RMSF5,0.500103985134917
D0063,"stimulus_s_(-0.5, 0.0)",RAMF1,RMMF1,0.5117785689665254
D0063,"stimulus_s_(-0.5, 0.0)",RAMF2,RMMF2,0.5700491066188668
D0063,"stimulus_s_(-0.5, 0.0)",RAMF2,RMMF3,0.5844152247050698
D0063,"stimulus_s_(-0.5, 0.0)",RAMF2,RMMF4,0.5731594090331913
D0063,"stimulus_s_(-0.5, 0.0)",RAMF2,LMSF1,0.4624693213754068
D0063,"stimulus_s_(-0.5, 0.0)",RAMF2,LMSF2,0.4746122002437916
D0063,"stimulus_s_(-0.5, 0.0)",RAMF2,LMSF4,0.5413898734101287
D0063,"stimulus_s_(-0.5, 0.0)",RAMF2,RMSF3,0.5393539231906167
D0063,"stimulus_s_(-0.5, 0.0)",RAMF2,RMSF4,0.5057647131506576
D0063,"stimulus_s_(-0.5, 0.0)",RAMF2,RMSF5,0.5633144614175518
D0063,"stimulus_s_(-0.5, 0.0)",RAMF2,RMMF1,0.4979191842477929
D0063,"stimulus_s_(-0.5, 0.0)",RMMF2,RMMF3,0.7831771636380824
D0063,"stimulus_s_(-0.5, 0.0)",RMMF2,RMMF4,0.5601911128856303
D0063,"stimulus_s_(-0.5, 0.0)",RMMF2,LMSF1,0.49188208740926803
D0063,"stimulus_s_(-0.5, 0.0)",RMMF2,LMSF2,0.46991686103594366
D0063,"stimulus_s_(-0.5, 0.0)",RMMF2,LMSF4,0.5387880460868486
D0063,"stimulus_s_(-0.5, 0.0)",RMMF2,RMSF3,0.5328895979346412
D0063,"stimulus_s_(-0.5, 0.0)",RMMF2,RMSF4,0.5137528058100029
D0063,"stimulus_s_(-0.5, 0.0)",RMMF2,RMSF5,0.5641660191693775
D0063,"stimulus_s_(-0.5, 0.0)",RMMF2,RMMF1,0.6269705176807614
D0063,"stimulus_s_(-0.5, 0.0)",RMMF3,RMMF4,0.6374877571467497
D0063,"stimulus_s_(-0.5, 0.0)",RMMF3,LMSF1,0.49806600127448697
D0063,"stimulus_s_(-0.5, 0.0)",RMMF3,LMSF2,0.4816779175713307
D0063,"stimulus_s_(-0.5, 0.0)",RMMF3,LMSF4,0.568774036345806
D0063,"stimulus_s_(-0.5, 0.0)",RMMF3,RMSF3,0.5493980455903761
D0063,"stimulus_s_(-0.5, 0.0)",RMMF3,RMSF4,0.5013423804225001
D0063,"stimulus_s_(-0.5, 0.0)",RMMF3,RMSF5,0.6328125203554961
D0063,"stimulus_s_(-0.5, 0.0)",RMMF3,RMMF1,0.5283840973836984
D0063,"stimulus_s_(-0.5, 0.0)",RMMF4,LMSF1,0.47971689118113053
D0063,"stimulus_s_(-0.5, 0.0)",RMMF4,LMSF2,0.48929656193491816
D0063,"stimulus_s_(-0.5, 0.0)",RMMF4,LMSF4,0.5288286042199243
D0063,"stimulus_s_(-0.5, 0.0)",RMMF4,RMSF3,0.5199607086801643
D0063,"stimulus_s_(-0.5, 0.0)",RMMF4,RMSF4,0.49567062324641803
D0063,"stimulus_s_(-0.5, 0.0)",RMMF4,RMSF5,0.6099111248664184
D0063,"stimulus_s_(-0.5, 0.0)",RMMF4,RMMF1,0.4750661764567065
D0063,"stimulus_s_(-0.5, 0.0)",LMSF1,LMSF2,0.5097639380738408
D0063,"stimulus_s_(-0.5, 0.0)",LMSF1,LMSF4,0.4915342317928046
D0063,"stimulus_s_(-0.5, 0.0)",LMSF1,RMSF3,0.4721136890350449
D0063,"stimulus_s_(-0.5, 0.0)",LMSF1,RMSF4,0.4780478144674691
D0063,"stimulus_s_(-0.5, 0.0)",LMSF1,RMSF5,0.4639763650404744
D0063,"stimulus_s_(-0.5, 0.0)",LMSF1,RMMF1,0.48678192844348556
D0063,"stimulus_s_(-0.5, 0.0)",LMSF2,LMSF4,0.4998770328851643
D0063,"stimulus_s_(-0.5, 0.0)",LMSF2,RMSF3,0.4902745484695174
D0063,"stimulus_s_(-0.5, 0.0)",LMSF2,RMSF4,0.48028465591699265
D0063,"stimulus_s_(-0.5, 0.0)",LMSF2,RMSF5,0.48054392226466136
D0063,"stimulus_s_(-0.5, 0.0)",LMSF2,RMMF1,0.4834295289878052
D0063,"stimulus_s_(-0.5, 0.0)",LMSF4,RMSF3,0.5123294263352951
D0063,"stimulus_s_(-0.5, 0.0)",LMSF4,RMSF4,0.4862106612421981
D0063,"stimulus_s_(-0.5, 0.0)",LMSF4,RMSF5,0.5500755348088133
D0063,"stimulus_s_(-0.5, 0.0)",LMSF4,RMMF1,0.45957076736033814
D0063,"stimulus_s_(-0.5, 0.0)",RMSF3,RMSF4,0.5137887528180614
D0063,"stimulus_s_(-0.5, 0.0)",RMSF3,RMSF5,0.5226983499947017
D0063,"stimulus_s_(-0.5, 0.0)",RMSF3,RMMF1,0.4791568970317978
D0063,"stimulus_s_(-0.5, 0.0)",RMSF4,RMSF5,0.5012900007234777
D0063,"stimulus_s_(-0.5, 0.0)",RMSF4,RMMF1,0.5223307004736081
D0063,"stimulus_s_(-0.5, 0.0)",RMSF5,RMMF1,0.4580054589904462
