subject,event,ch1,ch2,coh_mean
D0063,"stimulus_s_(0.0, 0.5)",LASF1,LASF3,0.5401209092390945
D0063,"stimulus_s_(0.0, 0.5)",LASF1,LASF7,0.5046154538138351
D0063,"stimulus_s_(0.0, 0.5)",LASF1,LASF9,0.5200091083231184
D0063,"stimulus_s_(0.0, 0.5)",LASF1,RAMF1,0.48257149600494714
D0063,"stimulus_s_(0.0, 0.5)",LASF1,RAMF2,0.4835602224546043
D0063,"stimulus_s_(0.0, 0.5)",LASF1,RMMF2,0.47718133485794917
D0063,"stimulus_s_(0.0, 0.5)",LASF1,RMMF3,0.47099742955363333
D0063,"stimulus_s_(0.0, 0.5)",LASF1,RMMF4,0.4720569188593389
D0063,"stimulus_s_(0.0, 0.5)",LASF1,LMSF1,0.49273060850540873
D0063,"stimulus_s_(0.0, 0.5)",LASF1,LMSF2,0.4769594817736546
D0063,"stimulus_s_(0.0, 0.5)",LASF1,LMSF4,0.47253498740726974
D0063,"stimulus_s_(0.0, 0.5)",LASF1,RMSF3,0.4698779011316521
D0063,"stimulus_s_(0.0, 0.5)",LASF1,RMSF4,0.44487025207324843
D0063,"stimulus_s_(0.0, 0.5)",LASF1,RMSF5,0.4800299777284694
D0063,"stimulus_s_(0.0, 0.5)",LASF1,RMMF1,0.47577790807528664
D0063,"stimulus_s_(0.0, 0.5)",LASF3,LASF7,0.6319826670291828
D0063,"stimulus_s_(0.0, 0.5)",LASF3,LASF9,0.5904974688582354
D0063,"stimulus_s_(0.0, 0.5)",LASF3,RAMF1,0.4755764142072708
D0063,"stimulus_s_(0.0, 0.5)",LASF3,RAMF2,0.5433253038367117
D0063,"stimulus_s_(0.0, 0.5)",LASF3,RMMF2,0.538007931380672
D0063,"stimulus_s_(0.0, 0.5)",LASF3,RMMF3,0.5632168069083212
D0063,"stimulus_s_(0.0, 0.5)",LASF3,RMMF4,0.5372670153360496
D0063,"stimulus_s_(0.0, 0.5)",LASF3,LMSF1,0.4863900002441167
D0063,"stimulus_s_(0.0, 0.5)",LASF3,LMSF2,0.4781433394291412
D0063,"stimulus_s_(0.0, 0.5)",LASF3,LMSF4,0.5310897647113832
D0063,"stimulus_s_(0.0, 0.5)",LASF3,RMSF3,0.5164446393135297
D0063,"stimulus_s_(0.0, 0.5)",LASF3,RMSF4,0.4775909080222853
D0063,"stimulus_s_(0.0, 0.5)",LASF3,RMSF5,0.5272941550718381
D0063,"stimulus_s_(0.0, 0.5)",LASF3,RMMF1,0.47384740508454976
D0063,"stimulus_s_(0.0, 0.5)",LASF7,LASF9,0.5580911080822674
D0063,"stimulus_s_(0.0, 0.5)",LASF7,RAMF1,0.4955245813820415
D0063,"stimulus_s_(0.0, 0.5)",LASF7,RAMF2,0.511452217776146
D0063,"stimulus_s_(0.0, 0.5)",LASF7,RMMF2,0.5171138934829042
D0063,"stimulus_s_(0.0, 0.5)",LASF7,RMMF3,0.5350685505184983
D0063,"stimulus_s_(0.0, 0.5)",LASF7,RMMF4,0.5141767694016073
D0063,"stimulus_s_(0.0, 0.5)",LASF7,LMSF1,0.5378784133603943
D0063,"stimulus_s_(0.0, 0.5)",LASF7,LMSF2,0.5175324695221293
D0063,"stimulus_s_(0.0, 0.5)",LASF7,LMSF4,0.517300972056711
