subject,event,ch1,ch2,coh_mean
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,ROF16,0.4745673548870249
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAI16,0.4484505804143115
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF11,0.46886685442173315
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF12,0.4695834384476626
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF13,0.4826272997726236
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF14,0.48282096078218695
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMMF13,0.4638532204528052
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMMF14,0.4671006438904693
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,LASF10,0.4762788454496729
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,LASF11,0.4916351056650145
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,LASF14,0.4634937670324116
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,LASF15,0.4804798752553744
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,LASF16,0.45639973210564205
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,LMSF5,0.4483007935818978
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,LMSF6,0.4838466484884457
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,LMSF12,0.46826440538872177
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,LPSF10,0.4917105220746181
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,LPSF12,0.4433630324870245
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RASF15,0.5137600688737148
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RASF16,0.48161128053466645
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMSF8,0.4836620671273484
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMSF9,0.509657923336952
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMSF10,0.5064686967267948
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMSF11,0.4699042594889394
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMSF12,0.46662292293546204
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAI4,0.4866016883983385
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAI6,0.5177927055333268
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAI10,0.49265671064637523
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAI11,0.5000228276349735
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF8,0.4615755894516564
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF9,0.4955000879801715
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF10,0.46568875914734803
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMMF9,0.4668341605166709
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMMF10,0.4927192887850767
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMSF7,0.4939796568319145
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",ROF16,RAI16,0.6240785100756615
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",ROF16,RAMF11,0.5433324897302529
D0063,"Stimulus_c75.0_Accuracy1.0_(0.0, 0.5)",ROF16,RAMF12,0.7619386179642175
