subject,event,ch1,ch2,coh_mean
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,ROF16,0.4909114117331403
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RAI16,0.4768079715967016
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RAMF11,0.4794899620300487
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RAMF12,0.47425398680618563
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RAMF13,0.4741676602155248
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RAMF14,0.47706384807732155
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RMMF13,0.491909460160005
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RMMF14,0.4807901166110572
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,LASF10,0.5112180716653527
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,LASF11,0.5160130822708354
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,LASF14,
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,LASF15,0.4802632169671777
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,LASF16,
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,LMSF5,
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,LMSF6,
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,LMSF12,
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,LPSF10,0.4958458837328208
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,LPSF12,0.5119206077092094
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RASF15,0.5181677753307564
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RASF16,0.5090687923450243
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RMSF8,0.5065367798667839
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RMSF9,0.4959198377337802
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RMSF10,0.4993972034019643
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RMSF11,0.49619728823199366
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RMSF12,0.4992320056623818
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RAI4,0.5109976093824597
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RAI6,0.5143891878143341
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RAI10,0.5017565111206558
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RAI11,0.4708295267464602
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RAMF8,0.4500210515890845
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RAMF9,0.455108457210139
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RAMF10,0.46571817761282175
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RMMF9,0.4845731769341135
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RMMF10,0.5160233697011144
D0063,"stimulus_c_(-0.5, 0.0)",RAI5,RMSF7,0.4967594767488692
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RAI16,0.5808889281073408
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RAMF11,0.5442646934360351
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RAMF12,0.7433878277979576
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RAMF13,0.7622787081995536
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RAMF14,0.7614167894022229
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RMMF13,0.501720328707975
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RMMF14,0.5998165602706801
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,LASF10,0.5170688817480474
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,LASF11,0.5100602492115055
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,LASF14,
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,LASF15,0.4619403133406804
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,LASF16,
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,LMSF5,
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,LMSF6,
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,LMSF12,
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,LPSF10,0.5010451106728301
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,LPSF12,0.5721197929669039
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RASF15,0.5088769031121598
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RASF16,0.5650890592502953
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RMSF8,0.500923515009757
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RMSF9,0.4907110546860353
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RMSF10,0.4943743147399225
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RMSF11,0.6047033034961984
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RMSF12,0.6070107950718016
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RAI4,0.5096150027078677
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RAI6,0.46377866937300916
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RAI10,0.4968173857382328
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RAI11,0.49162221080608604
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RAMF8,0.4984547313797544
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RAMF9,0.5241227200757046
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RAMF10,0.6179825989493396
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RMMF9,0.4857608457132031
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RMMF10,0.5164360845437082
D0063,"stimulus_c_(-0.5, 0.0)",ROF16,RMSF7,0.5048784476877014
D0063,"stimulus_c_(-0.5, 0.0)",RAI16,RAMF11,0.4999625659738469
D0063,"stimulus_c_(-0.5, 0.0)",RAI16,RAMF12,0.6142798799130322
D0063,"stimulus_c_(-0.5, 0.0)",RAI16,RAMF13,0.626273868195663
D0063,"stimulus_c_(-0.5, 0.0)",RAI16,RAMF14,0.6276146778252595
D0063,"stimulus_c_(-0.5, 0.0)",RAI16,RMMF13,0.4821226022935019
D0063,"stimulus_c_(-0.5, 0.0)",RAI16,RMMF14,0.688177951723049
