subject,event,ch1,ch2,coh_mean
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,ROF16,0.5269825904145652
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RAI16,0.5300284228975549
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RAMF11,0.528999580992266
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RAMF12,0.5023247648742862
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RAMF13,0.5115535200615414
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RAMF14,0.4819722105442025
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RMMF13,0.5033335488764927
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RMMF14,0.5569147961750267
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,LASF10,0.5026074546968263
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,LASF11,0.502108794547014
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,LASF14,0.5254119480269206
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,LASF15,0.48299917335237635
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,LASF16,0.4874869079476175
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,LMSF5,0.5346706545406112
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,LMSF6,0.49849931382933077
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,LMSF12,0.47207118941965126
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,LPSF10,0.48453237389813525
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,LPSF12,0.519710986455957
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RASF15,0.5236758957384664
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RASF16,0.5113123028322326
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RMSF8,0.47710094796701163
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RMSF9,0.4672735622894293
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RMSF10,0.5323979450749341
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RMSF11,0.5132382889396802
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RMSF12,0.5211963918944318
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RAI4,0.48958528380533606
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RAI6,0.5062982921222046
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RAI10,0.484356021147333
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RAI11,0.5166645272422198
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RAMF8,0.49227846828641736
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RAMF9,0.503592801267825
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RAMF10,0.5665897220399028
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RMMF9,0.515135933610315
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RMMF10,0.5534088323429908
D0063,"stimulus_c_(-1.0, -0.5)",RAI5,RMSF7,0.5400081508940301
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RAI16,0.5868788382491295
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RAMF11,0.5379038557341558
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RAMF12,0.5044332649308988
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RAMF13,0.5267835785910975
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RAMF14,0.6084652729150869
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RMMF13,0.49211419221605673
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RMMF14,0.49144782241332025
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,LASF10,0.5373575547142857
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,LASF11,0.5154375500733925
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,LASF14,0.4925380693757736
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,LASF15,0.5342889633114396
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,LASF16,0.49135515803059854
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,LMSF5,0.5189570641216856
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,LMSF6,0.523364008641731
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,LMSF12,0.50000257623027
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,LPSF10,0.49141426314802994
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,LPSF12,0.513131686382942
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RASF15,0.5500982276020606
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RASF16,0.552594586079729
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RMSF8,0.5604160540412741
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RMSF9,0.5073511023006061
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RMSF10,0.5782900165406244
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RMSF11,0.4821506403071526
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RMSF12,0.512325265418625
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RAI4,0.5278403721671122
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RAI6,0.5039229729677062
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RAI10,0.46882838456287607
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RAI11,0.5999991541501326
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RAMF8,0.5045675738914103
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RAMF9,0.5669639132279021
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RAMF10,0.5494216975553172
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RMMF9,0.5301772015895367
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RMMF10,0.5230064131400268
D0063,"stimulus_c_(-1.0, -0.5)",ROF16,RMSF7,0.5104435082576997
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RAMF11,0.5326097392425169
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RAMF12,0.5304462941114536
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RAMF13,0.5221308438494211
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RAMF14,0.5170169406487135
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RMMF13,0.5458793558819011
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RMMF14,0.5347208689402013
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,LASF10,0.5089237843645966
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,LASF11,0.5010010555596777
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,LASF14,0.5787427061674122
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,LASF15,0.5314867565330641
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,LASF16,0.5748534161684034
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,LMSF5,0.5000889562591183
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,LMSF6,0.46691585195460583
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,LMSF12,0.4935638015979681
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,LPSF10,0.5168273251282332
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,LPSF12,0.49298000110636697
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RASF15,0.505205137509334
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RASF16,0.5638314016502308
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RMSF8,0.5436762116703017
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RMSF9,0.48728963694561533
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RMSF10,0.5276459625700618
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RMSF11,0.5594872789279003
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RMSF12,0.5428655387367658
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RAI4,0.4719295166584418
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RAI6,0.5180988127591218
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RAI10,0.4864910778574329
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RAI11,0.4842367153575543
D0063,"stimulus_c_(-1.0, -0.5)",RAI16,RAMF8,0.5063803731790597
