subject,event,ch1,ch2,coh_mean
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,ROF16,
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RAI16,0.4694832287146687
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RAMF11,0.4916225526764868
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RAMF12,0.4617836006579642
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RAMF13,0.45990666806630665
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RAMF14,
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RMMF13,0.5111474280661252
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RMMF14,0.45883136457036555
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,LASF10,0.5091264153670867
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,LASF11,0.5162769960606977
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,LASF14,
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,LASF15,
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,LASF16,
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,LMSF5,
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,LMSF6,
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,LMSF12,
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,LPSF10,0.49057981154477537
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,LPSF12,0.48082026758310464
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RASF15,0.5068166686469712
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RASF16,0.5183256082081329
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RMSF8,0.5019030040727768
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RMSF9,0.5054530109583302
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RMSF10,0.48070411273424346
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RMSF11,
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RMSF12,
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RAI4,0.5186139482754295
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RAI6,0.5322048622889218
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RAI10,0.5004060076390974
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RAI11,0.4629324696370816
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RAMF8,0.48534189890946655
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RAMF9,0.4670006940378002
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RAMF10,
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RMMF9,0.48400119606316644
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RMMF10,0.5084353110924023
D0063,"stimulus_i_(-0.5, 0.0)",RAI5,RMSF7,0.5069044341433704
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RAI16,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RAMF11,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RAMF12,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RAMF13,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RAMF14,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RMMF13,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RMMF14,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,LASF10,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,LASF11,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,LASF14,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,LASF15,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,LASF16,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,LMSF5,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,LMSF6,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,LMSF12,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,LPSF10,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,LPSF12,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RASF15,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RASF16,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RMSF8,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RMSF9,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RMSF10,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RMSF11,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RMSF12,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RAI4,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RAI6,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RAI10,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RAI11,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RAMF8,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RAMF9,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RAMF10,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RMMF9,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RMMF10,
D0063,"stimulus_i_(-0.5, 0.0)",ROF16,RMSF7,
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RAMF11,0.4983610681300236
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RAMF12,0.6553809778325984
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RAMF13,0.671336807626756
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RAMF14,
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RMMF13,0.5144063170606976
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RMMF14,0.6941879767619306
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,LASF10,0.48448997681596934
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,LASF11,0.4588508021854842
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,LASF14,
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,LASF15,
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,LASF16,
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,LMSF5,
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,LMSF6,
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,LMSF12,
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,LPSF10,0.4892524990635468
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,LPSF12,0.642008665545446
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RASF15,0.4791567076319715
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RASF16,0.5554635943872376
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RMSF8,0.4896808433757577
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RMSF9,0.4843244003837247
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RMSF10,0.5220964095194245
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RMSF11,
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RMSF12,
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RAI4,0.4628179905988344
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RAI6,0.48615329291564024
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RAI10,0.496900060942629
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RAI11,0.4968875393848065
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RAMF8,0.4696640148475682
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RAMF9,0.4983696176709869
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RAMF10,
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RMMF9,0.48709938169236394
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RMMF10,0.47607508110571223
D0063,"stimulus_i_(-0.5, 0.0)",RAI16,RMSF7,0.49846165553600597
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,RAMF12,0.6158258893247393
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,RAMF13,0.5609327626746987
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,RAMF14,
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,RMMF13,0.5495001272380604
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,RMMF14,0.504292204799231
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,LASF10,0.5266656211110637
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,LASF11,0.5409678414651564
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,LASF14,
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,LASF15,
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,LASF16,
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,LMSF5,
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,LMSF6,
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,LMSF12,
D0063,"stimulus_i_(-0.5, 0.0)",RAMF11,LPSF10,0.506228705447207
