subject,event,ch1,ch2,coh_mean
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,ROF16,0.47112327187635344
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RAI16,0.4691339213463749
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RAMF11,0.4815271238662352
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RAMF12,0.46700346889482064
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RAMF13,0.4671003961244618
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RAMF14,0.46883554044506837
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RMMF13,0.4976898555420426
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RMMF14,0.45994869812741807
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,LASF10,0.5227953514735578
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,LASF11,0.5265150897674639
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,LASF14,
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,LASF15,
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,LASF16,
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,LMSF5,
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,LMSF6,
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,LMSF12,
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,LPSF10,0.49558852061055964
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,LPSF12,0.48348101190140036
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RASF15,0.5112102540136285
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RASF16,0.5084274501897287
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RMSF8,0.4969173064724056
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RMSF9,0.5036165016919604
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RMSF10,0.4974022733455768
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RMSF11,
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RMSF12,
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RAI4,0.5131735547567671
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RAI6,0.518974274485586
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RAI10,0.5100143592909783
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RAI11,0.4861818118369937
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RAMF8,0.46366724523882114
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RAMF9,0.4565458549152903
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RAMF10,0.46812022831286465
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RMMF9,0.4908583984708438
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RMMF10,0.5134219468569847
D0063,"stimulus_r_(-0.5, 0.0)",RAI5,RMSF7,0.4916513276798542
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RAI16,0.5880238450288252
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RAMF11,0.541186459438265
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RAMF12,0.7553066810125105
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RAMF13,0.7672212016929103
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RAMF14,0.7676756474931646
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RMMF13,0.5141573769169786
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RMMF14,0.5903259199380131
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,LASF10,0.5144936983516427
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,LASF11,0.5040096224432941
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,LASF14,
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,LASF15,
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,LASF16,
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,LMSF5,
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,LMSF6,
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,LMSF12,
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,LPSF10,0.4932909499865168
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,LPSF12,0.5788313166609771
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RASF15,0.5020559288840177
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RASF16,0.5692531501010994
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RMSF8,0.5055954992060971
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RMSF9,0.49379823732226913
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RMSF10,0.487832926186312
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RMSF11,
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RMSF12,
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RAI4,0.4893495850822912
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RAI6,0.46726533868409187
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RAI10,0.4990971169986136
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RAI11,0.4928968233556839
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RAMF8,0.49968392353527363
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RAMF9,0.5273342686423053
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RAMF10,0.6175537806382025
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RMMF9,0.48609181823863096
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RMMF10,0.5040222782076177
D0063,"stimulus_r_(-0.5, 0.0)",ROF16,RMSF7,0.4873502841098052
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RAMF11,0.49210467260753565
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RAMF12,0.6233680215395629
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RAMF13,0.6349285422222074
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RAMF14,0.6366726362116514
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RMMF13,0.5033350626637416
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RMMF14,0.6873261386676538
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,LASF10,0.46470610848922556
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,LASF11,0.46713885262856486
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,LASF14,
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,LASF15,
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,LASF16,
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,LMSF5,
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,LMSF6,
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,LMSF12,
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,LPSF10,0.4869668386969222
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,LPSF12,0.6294699563077105
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RASF15,0.47578514102296404
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RASF16,0.5551155728008971
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RMSF8,0.46654357216967496
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RMSF9,0.47010121139286787
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RMSF10,0.49783889833084927
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RMSF11,
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RMSF12,
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RAI4,0.46052653578810926
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RAI6,0.4749569690212585
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RAI10,0.4890591548558796
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RAI11,0.5014760969038303
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RAMF8,0.4791732065606926
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RAMF9,0.48623303515819744
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RAMF10,0.5555717436842861
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RMMF9,0.4842754560720315
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RMMF10,0.48356684421175034
D0063,"stimulus_r_(-0.5, 0.0)",RAI16,RMSF7,0.48280608490612814
D0063,"stimulus_r_(-0.5, 0.0)",RAMF11,RAMF12,0.6278117695539102
D0063,"stimulus_r_(-0.5, 0.0)",RAMF11,RAMF13,0.5840847313559395
D0063,"stimulus_r_(-0.5, 0.0)",RAMF11,RAMF14,0.5827211673227666
D0063,"stimulus_r_(-0.5, 0.0)",RAMF11,RMMF13,0.546157737457534
D0063,"stimulus_r_(-0.5, 0.0)",RAMF11,RMMF14,0.5333037108709102
D0063,"stimulus_r_(-0.5, 0.0)",RAMF11,LASF10,0.5271099559245723
D0063,"stimulus_r_(-0.5, 0.0)",RAMF11,LASF11,0.5341875546117429
