subject,event,ch1,ch2,coh_mean
D0071,"stimulus_c_(-0.5, 0.0)",RIA5,RFO14,0.49926329376665274
D0071,"stimulus_c_(-0.5, 0.0)",RIA5,RFO16,0.5761371997188056
D0071,"stimulus_c_(-0.5, 0.0)",RIA5,RIP14,0.5453162681357173
D0071,"stimulus_c_(-0.5, 0.0)",RIA5,RIP16,0.5981353328368886
D0071,"stimulus_c_(-0.5, 0.0)",RIA5,RIA4,0.5303384499742364
D0071,"stimulus_c_(-0.5, 0.0)",RIA5,RIP6,0.4594301304108494
D0071,"stimulus_c_(-0.5, 0.0)",RIA5,RIA11,0.4830443365316419
D0071,"stimulus_c_(-0.5, 0.0)",RIA5,RIA12,0.5132108880411936
D0071,"stimulus_c_(-0.5, 0.0)",RIA5,RIA13,0.5156163987817766
D0071,"stimulus_c_(-0.5, 0.0)",RIA5,RIA16,0.5756384122515406
D0071,"stimulus_c_(-0.5, 0.0)",RFO14,RFO16,0.543141174097611
D0071,"stimulus_c_(-0.5, 0.0)",RFO14,RIP14,0.5991409879308949
D0071,"stimulus_c_(-0.5, 0.0)",RFO14,RIP16,0.5232122295545333
D0071,"stimulus_c_(-0.5, 0.0)",RFO14,RIA4,0.574878810544807
D0071,"stimulus_c_(-0.5, 0.0)",RFO14,RIP6,0.5473901433559366
D0071,"stimulus_c_(-0.5, 0.0)",RFO14,RIA11,0.47023631644344355
D0071,"stimulus_c_(-0.5, 0.0)",RFO14,RIA12,0.46662888159260346
D0071,"stimulus_c_(-0.5, 0.0)",RFO14,RIA13,0.4523940509804841
D0071,"stimulus_c_(-0.5, 0.0)",RFO14,RIA16,0.5442357156175138
D0071,"stimulus_c_(-0.5, 0.0)",RFO16,RIP14,0.4741343053147243
D0071,"stimulus_c_(-0.5, 0.0)",RFO16,RIP16,0.5321638661806651
D0071,"stimulus_c_(-0.5, 0.0)",RFO16,RIA4,0.5470223718784598
D0071,"stimulus_c_(-0.5, 0.0)",RFO16,RIP6,
D0071,"stimulus_c_(-0.5, 0.0)",RFO16,RIA11,0.49369209949348375
D0071,"stimulus_c_(-0.5, 0.0)",RFO16,RIA12,0.5124265181133056
D0071,"stimulus_c_(-0.5, 0.0)",RFO16,RIA13,0.49475314051313923
D0071,"stimulus_c_(-0.5, 0.0)",RFO16,RIA16,0.6378944316352151
D0071,"stimulus_c_(-0.5, 0.0)",RIP14,RIP16,0.5309310703656981
D0071,"stimulus_c_(-0.5, 0.0)",RIP14,RIA4,0.5672637549618559
D0071,"stimulus_c_(-0.5, 0.0)",RIP14,RIP6,0.5236210284511866
D0071,"stimulus_c_(-0.5, 0.0)",RIP14,RIA11,0.4940202624166781
D0071,"stimulus_c_(-0.5, 0.0)",RIP14,RIA12,0.47592952223072904
D0071,"stimulus_c_(-0.5, 0.0)",RIP14,RIA13,0.539600044207085
D0071,"stimulus_c_(-0.5, 0.0)",RIP14,RIA16,0.4983737656215749
D0071,"stimulus_c_(-0.5, 0.0)",RIP16,RIA4,0.4809891296270797
D0071,"stimulus_c_(-0.5, 0.0)",RIP16,RIP6,0.4935304181782137
D0071,"stimulus_c_(-0.5, 0.0)",RIP16,RIA11,0.6312801520822467
D0071,"stimulus_c_(-0.5, 0.0)",RIP16,RIA12,0.4649547461141718
D0071,"stimulus_c_(-0.5, 0.0)",RIP16,RIA13,0.5276753955193881
D0071,"stimulus_c_(-0.5, 0.0)",RIP16,RIA16,0.49979524014974414
D0071,"stimulus_c_(-0.5, 0.0)",RIA4,RIP6,0.5602605340889817
D0071,"stimulus_c_(-0.5, 0.0)",RIA4,RIA11,0.49810844644122304
D0071,"stimulus_c_(-0.5, 0.0)",RIA4,RIA12,0.4545949892151671
D0071,"stimulus_c_(-0.5, 0.0)",RIA4,RIA13,0.5210139098558318
D0071,"stimulus_c_(-0.5, 0.0)",RIA4,RIA16,0.48304118780225197
D0071,"stimulus_c_(-0.5, 0.0)",RIP6,RIA11,0.498216104634438
D0071,"stimulus_c_(-0.5, 0.0)",RIP6,RIA12,0.615387964075304
D0071,"stimulus_c_(-0.5, 0.0)",RIP6,RIA13,0.46737463971974946
D0071,"stimulus_c_(-0.5, 0.0)",RIP6,RIA16,0.47572216319301236
D0071,"stimulus_c_(-0.5, 0.0)",RIA11,RIA12,0.5007900038077148
D0071,"stimulus_c_(-0.5, 0.0)",RIA11,RIA13,0.49667546791894357
D0071,"stimulus_c_(-0.5, 0.0)",RIA11,RIA16,0.5802378985501777
D0071,"stimulus_c_(-0.5, 0.0)",RIA12,RIA13,0.5170032198246729
D0071,"stimulus_c_(-0.5, 0.0)",RIA12,RIA16,0.4893466233599466
D0071,"stimulus_c_(-0.5, 0.0)",RIA13,RIA16,0.42624205815000243
