subject,event,ch1,ch2,coh_mean
D0071,"stimulus_c_(0.0, 0.5)",RIA5,RFO14,0.49380788288655597
D0071,"stimulus_c_(0.0, 0.5)",RIA5,RFO16,0.4274552459760455
D0071,"stimulus_c_(0.0, 0.5)",RIA5,RIP14,0.5938132194048128
D0071,"stimulus_c_(0.0, 0.5)",RIA5,RIP16,0.4897054586838924
D0071,"stimulus_c_(0.0, 0.5)",RIA5,RIA4,0.46689375400966976
D0071,"stimulus_c_(0.0, 0.5)",RIA5,RIP6,0.5105952915087145
D0071,"stimulus_c_(0.0, 0.5)",RIA5,RIA11,0.5078270176999424
D0071,"stimulus_c_(0.0, 0.5)",RIA5,RIA12,0.46500005289710983
D0071,"stimulus_c_(0.0, 0.5)",RIA5,RIA13,0.4751001513966919
D0071,"stimulus_c_(0.0, 0.5)",RIA5,RIA16,0.5850039820246808
D0071,"stimulus_c_(0.0, 0.5)",RFO14,RFO16,0.5758449910630754
D0071,"stimulus_c_(0.0, 0.5)",RFO14,RIP14,0.5015166903649313
D0071,"stimulus_c_(0.0, 0.5)",RFO14,RIP16,0.47719713725112917
D0071,"stimulus_c_(0.0, 0.5)",RFO14,RIA4,0.5868299408264172
D0071,"stimulus_c_(0.0, 0.5)",RFO14,RIP6,0.5377743212159098
D0071,"stimulus_c_(0.0, 0.5)",RFO14,RIA11,0.5179275871314757
D0071,"stimulus_c_(0.0, 0.5)",RFO14,RIA12,0.5376955817191233
D0071,"stimulus_c_(0.0, 0.5)",RFO14,RIA13,0.5405542555654673
D0071,"stimulus_c_(0.0, 0.5)",RFO14,RIA16,0.5322093218756404
D0071,"stimulus_c_(0.0, 0.5)",RFO16,RIP14,0.5962154020308446
D0071,"stimulus_c_(0.0, 0.5)",RFO16,RIP16,0.45279878573768223
D0071,"stimulus_c_(0.0, 0.5)",RFO16,RIA4,0.5189573102669761
D0071,"stimulus_c_(0.0, 0.5)",RFO16,RIP6,0.5340467236305824
D0071,"stimulus_c_(0.0, 0.5)",RFO16,RIA11,0.5015349967350209
D0071,"stimulus_c_(0.0, 0.5)",RFO16,RIA12,0.5922170305520174
D0071,"stimulus_c_(0.0, 0.5)",RFO16,RIA13,0.46079145103720703
D0071,"stimulus_c_(0.0, 0.5)",RFO16,RIA16,0.5341329311026994
D0071,"stimulus_c_(0.0, 0.5)",RIP14,RIP16,0.5861389633903762
D0071,"stimulus_c_(0.0, 0.5)",RIP14,RIA4,0.5321168224580116
D0071,"stimulus_c_(0.0, 0.5)",RIP14,RIP6,0.5170424832994229
D0071,"stimulus_c_(0.0, 0.5)",RIP14,RIA11,0.5766583971723218
D0071,"stimulus_c_(0.0, 0.5)",RIP14,RIA12,0.5165572088287671
D0071,"stimulus_c_(0.0, 0.5)",RIP14,RIA13,0.4795442669439785
D0071,"stimulus_c_(0.0, 0.5)",RIP14,RIA16,0.48033929749037235
D0071,"stimulus_c_(0.0, 0.5)",RIP16,RIA4,0.49367891376129414
D0071,"stimulus_c_(0.0, 0.5)",RIP16,RIP6,0.5103725900036185
D0071,"stimulus_c_(0.0, 0.5)",RIP16,RIA11,0.526292846844879
D0071,"stimulus_c_(0.0, 0.5)",RIP16,RIA12,0.46141867213100957
D0071,"stimulus_c_(0.0, 0.5)",RIP16,RIA13,0.5102491462738007
D0071,"stimulus_c_(0.0, 0.5)",RIP16,RIA16,0.5076917143632175
D0071,"stimulus_c_(0.0, 0.5)",RIA4,RIP6,0.587393432201444
D0071,"stimulus_c_(0.0, 0.5)",RIA4,RIA11,0.4601291572779598
D0071,"stimulus_c_(0.0, 0.5)",RIA4,RIA12,0.4992884164288061
D0071,"stimulus_c_(0.0, 0.5)",RIA4,RIA13,
D0071,"stimulus_c_(0.0, 0.5)",RIA4,RIA16,0.49218296050276217
D0071,"stimulus_c_(0.0, 0.5)",RIP6,RIA11,0.5511267736330279
D0071,"stimulus_c_(0.0, 0.5)",RIP6,RIA12,0.525568030340227
D0071,"stimulus_c_(0.0, 0.5)",RIP6,RIA13,0.4437334512759809
D0071,"stimulus_c_(0.0, 0.5)",RIP6,RIA16,0.5180437691100986
D0071,"stimulus_c_(0.0, 0.5)",RIA11,RIA12,0.580755768449253
D0071,"stimulus_c_(0.0, 0.5)",RIA11,RIA13,0.5258034803678878
D0071,"stimulus_c_(0.0, 0.5)",RIA11,RIA16,0.4990100918831959
D0071,"stimulus_c_(0.0, 0.5)",RIA12,RIA13,0.514048352437031
D0071,"stimulus_c_(0.0, 0.5)",RIA12,RIA16,0.4612830210690039
D0071,"stimulus_c_(0.0, 0.5)",RIA13,RIA16,0.48423606788166945
