subject,event,ch1,ch2,coh_mean
D0071,"stimulus_i_(-0.5, 0.0)",RIA5,RFO14,0.47470350246059256
D0071,"stimulus_i_(-0.5, 0.0)",RIA5,RFO16,0.4811569504932279
D0071,"stimulus_i_(-0.5, 0.0)",RIA5,RIP14,0.48961547671360817
D0071,"stimulus_i_(-0.5, 0.0)",RIA5,RIP16,0.45075241136521105
D0071,"stimulus_i_(-0.5, 0.0)",RIA5,RIA4,0.48633480709123816
D0071,"stimulus_i_(-0.5, 0.0)",RIA5,RIP6,0.49685176098006845
D0071,"stimulus_i_(-0.5, 0.0)",RIA5,RIA11,0.4506689442488728
D0071,"stimulus_i_(-0.5, 0.0)",RIA5,RIA12,0.6169413822955065
D0071,"stimulus_i_(-0.5, 0.0)",RIA5,RIA13,0.44986174731135525
D0071,"stimulus_i_(-0.5, 0.0)",RIA5,RIA16,0.5011861280784013
D0071,"stimulus_i_(-0.5, 0.0)",RFO14,RFO16,0.5441349352423867
D0071,"stimulus_i_(-0.5, 0.0)",RFO14,RIP14,0.478446991555976
D0071,"stimulus_i_(-0.5, 0.0)",RFO14,RIP16,0.5514878233224179
D0071,"stimulus_i_(-0.5, 0.0)",RFO14,RIA4,0.5098574420093972
D0071,"stimulus_i_(-0.5, 0.0)",RFO14,RIP6,0.5676873950337817
D0071,"stimulus_i_(-0.5, 0.0)",RFO14,RIA11,0.499262440996967
D0071,"stimulus_i_(-0.5, 0.0)",RFO14,RIA12,0.6030685224575087
D0071,"stimulus_i_(-0.5, 0.0)",RFO14,RIA13,0.5471314815691222
D0071,"stimulus_i_(-0.5, 0.0)",RFO14,RIA16,0.43933118850224423
D0071,"stimulus_i_(-0.5, 0.0)",RFO16,RIP14,0.5485860872880388
D0071,"stimulus_i_(-0.5, 0.0)",RFO16,RIP16,0.5235655117701667
D0071,"stimulus_i_(-0.5, 0.0)",RFO16,RIA4,0.5625959227225152
D0071,"stimulus_i_(-0.5, 0.0)",RFO16,RIP6,0.4775430422269936
D0071,"stimulus_i_(-0.5, 0.0)",RFO16,RIA11,0.5359969423250455
D0071,"stimulus_i_(-0.5, 0.0)",RFO16,RIA12,
D0071,"stimulus_i_(-0.5, 0.0)",RFO16,RIA13,0.5211812281383547
D0071,"stimulus_i_(-0.5, 0.0)",RFO16,RIA16,0.4853858539507636
D0071,"stimulus_i_(-0.5, 0.0)",RIP14,RIP16,0.5268171844322724
D0071,"stimulus_i_(-0.5, 0.0)",RIP14,RIA4,0.46287737494234205
D0071,"stimulus_i_(-0.5, 0.0)",RIP14,RIP6,0.5101098808658396
D0071,"stimulus_i_(-0.5, 0.0)",RIP14,RIA11,0.5352858510735803
D0071,"stimulus_i_(-0.5, 0.0)",RIP14,RIA12,0.54587920926296
D0071,"stimulus_i_(-0.5, 0.0)",RIP14,RIA13,0.4428556228959154
D0071,"stimulus_i_(-0.5, 0.0)",RIP14,RIA16,0.4981284046013191
D0071,"stimulus_i_(-0.5, 0.0)",RIP16,RIA4,0.5276928951335227
D0071,"stimulus_i_(-0.5, 0.0)",RIP16,RIP6,0.49448935443721426
D0071,"stimulus_i_(-0.5, 0.0)",RIP16,RIA11,0.49336405727050475
D0071,"stimulus_i_(-0.5, 0.0)",RIP16,RIA12,0.6034198128095787
D0071,"stimulus_i_(-0.5, 0.0)",RIP16,RIA13,0.4701630612084349
D0071,"stimulus_i_(-0.5, 0.0)",RIP16,RIA16,0.5015478231561636
D0071,"stimulus_i_(-0.5, 0.0)",RIA4,RIP6,0.5342543598548669
D0071,"stimulus_i_(-0.5, 0.0)",RIA4,RIA11,0.5257220063571428
D0071,"stimulus_i_(-0.5, 0.0)",RIA4,RIA12,0.7116175827278686
D0071,"stimulus_i_(-0.5, 0.0)",RIA4,RIA13,0.4396636088800707
D0071,"stimulus_i_(-0.5, 0.0)",RIA4,RIA16,0.43045288380902663
D0071,"stimulus_i_(-0.5, 0.0)",RIP6,RIA11,0.4825791384346021
D0071,"stimulus_i_(-0.5, 0.0)",RIP6,RIA12,0.44232342211589754
D0071,"stimulus_i_(-0.5, 0.0)",RIP6,RIA13,0.505112593060095
D0071,"stimulus_i_(-0.5, 0.0)",RIP6,RIA16,0.4684768702039625
D0071,"stimulus_i_(-0.5, 0.0)",RIA11,RIA12,0.6002290241891644
D0071,"stimulus_i_(-0.5, 0.0)",RIA11,RIA13,
D0071,"stimulus_i_(-0.5, 0.0)",RIA11,RIA16,
D0071,"stimulus_i_(-0.5, 0.0)",RIA12,RIA13,0.5292353403314727
D0071,"stimulus_i_(-0.5, 0.0)",RIA12,RIA16,0.5171896506247724
D0071,"stimulus_i_(-0.5, 0.0)",RIA13,RIA16,0.49556064765606583
