subject,event,ch1,ch2,coh_mean
D0071,"stimulus_i_(0.0, 0.5)",RIA5,RFO14,0.47462483414324086
D0071,"stimulus_i_(0.0, 0.5)",RIA5,RFO16,0.4705309889693776
D0071,"stimulus_i_(0.0, 0.5)",RIA5,RIP14,0.5271426336857281
D0071,"stimulus_i_(0.0, 0.5)",RIA5,RIP16,0.5155701402933661
D0071,"stimulus_i_(0.0, 0.5)",RIA5,RIA4,0.4994045478746915
D0071,"stimulus_i_(0.0, 0.5)",RIA5,RIP6,0.517148877465918
D0071,"stimulus_i_(0.0, 0.5)",RIA5,RIA11,0.4951894005534547
D0071,"stimulus_i_(0.0, 0.5)",RIA5,RIA12,0.5827913204702195
D0071,"stimulus_i_(0.0, 0.5)",RIA5,RIA13,0.5174048330550741
D0071,"stimulus_i_(0.0, 0.5)",RIA5,RIA16,0.5295970874152947
D0071,"stimulus_i_(0.0, 0.5)",RFO14,RFO16,0.5258586036607452
D0071,"stimulus_i_(0.0, 0.5)",RFO14,RIP14,0.5498533536278571
D0071,"stimulus_i_(0.0, 0.5)",RFO14,RIP16,0.48650627805242946
D0071,"stimulus_i_(0.0, 0.5)",RFO14,RIA4,0.5272845910253541
D0071,"stimulus_i_(0.0, 0.5)",RFO14,RIP6,0.5851973002356067
D0071,"stimulus_i_(0.0, 0.5)",RFO14,RIA11,0.5642084302480344
D0071,"stimulus_i_(0.0, 0.5)",RFO14,RIA12,0.46938424197438194
D0071,"stimulus_i_(0.0, 0.5)",RFO14,RIA13,0.5447309909715176
D0071,"stimulus_i_(0.0, 0.5)",RFO14,RIA16,0.49292260014687644
D0071,"stimulus_i_(0.0, 0.5)",RFO16,RIP14,0.5445530341447505
D0071,"stimulus_i_(0.0, 0.5)",RFO16,RIP16,0.5440410321561415
D0071,"stimulus_i_(0.0, 0.5)",RFO16,RIA4,0.4363845773350418
D0071,"stimulus_i_(0.0, 0.5)",RFO16,RIP6,0.6089856233773913
D0071,"stimulus_i_(0.0, 0.5)",RFO16,RIA11,
D0071,"stimulus_i_(0.0, 0.5)",RFO16,RIA12,
D0071,"stimulus_i_(0.0, 0.5)",RFO16,RIA13,0.5938328406358212
D0071,"stimulus_i_(0.0, 0.5)",RFO16,RIA16,0.44243210417417056
D0071,"stimulus_i_(0.0, 0.5)",RIP14,RIP16,0.5431963677011772
D0071,"stimulus_i_(0.0, 0.5)",RIP14,RIA4,0.4514108652748371
D0071,"stimulus_i_(0.0, 0.5)",RIP14,RIP6,0.46950179820101584
D0071,"stimulus_i_(0.0, 0.5)",RIP14,RIA11,0.5394626617001339
D0071,"stimulus_i_(0.0, 0.5)",RIP14,RIA12,0.5696467517896939
D0071,"stimulus_i_(0.0, 0.5)",RIP14,RIA13,0.4887601803130039
D0071,"stimulus_i_(0.0, 0.5)",RIP14,RIA16,0.5445521951569406
D0071,"stimulus_i_(0.0, 0.5)",RIP16,RIA4,0.601606152818984
D0071,"stimulus_i_(0.0, 0.5)",RIP16,RIP6,0.5182862814556559
D0071,"stimulus_i_(0.0, 0.5)",RIP16,RIA11,0.5138814997265273
D0071,"stimulus_i_(0.0, 0.5)",RIP16,RIA12,0.5889288312589439
D0071,"stimulus_i_(0.0, 0.5)",RIP16,RIA13,0.5650935059439923
D0071,"stimulus_i_(0.0, 0.5)",RIP16,RIA16,0.47627398438669033
D0071,"stimulus_i_(0.0, 0.5)",RIA4,RIP6,0.5863819648653927
D0071,"stimulus_i_(0.0, 0.5)",RIA4,RIA11,0.5825895687950168
D0071,"stimulus_i_(0.0, 0.5)",RIA4,RIA12,0.4807933900664875
D0071,"stimulus_i_(0.0, 0.5)",RIA4,RIA13,0.46557254643061974
D0071,"stimulus_i_(0.0, 0.5)",RIA4,RIA16,0.4593470387445391
D0071,"stimulus_i_(0.0, 0.5)",RIP6,RIA11,0.6070204490604949
D0071,"stimulus_i_(0.0, 0.5)",RIP6,RIA12,0.5280391286545366
D0071,"stimulus_i_(0.0, 0.5)",RIP6,RIA13,0.5379568629105609
D0071,"stimulus_i_(0.0, 0.5)",RIP6,RIA16,0.5168846731317225
D0071,"stimulus_i_(0.0, 0.5)",RIA11,RIA12,0.5709638870704689
D0071,"stimulus_i_(0.0, 0.5)",RIA11,RIA13,
D0071,"stimulus_i_(0.0, 0.5)",RIA11,RIA16,
D0071,"stimulus_i_(0.0, 0.5)",RIA12,RIA13,0.5454160660078975
D0071,"stimulus_i_(0.0, 0.5)",RIA12,RIA16,0.5318289726512314
D0071,"stimulus_i_(0.0, 0.5)",RIA13,RIA16,0.5253164057729381
