subject,event,ch1,ch2,coh_mean
D0100,Stimulus,LTOJ1,LTPI1,0.8408313432072251
D0100,Stimulus,LTOJ1,LOAI1,0.45688784236765095
D0100,Stimulus,LTOJ1,LOPI1,0.51603639906762
D0100,Stimulus,LTOJ1,LOPI4,0.36723279185582314
D0100,Stimulus,LTOJ1,LOPM1,0.3078922400677272
D0100,Stimulus,LTOJ1,LTOJ3,0.8379777052463149
D0100,Stimulus,LTOJ1,LTOJ4,0.7815664724584817
D0100,Stimulus,LTOJ1,LOMM3,0.41119389775167725
D0100,Stimulus,LTOJ1,LOMM4,0.27401651642422514
D0100,Stimulus,LTOJ1,LOMM5,0.3964295937206682
D0100,Stimulus,LTOJ1,LOPM2,0.4517511091240934
D0100,Stimulus,LTOJ1,LTOJ13,0.2289052316832878
D0100,Stimulus,LTOJ1,LOAI12,0.24893650517177032
D0100,Stimulus,LTOJ1,LOAI13,0.22583287791949475
D0100,Stimulus,LTOJ1,LOAI14,0.21982774962486662
D0100,Stimulus,LTOJ1,LOAI15,0.23656355709903135
D0100,Stimulus,LTOJ1,LOMI8,0.4182312771045343
D0100,Stimulus,LTOJ1,LOMI9,0.339757660371872
D0100,Stimulus,LTOJ1,LOMI11,0.26318391134355495
D0100,Stimulus,LTOJ1,LOMI12,0.24679337342206098
D0100,Stimulus,LTOJ1,LOPI9,0.39898584466702497
D0100,Stimulus,LTOJ1,LOPI10,0.2895313562581196
D0100,Stimulus,LTPI1,LOAI1,0.36460061386298953
D0100,Stimulus,LTPI1,LOPI1,0.412177482364429
D0100,Stimulus,LTPI1,LOPI4,0.4042663373005325
D0100,Stimulus,LTPI1,LOPM1,0.261737546294994
D0100,Stimulus,LTPI1,LTOJ3,0.7868336730864206
D0100,Stimulus,LTPI1,LTOJ4,0.7594669907100857
D0100,Stimulus,LTPI1,LOMM3,0.4114645526620743
D0100,Stimulus,LTPI1,LOMM4,0.24673498993642698
D0100,Stimulus,LTPI1,LOMM5,0.31183186357721854
D0100,Stimulus,LTPI1,LOPM2,0.504886780444847
D0100,Stimulus,LTPI1,LTOJ13,0.23296770602685132
D0100,Stimulus,LTPI1,LOAI12,0.23246292158234744
D0100,Stimulus,LTPI1,LOAI13,0.222466822906153
D0100,Stimulus,LTPI1,LOAI14,0.23477631004132213
D0100,Stimulus,LTPI1,LOAI15,0.2515905907810856
D0100,Stimulus,LTPI1,LOMI8,0.37835434633425996
D0100,Stimulus,LTPI1,LOMI9,0.2785083713628191
D0100,Stimulus,LTPI1,LOMI11,0.23027676324707985
D0100,Stimulus,LTPI1,LOMI12,0.24298283971250392
D0100,Stimulus,LTPI1,LOPI9,0.34407373837690686
D0100,Stimulus,LTPI1,LOPI10,0.2582259780809244
D0100,Stimulus,LOAI1,LOPI1,0.8539022859660617
D0100,Stimulus,LOAI1,LOPI4,0.2709603904689686
D0100,Stimulus,LOAI1,LOPM1,0.3154479664099792
D0100,Stimulus,LOAI1,LTOJ3,0.6314493371297191
D0100,Stimulus,LOAI1,LTOJ4,0.6148570925324932
D0100,Stimulus,LOAI1,LOMM3,0.4373871882467585
D0100,Stimulus,LOAI1,LOMM4,0.39183188833414734
D0100,Stimulus,LOAI1,LOMM5,0.563646867132045
D0100,Stimulus,LOAI1,LOPM2,0.28268813852484764
D0100,Stimulus,LOAI1,LTOJ13,0.22768977611553737
D0100,Stimulus,LOAI1,LOAI12,0.2985226955378143
D0100,Stimulus,LOAI1,LOAI13,0.3198600810505998
D0100,Stimulus,LOAI1,LOAI14,0.23370897313416614
D0100,Stimulus,LOAI1,LOAI15,0.22348386926459526
D0100,Stimulus,LOAI1,LOMI8,0.5054702428450496
D0100,Stimulus,LOAI1,LOMI9,0.45952488668817604
D0100,Stimulus,LOAI1,LOMI11,0.3573940348228437
D0100,Stimulus,LOAI1,LOMI12,0.33756385909352704
D0100,Stimulus,LOAI1,LOPI9,0.4149503021601131
D0100,Stimulus,LOAI1,LOPI10,0.40980983163226126
D0100,Stimulus,LOPI1,LOPI4,0.35684402390818515
D0100,Stimulus,LOPI1,LOPM1,0.32091310738266915
D0100,Stimulus,LOPI1,LTOJ3,0.7252035718009893
D0100,Stimulus,LOPI1,LTOJ4,0.7025744716443881
D0100,Stimulus,LOPI1,LOMM3,0.4530825977659617
D0100,Stimulus,LOPI1,LOMM4,0.3762150432751144
D0100,Stimulus,LOPI1,LOMM5,0.5794141617232733
D0100,Stimulus,LOPI1,LOPM2,0.3297958265715988
D0100,Stimulus,LOPI1,LTOJ13,0.21802838223826534
D0100,Stimulus,LOPI1,LOAI12,0.285933110244958
D0100,Stimulus,LOPI1,LOAI13,0.3096740089620941
D0100,Stimulus,LOPI1,LOAI14,0.22257404162672365
D0100,Stimulus,LOPI1,LOAI15,0.2411468057047409
D0100,Stimulus,LOPI1,LOMI8,0.5221491543331941
D0100,Stimulus,LOPI1,LOMI9,0.5053915142910986
D0100,Stimulus,LOPI1,LOMI11,0.36587794901806964
D0100,Stimulus,LOPI1,LOMI12,0.37715495480456823
D0100,Stimulus,LOPI1,LOPI9,0.4310291551921745
D0100,Stimulus,LOPI1,LOPI10,0.4556582385412413
D0100,Stimulus,LOPI4,LOPM1,0.22538122248854775
D0100,Stimulus,LOPI4,LTOJ3,0.3901935758010232
D0100,Stimulus,LOPI4,LTOJ4,0.38979099336040357
D0100,Stimulus,LOPI4,LOMM3,0.27716028640813223
D0100,Stimulus,LOPI4,LOMM4,0.22283808919625214
D0100,Stimulus,LOPI4,LOMM5,0.24333851573192292
D0100,Stimulus,LOPI4,LOPM2,0.4247273355595756
D0100,Stimulus,LOPI4,LTOJ13,0.22243090081754022
D0100,Stimulus,LOPI4,LOAI12,0.22120813437526776
D0100,Stimulus,LOPI4,LOAI13,0.21216914608276327
D0100,Stimulus,LOPI4,LOAI14,0.21887275924981014
D0100,Stimulus,LOPI4,LOAI15,0.24199122747327706
D0100,Stimulus,LOPI4,LOMI8,0.2642126668910359
D0100,Stimulus,LOPI4,LOMI9,0.2325524400509643
D0100,Stimulus,LOPI4,LOMI11,0.20890640026446367
D0100,Stimulus,LOPI4,LOMI12,0.2445139889694884
D0100,Stimulus,LOPI4,LOPI9,0.232754826215012
D0100,Stimulus,LOPI4,LOPI10,0.23710662177707711
D0100,Stimulus,LOPM1,LTOJ3,0.2892445613569553
D0100,Stimulus,LOPM1,LTOJ4,0.2780588437468049
D0100,Stimulus,LOPM1,LOMM3,0.33963952406970954
D0100,Stimulus,LOPM1,LOMM4,0.3762119884384121
