subject,event,ch1,ch2,coh_mean
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFAM11,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFAM12,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFMM9,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFMM11,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFMM12,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFMM13,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFMM14,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFMM15,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFOA16,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFOA17,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFOA18,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFAI3,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RIA5,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RIA6,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFAM7,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFAM9,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RFMM8,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RIA12,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RIA14,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RIA15,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RIA16,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RIA17,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM10,RIA18,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFAM12,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFMM9,0.5030445410837869
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFMM11,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFMM12,0.5224290544486717
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFMM13,0.5210261182224254
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFMM14,0.5266489018830719
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFMM15,0.5355193051709677
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFOA16,0.49947285591010987
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFOA17,0.5087563767569133
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFOA18,0.5204608719767501
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFAI3,0.4517258095260052
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RIA5,0.5290848402473428
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RIA6,0.5204980969314296
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFAM7,0.5224457626253645
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFAM9,0.6310204176320624
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RFMM8,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RIA12,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RIA14,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RIA15,0.5057968208753758
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RIA16,0.5002723273437062
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RIA17,0.5027758218014493
D0107A,"stimulus_i_(0.0, 0.5)",RFAM11,RIA18,0.516263327167221
D0107A,"stimulus_i_(0.0, 0.5)",RFAM12,RFMM9,
D0107A,"stimulus_i_(0.0, 0.5)",RFAM12,RFMM11,
