subject,event,ch1,ch2,coh_mean
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFAM11,0.8036324366510869
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFAM12,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFMM9,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFMM11,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFMM12,0.4900978119037211
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFMM13,0.4905731097735258
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFMM14,0.5020769368529469
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFMM15,0.5090513439768544
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFOA16,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFOA17,0.5109851030467492
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFOA18,0.5096066588337116
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFAI3,0.4491384767192323
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RIA5,0.5222644987187671
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RIA6,0.5231156690182547
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFAM7,0.534779688403951
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFAM9,0.7954297737598677
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RFMM8,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RIA12,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RIA14,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RIA15,0.5177776858302378
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RIA16,0.5178853196162683
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RIA17,0.5128958850711559
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM10,RIA18,0.5022583934477766
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFAM12,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFMM9,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFMM11,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFMM12,0.5237975091039249
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFMM13,0.48320780500280913
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFMM14,0.4915912155110827
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFMM15,0.495447040610217
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFOA16,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFOA17,0.5070949259123009
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFOA18,0.5104279312852023
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFAI3,0.44930205655702127
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RIA5,0.5048582045129256
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RIA6,0.5180549894262917
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFAM7,0.5324936179626539
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFAM9,0.6288810226738155
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RFMM8,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RIA12,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RIA14,
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RIA15,0.5208563408825488
D0107A,"stimulus_r_(-0.5, 0.0)",RFAM11,RIA16,0.517517872819353
