subject,event,ch1,ch2,coh_mean
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFAM11,0.7942971637802111
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFAM12,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFMM9,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFMM11,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFMM12,0.4893068087514806
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFMM13,0.5000962697641828
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFMM14,0.5037007475339501
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFMM15,0.5103539655634526
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFOA16,0.4875503352146484
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFOA17,0.4923842669871186
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFOA18,0.49767615113402186
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFAI3,0.42803108279854035
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RIA5,0.516712492065486
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RIA6,0.49451963257765585
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFAM7,0.5180452959509494
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFAM9,0.8265248047158997
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RFMM8,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RIA12,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RIA14,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RIA15,0.4883688337597669
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RIA16,0.4877676705074978
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RIA17,0.49016439650388316
D0107A,"stimulus_r_(0.0, 0.5)",RFAM10,RIA18,0.489972628724043
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFAM12,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFMM9,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFMM11,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFMM12,0.5148940070006983
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFMM13,0.5207429408269066
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFMM14,0.525398584078034
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFMM15,0.5336142277270159
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFOA16,0.5013611387185909
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFOA17,0.5059110705845501
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFOA18,0.5138128227046785
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFAI3,0.43939290811044096
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RIA5,0.5166190005030205
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RIA6,0.5033009039192267
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFAM7,0.5192409948746572
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFAM9,0.6425328850609455
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RFMM8,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RIA12,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RIA14,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RIA15,0.5156301392435225
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RIA16,0.5078982941769451
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RIA17,0.5076292962606681
D0107A,"stimulus_r_(0.0, 0.5)",RFAM11,RIA18,0.5097378144223549
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFMM9,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFMM11,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFMM12,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFMM13,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFMM14,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFMM15,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFOA16,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFOA17,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFOA18,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFAI3,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RIA5,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RIA6,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFAM7,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFAM9,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RFMM8,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RIA12,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RIA14,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RIA15,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RIA16,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RIA17,
D0107A,"stimulus_r_(0.0, 0.5)",RFAM12,RIA18,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RFMM11,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RFMM12,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RFMM13,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RFMM14,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RFMM15,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RFOA16,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RFOA17,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RFOA18,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RFAI3,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RIA5,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RIA6,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RFAM7,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RFAM9,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RFMM8,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RIA12,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RIA14,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RIA15,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RIA16,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RIA17,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM9,RIA18,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RFMM12,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RFMM13,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RFMM14,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RFMM15,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RFOA16,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RFOA17,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RFOA18,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RFAI3,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RIA5,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RIA6,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RFAM7,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RFAM9,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RFMM8,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RIA12,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RIA14,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RIA15,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RIA16,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RIA17,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM11,RIA18,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RFMM13,0.5843385767657131
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RFMM14,0.5800991995347221
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RFMM15,0.579970720945859
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RFOA16,0.508870086322558
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RFOA17,0.517726514895485
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RFOA18,0.5272578421304775
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RFAI3,0.473130223629995
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RIA5,0.515773720459495
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RIA6,0.4966971915521672
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RFAM7,0.4907843779210641
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RFAM9,0.49181141264012235
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RFMM8,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RIA12,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RIA14,
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RIA15,0.5355372273770818
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RIA16,0.5329940215238785
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RIA17,0.5341873494231494
D0107A,"stimulus_r_(0.0, 0.5)",RFMM12,RIA18,0.5416649277597029
D0107A,"stimulus_r_(0.0, 0.5)",RFMM13,RFMM14,0.9678968138237662
D0107A,"stimulus_r_(0.0, 0.5)",RFMM13,RFMM15,0.9226994814019932
D0107A,"stimulus_r_(0.0, 0.5)",RFMM13,RFOA16,0.7125531864839592
D0107A,"stimulus_r_(0.0, 0.5)",RFMM13,RFOA17,0.7372557026732656
D0107A,"stimulus_r_(0.0, 0.5)",RFMM13,RFOA18,0.7675629577077833
D0107A,"stimulus_r_(0.0, 0.5)",RFMM13,RFAI3,0.45797875299929286
D0107A,"stimulus_r_(0.0, 0.5)",RFMM13,RIA5,0.5043642729563202
D0107A,"stimulus_r_(0.0, 0.5)",RFMM13,RIA6,0.5086097847581291
D0107A,"stimulus_r_(0.0, 0.5)",RFMM13,RFAM7,0.5027563862769767
D0107A,"stimulus_r_(0.0, 0.5)",RFMM13,RFAM9,0.4962562702876347
