subject,event,ch1,ch2,coh_mean
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFAM11,
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFAM12,
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFMM9,
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFMM11,
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFMM12,
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFMM13,0.5125590159985801
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFMM14,0.52222736248889
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFMM15,0.5302866393837361
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFOA16,0.5073643466602649
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFOA17,0.5136024491400191
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFOA18,0.5213328387013035
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFAI3,0.46728173690958014
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RIA5,0.5324075365382204
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RIA6,0.507933484869637
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFAM7,0.5270860385318501
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFAM9,0.8301936713427049
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RFMM8,
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RIA12,0.5094745852208173
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RIA14,
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RIA15,0.49906482395965135
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RIA16,0.5036632811937382
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RIA17,0.506009564937481
D0107A,"stimulus_s_(0.0, 0.5)",RFAM10,RIA18,0.5136144224310029
D0107A,"stimulus_s_(0.0, 0.5)",RFAM11,RFAM12,
D0107A,"stimulus_s_(0.0, 0.5)",RFAM11,RFMM9,
