subject,event,ch1,ch2,coh_mean
D0117,"stimulus_r_(0.0, 0.5)",RINSA3,RLOF16,
D0117,"stimulus_r_(0.0, 0.5)",RINSA3,RMOF15,0.5139296498163087
D0117,"stimulus_r_(0.0, 0.5)",RINSA3,RINSA15,0.5128610884474243
D0117,"stimulus_r_(0.0, 0.5)",RINSA3,RINSA16,0.48987685077721665
D0117,"stimulus_r_(0.0, 0.5)",RINSA3,RLOF10,
D0117,"stimulus_r_(0.0, 0.5)",RINSA3,RLOF11,
D0117,"stimulus_r_(0.0, 0.5)",RINSA3,RINSA11,
D0117,"stimulus_r_(0.0, 0.5)",RINSA3,RINSA12,
D0117,"stimulus_r_(0.0, 0.5)",RINSA3,RINSA13,
D0117,"stimulus_r_(0.0, 0.5)",RINSA3,RINSA14,
D0117,"stimulus_r_(0.0, 0.5)",RLOF16,RMOF15,
D0117,"stimulus_r_(0.0, 0.5)",RLOF16,RINSA15,
D0117,"stimulus_r_(0.0, 0.5)",RLOF16,RINSA16,
D0117,"stimulus_r_(0.0, 0.5)",RLOF16,RLOF10,
D0117,"stimulus_r_(0.0, 0.5)",RLOF16,RLOF11,
D0117,"stimulus_r_(0.0, 0.5)",RLOF16,RINSA11,
D0117,"stimulus_r_(0.0, 0.5)",RLOF16,RINSA12,
D0117,"stimulus_r_(0.0, 0.5)",RLOF16,RINSA13,
D0117,"stimulus_r_(0.0, 0.5)",RLOF16,RINSA14,
D0117,"stimulus_r_(0.0, 0.5)",RMOF15,RINSA15,0.5561538173159107
D0117,"stimulus_r_(0.0, 0.5)",RMOF15,RINSA16,0.5253627596936243
D0117,"stimulus_r_(0.0, 0.5)",RMOF15,RLOF10,
D0117,"stimulus_r_(0.0, 0.5)",RMOF15,RLOF11,
D0117,"stimulus_r_(0.0, 0.5)",RMOF15,RINSA11,
D0117,"stimulus_r_(0.0, 0.5)",RMOF15,RINSA12,
D0117,"stimulus_r_(0.0, 0.5)",RMOF15,RINSA13,
D0117,"stimulus_r_(0.0, 0.5)",RMOF15,RINSA14,
D0117,"stimulus_r_(0.0, 0.5)",RINSA15,RINSA16,0.7847158840710589
D0117,"stimulus_r_(0.0, 0.5)",RINSA15,RLOF10,
D0117,"stimulus_r_(0.0, 0.5)",RINSA15,RLOF11,
D0117,"stimulus_r_(0.0, 0.5)",RINSA15,RINSA11,
D0117,"stimulus_r_(0.0, 0.5)",RINSA15,RINSA12,
D0117,"stimulus_r_(0.0, 0.5)",RINSA15,RINSA13,
D0117,"stimulus_r_(0.0, 0.5)",RINSA15,RINSA14,
D0117,"stimulus_r_(0.0, 0.5)",RINSA16,RLOF10,
D0117,"stimulus_r_(0.0, 0.5)",RINSA16,RLOF11,
D0117,"stimulus_r_(0.0, 0.5)",RINSA16,RINSA11,
D0117,"stimulus_r_(0.0, 0.5)",RINSA16,RINSA12,
D0117,"stimulus_r_(0.0, 0.5)",RINSA16,RINSA13,
D0117,"stimulus_r_(0.0, 0.5)",RINSA16,RINSA14,
D0117,"stimulus_r_(0.0, 0.5)",RLOF10,RLOF11,
D0117,"stimulus_r_(0.0, 0.5)",RLOF10,RINSA11,
D0117,"stimulus_r_(0.0, 0.5)",RLOF10,RINSA12,
D0117,"stimulus_r_(0.0, 0.5)",RLOF10,RINSA13,
D0117,"stimulus_r_(0.0, 0.5)",RLOF10,RINSA14,
D0117,"stimulus_r_(0.0, 0.5)",RLOF11,RINSA11,
D0117,"stimulus_r_(0.0, 0.5)",RLOF11,RINSA12,
D0117,"stimulus_r_(0.0, 0.5)",RLOF11,RINSA13,
D0117,"stimulus_r_(0.0, 0.5)",RLOF11,RINSA14,
D0117,"stimulus_r_(0.0, 0.5)",RINSA11,RINSA12,
D0117,"stimulus_r_(0.0, 0.5)",RINSA11,RINSA13,
D0117,"stimulus_r_(0.0, 0.5)",RINSA11,RINSA14,
D0117,"stimulus_r_(0.0, 0.5)",RINSA12,RINSA13,
D0117,"stimulus_r_(0.0, 0.5)",RINSA12,RINSA14,
D0117,"stimulus_r_(0.0, 0.5)",RINSA13,RINSA14,
