subject,event,ch1,ch2,coh_mean
D0117,"stimulus_s_(-0.5, 0.0)",RINSA3,RLOF16,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA3,RMOF15,0.5238222166513992
D0117,"stimulus_s_(-0.5, 0.0)",RINSA3,RINSA15,0.5006566432774189
D0117,"stimulus_s_(-0.5, 0.0)",RINSA3,RINSA16,0.485797087181772
D0117,"stimulus_s_(-0.5, 0.0)",RINSA3,RLOF10,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA3,RLOF11,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA3,RINSA11,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA3,RINSA12,0.5189443886086942
D0117,"stimulus_s_(-0.5, 0.0)",RINSA3,RINSA13,0.519334149034743
D0117,"stimulus_s_(-0.5, 0.0)",RINSA3,RINSA14,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF16,RMOF15,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF16,RINSA15,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF16,RINSA16,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF16,RLOF10,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF16,RLOF11,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF16,RINSA11,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF16,RINSA12,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF16,RINSA13,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF16,RINSA14,
D0117,"stimulus_s_(-0.5, 0.0)",RMOF15,RINSA15,0.5387792554739617
D0117,"stimulus_s_(-0.5, 0.0)",RMOF15,RINSA16,0.5576485308807679
D0117,"stimulus_s_(-0.5, 0.0)",RMOF15,RLOF10,
D0117,"stimulus_s_(-0.5, 0.0)",RMOF15,RLOF11,
D0117,"stimulus_s_(-0.5, 0.0)",RMOF15,RINSA11,
D0117,"stimulus_s_(-0.5, 0.0)",RMOF15,RINSA12,0.5215585506278693
D0117,"stimulus_s_(-0.5, 0.0)",RMOF15,RINSA13,0.6139138633294017
D0117,"stimulus_s_(-0.5, 0.0)",RMOF15,RINSA14,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA15,RINSA16,0.7931437949517698
D0117,"stimulus_s_(-0.5, 0.0)",RINSA15,RLOF10,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA15,RLOF11,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA15,RINSA11,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA15,RINSA12,0.5214971901364356
D0117,"stimulus_s_(-0.5, 0.0)",RINSA15,RINSA13,0.6543559841052943
D0117,"stimulus_s_(-0.5, 0.0)",RINSA15,RINSA14,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA16,RLOF10,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA16,RLOF11,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA16,RINSA11,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA16,RINSA12,0.47963178341859125
D0117,"stimulus_s_(-0.5, 0.0)",RINSA16,RINSA13,0.5825551219222767
D0117,"stimulus_s_(-0.5, 0.0)",RINSA16,RINSA14,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF10,RLOF11,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF10,RINSA11,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF10,RINSA12,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF10,RINSA13,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF10,RINSA14,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF11,RINSA11,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF11,RINSA12,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF11,RINSA13,
D0117,"stimulus_s_(-0.5, 0.0)",RLOF11,RINSA14,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA11,RINSA12,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA11,RINSA13,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA11,RINSA14,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA12,RINSA13,0.5832037673707452
D0117,"stimulus_s_(-0.5, 0.0)",RINSA12,RINSA14,
D0117,"stimulus_s_(-0.5, 0.0)",RINSA13,RINSA14,
