subject,event,ch1,ch2,coh_mean
D0117,"stimulus_s_(0.0, 0.5)",RINSA3,RLOF16,
D0117,"stimulus_s_(0.0, 0.5)",RINSA3,RMOF15,0.5055730871974221
D0117,"stimulus_s_(0.0, 0.5)",RINSA3,RINSA15,0.5212875757915729
D0117,"stimulus_s_(0.0, 0.5)",RINSA3,RINSA16,0.4902022404031389
D0117,"stimulus_s_(0.0, 0.5)",RINSA3,RLOF10,0.5915100351199424
D0117,"stimulus_s_(0.0, 0.5)",RINSA3,RLOF11,0.5999325163756456
D0117,"stimulus_s_(0.0, 0.5)",RINSA3,RINSA11,
D0117,"stimulus_s_(0.0, 0.5)",RINSA3,RINSA12,
D0117,"stimulus_s_(0.0, 0.5)",RINSA3,RINSA13,0.5170767184292737
D0117,"stimulus_s_(0.0, 0.5)",RINSA3,RINSA14,
D0117,"stimulus_s_(0.0, 0.5)",RLOF16,RMOF15,
D0117,"stimulus_s_(0.0, 0.5)",RLOF16,RINSA15,
D0117,"stimulus_s_(0.0, 0.5)",RLOF16,RINSA16,
D0117,"stimulus_s_(0.0, 0.5)",RLOF16,RLOF10,
D0117,"stimulus_s_(0.0, 0.5)",RLOF16,RLOF11,
D0117,"stimulus_s_(0.0, 0.5)",RLOF16,RINSA11,
D0117,"stimulus_s_(0.0, 0.5)",RLOF16,RINSA12,
D0117,"stimulus_s_(0.0, 0.5)",RLOF16,RINSA13,
D0117,"stimulus_s_(0.0, 0.5)",RLOF16,RINSA14,
D0117,"stimulus_s_(0.0, 0.5)",RMOF15,RINSA15,0.5531330904483922
D0117,"stimulus_s_(0.0, 0.5)",RMOF15,RINSA16,0.537667793712766
D0117,"stimulus_s_(0.0, 0.5)",RMOF15,RLOF10,0.5389167320612157
D0117,"stimulus_s_(0.0, 0.5)",RMOF15,RLOF11,0.5446630924266047
D0117,"stimulus_s_(0.0, 0.5)",RMOF15,RINSA11,
D0117,"stimulus_s_(0.0, 0.5)",RMOF15,RINSA12,
D0117,"stimulus_s_(0.0, 0.5)",RMOF15,RINSA13,0.6239529776717783
D0117,"stimulus_s_(0.0, 0.5)",RMOF15,RINSA14,
D0117,"stimulus_s_(0.0, 0.5)",RINSA15,RINSA16,0.775348329467306
D0117,"stimulus_s_(0.0, 0.5)",RINSA15,RLOF10,0.5008751307734141
D0117,"stimulus_s_(0.0, 0.5)",RINSA15,RLOF11,0.4944631339977618
D0117,"stimulus_s_(0.0, 0.5)",RINSA15,RINSA11,
D0117,"stimulus_s_(0.0, 0.5)",RINSA15,RINSA12,
D0117,"stimulus_s_(0.0, 0.5)",RINSA15,RINSA13,0.6396560086607535
D0117,"stimulus_s_(0.0, 0.5)",RINSA15,RINSA14,
D0117,"stimulus_s_(0.0, 0.5)",RINSA16,RLOF10,0.46080954858276146
D0117,"stimulus_s_(0.0, 0.5)",RINSA16,RLOF11,0.45910494061758433
D0117,"stimulus_s_(0.0, 0.5)",RINSA16,RINSA11,
D0117,"stimulus_s_(0.0, 0.5)",RINSA16,RINSA12,
D0117,"stimulus_s_(0.0, 0.5)",RINSA16,RINSA13,0.5492792967652805
D0117,"stimulus_s_(0.0, 0.5)",RINSA16,RINSA14,
D0117,"stimulus_s_(0.0, 0.5)",RLOF10,RLOF11,0.9154476591052145
D0117,"stimulus_s_(0.0, 0.5)",RLOF10,RINSA11,
D0117,"stimulus_s_(0.0, 0.5)",RLOF10,RINSA12,
D0117,"stimulus_s_(0.0, 0.5)",RLOF10,RINSA13,0.5569021880850882
D0117,"stimulus_s_(0.0, 0.5)",RLOF10,RINSA14,
D0117,"stimulus_s_(0.0, 0.5)",RLOF11,RINSA11,
D0117,"stimulus_s_(0.0, 0.5)",RLOF11,RINSA12,
D0117,"stimulus_s_(0.0, 0.5)",RLOF11,RINSA13,0.5286065911755198
D0117,"stimulus_s_(0.0, 0.5)",RLOF11,RINSA14,
D0117,"stimulus_s_(0.0, 0.5)",RINSA11,RINSA12,
D0117,"stimulus_s_(0.0, 0.5)",RINSA11,RINSA13,
D0117,"stimulus_s_(0.0, 0.5)",RINSA11,RINSA14,
D0117,"stimulus_s_(0.0, 0.5)",RINSA12,RINSA13,
D0117,"stimulus_s_(0.0, 0.5)",RINSA12,RINSA14,
D0117,"stimulus_s_(0.0, 0.5)",RINSA13,RINSA14,
