subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0063,stimulus_c25,lpfc,RAI5,ROF16,-1.0,-0.5,165,0.4648011799038595
D0063,stimulus_c25,lpfc,RAI5,RAI16,-1.0,-0.5,165,0.44049921660521996
D0063,stimulus_c25,lpfc,RAI5,RAMF11,-1.0,-0.5,165,0.435548304494319
D0063,stimulus_c25,lpfc,RAI5,RAMF12,-1.0,-0.5,165,0.47010444656110195
D0063,stimulus_c25,lpfc,RAI5,RAMF13,-1.0,-0.5,165,0.4767518945017947
D0063,stimulus_c25,lpfc,RAI5,RAMF14,-1.0,-0.5,165,0.4778770868762819
D0063,stimulus_c25,lpfc,RAI5,RMMF13,-1.0,-0.5,165,0.4559465007041923
D0063,stimulus_c25,lpfc,RAI5,RMMF14,-1.0,-0.5,165,0.4642104510103423
D0063,stimulus_c25,lpfc,RAI5,LASF10,-1.0,-0.5,165,0.4606384355503382
D0063,stimulus_c25,lpfc,RAI5,LASF11,-1.0,-0.5,165,0.4043993581140742
D0063,stimulus_c25,lpfc,RAI5,LASF14,-1.0,-0.5,165,0.4044094628859807
D0063,stimulus_c25,lpfc,RAI5,LASF15,-1.0,-0.5,165,0.4256101477219764
D0063,stimulus_c25,lpfc,RAI5,LASF16,-1.0,-0.5,165,0.46721954681245764
D0063,stimulus_c25,lpfc,RAI5,LMSF5,-1.0,-0.5,165,0.43175578266576004
D0063,stimulus_c25,lpfc,RAI5,LMSF6,-1.0,-0.5,165,0.44120833169149126
D0063,stimulus_c25,lpfc,RAI5,LMSF12,-1.0,-0.5,165,0.4769955486263531
D0063,stimulus_c25,lpfc,RAI5,LPSF10,-1.0,-0.5,165,0.4408963089221363
D0063,stimulus_c25,lpfc,RAI5,LPSF12,-1.0,-0.5,165,0.46263150089017874
D0063,stimulus_c25,lpfc,RAI5,RASF15,-1.0,-0.5,165,0.4611558940331839
D0063,stimulus_c25,lpfc,RAI5,RASF16,-1.0,-0.5,165,0.4977576653800048
D0063,stimulus_c25,lpfc,RAI5,RMSF8,-1.0,-0.5,165,0.42408440116206947
D0063,stimulus_c25,lpfc,RAI5,RMSF9,-1.0,-0.5,165,0.42869285611421787
D0063,stimulus_c25,lpfc,RAI5,RMSF10,-1.0,-0.5,165,0.431803367936592
D0063,stimulus_c25,lpfc,RAI5,RMSF11,-1.0,-0.5,165,0.4776264951236553
D0063,stimulus_c25,lpfc,RAI5,RMSF12,-1.0,-0.5,165,0.4817734798157059
D0063,stimulus_c25,lpfc,RAI5,RAI4,-1.0,-0.5,165,0.47120925708648553
D0063,stimulus_c25,lpfc,RAI5,RAI6,-1.0,-0.5,165,0.44235862807365506
D0063,stimulus_c25,lpfc,RAI5,RAI10,-1.0,-0.5,165,0.4377849225081641
D0063,stimulus_c25,lpfc,RAI5,RAI11,-1.0,-0.5,165,0.41779415551472654
D0063,stimulus_c25,lpfc,RAI5,RAMF8,-1.0,-0.5,165,0.40017170335668334
D0063,stimulus_c25,lpfc,RAI5,RAMF9,-1.0,-0.5,165,0.41112421160846646
D0063,stimulus_c25,lpfc,RAI5,RAMF10,-1.0,-0.5,165,0.4174742211046168
D0063,stimulus_c25,lpfc,RAI5,RMMF9,-1.0,-0.5,165,0.4309046500836568
D0063,stimulus_c25,lpfc,RAI5,RMMF10,-1.0,-0.5,165,0.4312774188669478
D0063,stimulus_c25,lpfc,RAI5,RMSF7,-1.0,-0.5,165,0.42435011606630246
D0063,stimulus_c25,lpfc,ROF16,RAI16,-1.0,-0.5,165,0.567761349881903
D0063,stimulus_c25,lpfc,ROF16,RAMF11,-1.0,-0.5,165,0.5548328221887684
D0063,stimulus_c25,lpfc,ROF16,RAMF12,-1.0,-0.5,165,0.7414706230654244
D0063,stimulus_c25,lpfc,ROF16,RAMF13,-1.0,-0.5,165,0.7547841054319746
D0063,stimulus_c25,lpfc,ROF16,RAMF14,-1.0,-0.5,165,0.7570340527233578
D0063,stimulus_c25,lpfc,ROF16,RMMF13,-1.0,-0.5,165,0.507408909349604
D0063,stimulus_c25,lpfc,ROF16,RMMF14,-1.0,-0.5,165,0.5918045895882902
D0063,stimulus_c25,lpfc,ROF16,LASF10,-1.0,-0.5,165,0.4940758984719793
D0063,stimulus_c25,lpfc,ROF16,LASF11,-1.0,-0.5,165,0.46732167652992523
D0063,stimulus_c25,lpfc,ROF16,LASF14,-1.0,-0.5,165,0.46102232340006327
D0063,stimulus_c25,lpfc,ROF16,LASF15,-1.0,-0.5,165,0.5056215990012465
D0063,stimulus_c25,lpfc,ROF16,LASF16,-1.0,-0.5,165,0.5892753853975039
D0063,stimulus_c25,lpfc,ROF16,LMSF5,-1.0,-0.5,165,0.47049976791866455
D0063,stimulus_c25,lpfc,ROF16,LMSF6,-1.0,-0.5,165,0.4663005861823977
D0063,stimulus_c25,lpfc,ROF16,LMSF12,-1.0,-0.5,165,0.577991592023011
D0063,stimulus_c25,lpfc,ROF16,LPSF10,-1.0,-0.5,165,0.5015360567232129
D0063,stimulus_c25,lpfc,ROF16,LPSF12,-1.0,-0.5,165,0.5730794706373359
D0063,stimulus_c25,lpfc,ROF16,RASF15,-1.0,-0.5,165,0.4728603336375295
D0063,stimulus_c25,lpfc,ROF16,RASF16,-1.0,-0.5,165,0.5447977520983175
D0063,stimulus_c25,lpfc,ROF16,RMSF8,-1.0,-0.5,165,0.4796910254468679
D0063,stimulus_c25,lpfc,ROF16,RMSF9,-1.0,-0.5,165,0.49119341564532715
D0063,stimulus_c25,lpfc,ROF16,RMSF10,-1.0,-0.5,165,0.4984318304499087
D0063,stimulus_c25,lpfc,ROF16,RMSF11,-1.0,-0.5,165,0.6071644062341043
D0063,stimulus_c25,lpfc,ROF16,RMSF12,-1.0,-0.5,165,0.6112940075955258
D0063,stimulus_c25,lpfc,ROF16,RAI4,-1.0,-0.5,165,0.4890047470946949
D0063,stimulus_c25,lpfc,ROF16,RAI6,-1.0,-0.5,165,0.4773527335324828
D0063,stimulus_c25,lpfc,ROF16,RAI10,-1.0,-0.5,165,0.46684990269279625
D0063,stimulus_c25,lpfc,ROF16,RAI11,-1.0,-0.5,165,0.4903386608296422
D0063,stimulus_c25,lpfc,ROF16,RAMF8,-1.0,-0.5,165,0.46321087693429935
D0063,stimulus_c25,lpfc,ROF16,RAMF9,-1.0,-0.5,165,0.49715939640756074
D0063,stimulus_c25,lpfc,ROF16,RAMF10,-1.0,-0.5,165,0.6027019159224348
D0063,stimulus_c25,lpfc,ROF16,RMMF9,-1.0,-0.5,165,0.45035148618623666
D0063,stimulus_c25,lpfc,ROF16,RMMF10,-1.0,-0.5,165,0.4688044346856167
D0063,stimulus_c25,lpfc,ROF16,RMSF7,-1.0,-0.5,165,0.4730761955987693
D0063,stimulus_c25,lpfc,RAI16,RAMF11,-1.0,-0.5,165,0.48150478297182997
D0063,stimulus_c25,lpfc,RAI16,RAMF12,-1.0,-0.5,165,0.5756795410015909
D0063,stimulus_c25,lpfc,RAI16,RAMF13,-1.0,-0.5,165,0.5799679280256471
D0063,stimulus_c25,lpfc,RAI16,RAMF14,-1.0,-0.5,165,0.5814125126981268
D0063,stimulus_c25,lpfc,RAI16,RMMF13,-1.0,-0.5,165,0.5186858663223057
D0063,stimulus_c25,lpfc,RAI16,RMMF14,-1.0,-0.5,165,0.6890189656506304
D0063,stimulus_c25,lpfc,RAI16,LASF10,-1.0,-0.5,165,0.4448781661417735
D0063,stimulus_c25,lpfc,RAI16,LASF11,-1.0,-0.5,165,0.4443052170492089
D0063,stimulus_c25,lpfc,RAI16,LASF14,-1.0,-0.5,165,0.4415149041344157
D0063,stimulus_c25,lpfc,RAI16,LASF15,-1.0,-0.5,165,0.476079645013975
D0063,stimulus_c25,lpfc,RAI16,LASF16,-1.0,-0.5,165,0.5890777075699827
D0063,stimulus_c25,lpfc,RAI16,LMSF5,-1.0,-0.5,165,0.45147353830397763
D0063,stimulus_c25,lpfc,RAI16,LMSF6,-1.0,-0.5,165,0.4552015507897916
D0063,stimulus_c25,lpfc,RAI16,LMSF12,-1.0,-0.5,165,0.5997627028645722
D0063,stimulus_c25,lpfc,RAI16,LPSF10,-1.0,-0.5,165,0.49093126797112774
D0063,stimulus_c25,lpfc,RAI16,LPSF12,-1.0,-0.5,165,0.5953147291973651
D0063,stimulus_c25,lpfc,RAI16,RASF15,-1.0,-0.5,165,0.462570408493363
D0063,stimulus_c25,lpfc,RAI16,RASF16,-1.0,-0.5,165,0.5858652059566741
D0063,stimulus_c25,lpfc,RAI16,RMSF8,-1.0,-0.5,165,0.47173324442120407
D0063,stimulus_c25,lpfc,RAI16,RMSF9,-1.0,-0.5,165,0.45851019431079937
D0063,stimulus_c25,lpfc,RAI16,RMSF10,-1.0,-0.5,165,0.4980733796277484
D0063,stimulus_c25,lpfc,RAI16,RMSF11,-1.0,-0.5,165,0.7104359693646927
D0063,stimulus_c25,lpfc,RAI16,RMSF12,-1.0,-0.5,165,0.71374896824913
D0063,stimulus_c25,lpfc,RAI16,RAI4,-1.0,-0.5,165,0.47771963625798575
D0063,stimulus_c25,lpfc,RAI16,RAI6,-1.0,-0.5,165,0.44703658170800276
D0063,stimulus_c25,lpfc,RAI16,RAI10,-1.0,-0.5,165,0.4675912749625776
D0063,stimulus_c25,lpfc,RAI16,RAI11,-1.0,-0.5,165,0.4810642447785216
D0063,stimulus_c25,lpfc,RAI16,RAMF8,-1.0,-0.5,165,0.4568178143235911
D0063,stimulus_c25,lpfc,RAI16,RAMF9,-1.0,-0.5,165,0.47367621843207386
D0063,stimulus_c25,lpfc,RAI16,RAMF10,-1.0,-0.5,165,0.5363376390113493
D0063,stimulus_c25,lpfc,RAI16,RMMF9,-1.0,-0.5,165,0.4584622116388076
D0063,stimulus_c25,lpfc,RAI16,RMMF10,-1.0,-0.5,165,0.45033216719897956
D0063,stimulus_c25,lpfc,RAI16,RMSF7,-1.0,-0.5,165,0.4916092195584354
D0063,stimulus_c25,lpfc,RAMF11,RAMF12,-1.0,-0.5,165,0.6493603300589204
D0063,stimulus_c25,lpfc,RAMF11,RAMF13,-1.0,-0.5,165,0.5904554640393206
D0063,stimulus_c25,lpfc,RAMF11,RAMF14,-1.0,-0.5,165,0.5905048830557813
D0063,stimulus_c25,lpfc,RAMF11,RMMF13,-1.0,-0.5,165,0.48888149168555434
D0063,stimulus_c25,lpfc,RAMF11,RMMF14,-1.0,-0.5,165,0.4876926667206565
D0063,stimulus_c25,lpfc,RAMF11,LASF10,-1.0,-0.5,165,0.5120154202958668
D0063,stimulus_c25,lpfc,RAMF11,LASF11,-1.0,-0.5,165,0.4537155331282731
D0063,stimulus_c25,lpfc,RAMF11,LASF14,-1.0,-0.5,165,0.4611930919231965
D0063,stimulus_c25,lpfc,RAMF11,LASF15,-1.0,-0.5,165,0.5195171673806852
D0063,stimulus_c25,lpfc,RAMF11,LASF16,-1.0,-0.5,165,0.4602049188322526
D0063,stimulus_c25,lpfc,RAMF11,LMSF5,-1.0,-0.5,165,0.4721488106717412
D0063,stimulus_c25,lpfc,RAMF11,LMSF6,-1.0,-0.5,165,0.45883381645087623
D0063,stimulus_c25,lpfc,RAMF11,LMSF12,-1.0,-0.5,165,0.47250439858603666
D0063,stimulus_c25,lpfc,RAMF11,LPSF10,-1.0,-0.5,165,0.4848300332996823
D0063,stimulus_c25,lpfc,RAMF11,LPSF12,-1.0,-0.5,165,0.4876479594594505
D0063,stimulus_c25,lpfc,RAMF11,RASF15,-1.0,-0.5,165,0.4669044133306638
D0063,stimulus_c25,lpfc,RAMF11,RASF16,-1.0,-0.5,165,0.45965523488753585
D0063,stimulus_c25,lpfc,RAMF11,RMSF8,-1.0,-0.5,165,0.5052949208564507
D0063,stimulus_c25,lpfc,RAMF11,RMSF9,-1.0,-0.5,165,0.5136389336187259
D0063,stimulus_c25,lpfc,RAMF11,RMSF10,-1.0,-0.5,165,0.5196322400374164
D0063,stimulus_c25,lpfc,RAMF11,RMSF11,-1.0,-0.5,165,0.4991051617362193
D0063,stimulus_c25,lpfc,RAMF11,RMSF12,-1.0,-0.5,165,0.5022139481463203
D0063,stimulus_c25,lpfc,RAMF11,RAI4,-1.0,-0.5,165,0.4908252922723314
