subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0063,stimulus_i25,lpfc,RAI5,ROF16,-1.0,-0.5,36,0.5190299080965242
D0063,stimulus_i25,lpfc,RAI5,RAI16,-1.0,-0.5,36,0.4635032075255207
D0063,stimulus_i25,lpfc,RAI5,RAMF11,-1.0,-0.5,36,0.5214149943633893
D0063,stimulus_i25,lpfc,RAI5,RAMF12,-1.0,-0.5,36,0.4667173821428139
D0063,stimulus_i25,lpfc,RAI5,RAMF13,-1.0,-0.5,36,0.49748294876806703
D0063,stimulus_i25,lpfc,RAI5,RAMF14,-1.0,-0.5,36,0.4994686993782437
D0063,stimulus_i25,lpfc,RAI5,RMMF13,-1.0,-0.5,36,0.4668290893096176
D0063,stimulus_i25,lpfc,RAI5,RMMF14,-1.0,-0.5,36,0.46902538831135565
D0063,stimulus_i25,lpfc,RAI5,LASF10,-1.0,-0.5,36,0.5012823686369489
D0063,stimulus_i25,lpfc,RAI5,LASF11,-1.0,-0.5,36,0.453271348743465
D0063,stimulus_i25,lpfc,RAI5,LASF14,-1.0,-0.5,36,0.47623697428039347
D0063,stimulus_i25,lpfc,RAI5,LASF15,-1.0,-0.5,36,0.47808922869247406
D0063,stimulus_i25,lpfc,RAI5,LASF16,-1.0,-0.5,36,0.4988422076652504
D0063,stimulus_i25,lpfc,RAI5,LMSF5,-1.0,-0.5,36,0.5163566567672138
D0063,stimulus_i25,lpfc,RAI5,LMSF6,-1.0,-0.5,36,0.49714258598065947
D0063,stimulus_i25,lpfc,RAI5,LMSF12,-1.0,-0.5,36,0.5130378275296498
D0063,stimulus_i25,lpfc,RAI5,LPSF10,-1.0,-0.5,36,0.4889643021359445
D0063,stimulus_i25,lpfc,RAI5,LPSF12,-1.0,-0.5,36,0.4780578158519721
D0063,stimulus_i25,lpfc,RAI5,RASF15,-1.0,-0.5,36,0.46928162341501883
D0063,stimulus_i25,lpfc,RAI5,RASF16,-1.0,-0.5,36,0.4400342398609603
D0063,stimulus_i25,lpfc,RAI5,RMSF8,-1.0,-0.5,36,0.44900631773883243
D0063,stimulus_i25,lpfc,RAI5,RMSF9,-1.0,-0.5,36,0.47345720687183124
D0063,stimulus_i25,lpfc,RAI5,RMSF10,-1.0,-0.5,36,0.4403373163587649
D0063,stimulus_i25,lpfc,RAI5,RMSF11,-1.0,-0.5,36,0.49067819727108736
D0063,stimulus_i25,lpfc,RAI5,RMSF12,-1.0,-0.5,36,0.4922801723491935
D0063,stimulus_i25,lpfc,RAI5,RAI4,-1.0,-0.5,36,0.5073798497301576
D0063,stimulus_i25,lpfc,RAI5,RAI6,-1.0,-0.5,36,0.436109868509478
D0063,stimulus_i25,lpfc,RAI5,RAI10,-1.0,-0.5,36,0.4342305298976761
D0063,stimulus_i25,lpfc,RAI5,RAI11,-1.0,-0.5,36,0.43952578314441154
D0063,stimulus_i25,lpfc,RAI5,RAMF8,-1.0,-0.5,36,0.5023857716562123
D0063,stimulus_i25,lpfc,RAI5,RAMF9,-1.0,-0.5,36,0.49379112008687176
D0063,stimulus_i25,lpfc,RAI5,RAMF10,-1.0,-0.5,36,0.44314582730924895
D0063,stimulus_i25,lpfc,RAI5,RMMF9,-1.0,-0.5,36,0.4513031825528524
D0063,stimulus_i25,lpfc,RAI5,RMMF10,-1.0,-0.5,36,0.4504120646355383
D0063,stimulus_i25,lpfc,RAI5,RMSF7,-1.0,-0.5,36,0.47577620865801534
D0063,stimulus_i25,lpfc,ROF16,RAI16,-1.0,-0.5,36,0.5831336337616344
D0063,stimulus_i25,lpfc,ROF16,RAMF11,-1.0,-0.5,36,0.5258777014867395
D0063,stimulus_i25,lpfc,ROF16,RAMF12,-1.0,-0.5,36,0.7398575141580428
D0063,stimulus_i25,lpfc,ROF16,RAMF13,-1.0,-0.5,36,0.772449290730246
D0063,stimulus_i25,lpfc,ROF16,RAMF14,-1.0,-0.5,36,0.7718947784744501
D0063,stimulus_i25,lpfc,ROF16,RMMF13,-1.0,-0.5,36,0.5172068158967561
D0063,stimulus_i25,lpfc,ROF16,RMMF14,-1.0,-0.5,36,0.643591626373434
D0063,stimulus_i25,lpfc,ROF16,LASF10,-1.0,-0.5,36,0.46166180647447763
D0063,stimulus_i25,lpfc,ROF16,LASF11,-1.0,-0.5,36,0.46155580375135663
D0063,stimulus_i25,lpfc,ROF16,LASF14,-1.0,-0.5,36,0.48781460466150556
D0063,stimulus_i25,lpfc,ROF16,LASF15,-1.0,-0.5,36,0.5185256264926208
D0063,stimulus_i25,lpfc,ROF16,LASF16,-1.0,-0.5,36,0.5697917639879583
D0063,stimulus_i25,lpfc,ROF16,LMSF5,-1.0,-0.5,36,0.46305636151527096
D0063,stimulus_i25,lpfc,ROF16,LMSF6,-1.0,-0.5,36,0.4449471397647177
D0063,stimulus_i25,lpfc,ROF16,LMSF12,-1.0,-0.5,36,0.5433894669850496
D0063,stimulus_i25,lpfc,ROF16,LPSF10,-1.0,-0.5,36,0.5444074955554493
D0063,stimulus_i25,lpfc,ROF16,LPSF12,-1.0,-0.5,36,0.5600097594526288
D0063,stimulus_i25,lpfc,ROF16,RASF15,-1.0,-0.5,36,0.48179220770653575
D0063,stimulus_i25,lpfc,ROF16,RASF16,-1.0,-0.5,36,0.5869060200655716
D0063,stimulus_i25,lpfc,ROF16,RMSF8,-1.0,-0.5,36,0.44545553232105606
D0063,stimulus_i25,lpfc,ROF16,RMSF9,-1.0,-0.5,36,0.5134838277684433
D0063,stimulus_i25,lpfc,ROF16,RMSF10,-1.0,-0.5,36,0.47472668371806315
D0063,stimulus_i25,lpfc,ROF16,RMSF11,-1.0,-0.5,36,0.557713354920803
