subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0065,Stimulus,lpfc,RASF14,RASF15,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF14,RASF16,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF14,RMSF11,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF14,RMSF12,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF14,RMSF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF14,RMSF14,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF14,RI7,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF14,RASF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF15,RASF16,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF15,RMSF11,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF15,RMSF12,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF15,RMSF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF15,RMSF14,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF15,RI7,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF15,RASF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF16,RMSF11,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF16,RMSF12,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF16,RMSF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF16,RMSF14,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF16,RI7,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF16,RASF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF11,RMSF12,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF11,RMSF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF11,RMSF14,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF11,RI7,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF11,RASF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF12,RMSF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF12,RMSF14,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF12,RI7,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF12,RASF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF13,RMSF14,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF13,RI7,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF13,RASF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF14,RI7,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RMSF14,RASF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RI7,RASF13,-1.0,-0.5,448,
D0065,Stimulus,lpfc,RASF14,RASF15,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF14,RASF16,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF14,RMSF11,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF14,RMSF12,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF14,RMSF13,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF14,RMSF14,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF14,RI7,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF14,RASF13,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF15,RASF16,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF15,RMSF11,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF15,RMSF12,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF15,RMSF13,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF15,RMSF14,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF15,RI7,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF15,RASF13,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF16,RMSF11,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF16,RMSF12,-0.5,0.0,448,
D0065,Stimulus,lpfc,RASF16,RMSF13,-0.5,0.0,448,
