subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0107A,Stimulus,lpfc,RFAM10,RFAM11,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFAM12,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFMM9,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFMM11,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFMM12,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFMM13,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFMM14,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFMM15,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFOA16,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFOA17,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFOA18,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFAI3,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RIA5,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RIA6,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFAM7,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFAM9,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RFMM8,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RIA12,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RIA14,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RIA15,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RIA16,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RIA17,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM10,RIA18,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFAM12,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFMM9,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFMM11,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFMM12,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFMM13,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFMM14,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFMM15,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFOA16,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFOA17,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFOA18,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFAI3,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RIA5,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RIA6,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFAM7,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFAM9,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RFMM8,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RIA12,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RIA14,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RIA15,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RIA16,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RIA17,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM11,RIA18,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RFMM9,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RFMM11,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RFMM12,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RFMM13,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RFMM14,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RFMM15,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RFOA16,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RFOA17,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RFOA18,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RFAI3,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RIA5,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RIA6,-1.0,-0.5,452,
D0107A,Stimulus,lpfc,RFAM12,RFAM7,-1.0,-0.5,452,
