subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFOA16-RFOA17,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFOA17-RFOA18,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFAI2-RFAI3,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFAI3-RFAI4,-1.0,-0.5,112,0.12485700666812637
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFAM6-RFAM7,-1.0,-0.5,112,0.10708253431794627
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFAM7-RFAM8,-1.0,-0.5,112,0.1535914924750803
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFAM8-RFAM9,-1.0,-0.5,112,0.16004498311703927
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFAM9-RFAM10,-1.0,-0.5,112,0.11134487513477158
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFAM10-RFAM11,-1.0,-0.5,112,0.166396121846623
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFAM11-RFAM12,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFMM8-RFMM9,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFMM9-RFMM10,-1.0,-0.5,112,0.15306088543891183
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFMM10-RFMM11,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFMM11-RFMM12,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFMM12-RFMM13,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFMM13-RFMM14,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RFMM14-RFMM15,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RIA4-RIA5,-1.0,-0.5,112,0.11647143334610671
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RIA5-RIA6,-1.0,-0.5,112,0.17754267059941134
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RIA6-RIA7,-1.0,-0.5,112,0.2280244824362126
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RIA11-RIA12,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RIA14-RIA15,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RIA15-RIA16,-1.0,-0.5,112,0.36495782774944613
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RIA16-RIA17,-1.0,-0.5,112,0.1467489522926983
D0107A,stimulus_blockB,lpfc,RFOA15-RFOA16,RIA17-RIA18,-1.0,-0.5,112,0.12860077409760204
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFOA17-RFOA18,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFAI2-RFAI3,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFAI3-RFAI4,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFAM6-RFAM7,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFAM7-RFAM8,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFAM8-RFAM9,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFAM9-RFAM10,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFAM10-RFAM11,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFAM11-RFAM12,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFMM8-RFMM9,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFMM9-RFMM10,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFMM10-RFMM11,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFMM11-RFMM12,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFMM12-RFMM13,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFMM13-RFMM14,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RFMM14-RFMM15,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RIA4-RIA5,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RIA5-RIA6,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RIA6-RIA7,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RIA11-RIA12,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RIA14-RIA15,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RIA15-RIA16,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RIA16-RIA17,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA16-RFOA17,RIA17-RIA18,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA17-RFOA18,RFAI2-RFAI3,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA17-RFOA18,RFAI3-RFAI4,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA17-RFOA18,RFAM6-RFAM7,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA17-RFOA18,RFAM7-RFAM8,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA17-RFOA18,RFAM8-RFAM9,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA17-RFOA18,RFAM9-RFAM10,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA17-RFOA18,RFAM10-RFAM11,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA17-RFOA18,RFAM11-RFAM12,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA17-RFOA18,RFMM8-RFMM9,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA17-RFOA18,RFMM9-RFMM10,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA17-RFOA18,RFMM10-RFMM11,-1.0,-0.5,112,
D0107A,stimulus_blockB,lpfc,RFOA17-RFOA18,RFMM11-RFMM12,-1.0,-0.5,112,
