subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFOA16-RFOA17,-1.0,-0.5,111,
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFOA17-RFOA18,-1.0,-0.5,111,0.48997012096928055
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFAI2-RFAI3,-1.0,-0.5,111,0.07628307950475369
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFAI3-RFAI4,-1.0,-0.5,111,
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFAM6-RFAM7,-1.0,-0.5,111,0.14499250705714256
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFAM7-RFAM8,-1.0,-0.5,111,0.17736132711803143
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFAM8-RFAM9,-1.0,-0.5,111,0.09555421923470667
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFAM9-RFAM10,-1.0,-0.5,111,
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFAM10-RFAM11,-1.0,-0.5,111,0.14623294262696243
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFAM11-RFAM12,-1.0,-0.5,111,
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFMM8-RFMM9,-1.0,-0.5,111,
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFMM9-RFMM10,-1.0,-0.5,111,
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFMM10-RFMM11,-1.0,-0.5,111,
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFMM11-RFMM12,-1.0,-0.5,111,
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFMM12-RFMM13,-1.0,-0.5,111,
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFMM13-RFMM14,-1.0,-0.5,111,
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RFMM14-RFMM15,-1.0,-0.5,111,0.28624129384017183
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RIA4-RIA5,-1.0,-0.5,111,0.07847655846976515
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RIA5-RIA6,-1.0,-0.5,111,0.16506425864657362
D0107A,stimulus_blockC,lpfc,RFOA15-RFOA16,RIA6-RIA7,-1.0,-0.5,111,0.15197893938658494
