subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFOA16-RFOA17,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFOA17-RFOA18,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFAI2-RFAI3,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFAI3-RFAI4,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFAM6-RFAM7,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFAM7-RFAM8,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFAM8-RFAM9,-1.0,-0.5,213,0.08223518116166634
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFAM9-RFAM10,-1.0,-0.5,213,0.08618591131159899
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFAM10-RFAM11,-1.0,-0.5,213,0.14537379244862975
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFAM11-RFAM12,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFMM8-RFMM9,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFMM9-RFMM10,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFMM10-RFMM11,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFMM11-RFMM12,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFMM12-RFMM13,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFMM13-RFMM14,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RFMM14-RFMM15,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RIA4-RIA5,-1.0,-0.5,213,0.10244982493665375
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RIA5-RIA6,-1.0,-0.5,213,0.13854154929513005
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RIA6-RIA7,-1.0,-0.5,213,0.14640618918196144
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RIA11-RIA12,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RIA14-RIA15,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RIA15-RIA16,-1.0,-0.5,213,0.27423403003045915
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RIA16-RIA17,-1.0,-0.5,213,0.1486752052596983
D0107A,stimulus_c,lpfc,RFOA15-RFOA16,RIA17-RIA18,-1.0,-0.5,213,0.17287838892959845
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFOA17-RFOA18,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFAI2-RFAI3,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFAI3-RFAI4,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFAM6-RFAM7,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFAM7-RFAM8,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFAM8-RFAM9,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFAM9-RFAM10,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFAM10-RFAM11,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFAM11-RFAM12,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFMM8-RFMM9,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFMM9-RFMM10,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFMM10-RFMM11,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFMM11-RFMM12,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFMM12-RFMM13,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFMM13-RFMM14,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RFMM14-RFMM15,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RIA4-RIA5,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RIA5-RIA6,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RIA6-RIA7,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RIA11-RIA12,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RIA14-RIA15,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RIA15-RIA16,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RIA16-RIA17,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA16-RFOA17,RIA17-RIA18,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFAI2-RFAI3,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFAI3-RFAI4,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFAM6-RFAM7,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFAM7-RFAM8,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFAM8-RFAM9,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFAM9-RFAM10,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFAM10-RFAM11,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFAM11-RFAM12,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFMM8-RFMM9,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFMM9-RFMM10,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFMM10-RFMM11,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFMM11-RFMM12,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFMM12-RFMM13,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFMM13-RFMM14,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RFMM14-RFMM15,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RIA4-RIA5,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RIA5-RIA6,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RIA6-RIA7,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RIA11-RIA12,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RIA14-RIA15,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RIA15-RIA16,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RIA16-RIA17,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFOA17-RFOA18,RIA17-RIA18,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFAI2-RFAI3,RFAI3-RFAI4,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFAI2-RFAI3,RFAM6-RFAM7,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFAI2-RFAI3,RFAM7-RFAM8,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFAI2-RFAI3,RFAM8-RFAM9,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFAI2-RFAI3,RFAM9-RFAM10,-1.0,-0.5,213,
D0107A,stimulus_c,lpfc,RFAI2-RFAI3,RFAM10-RFAM11,-1.0,-0.5,213,
