subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0107A,stimulus_c75,lpfc,RFAM10,RFAM11,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFAM12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFMM9,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFMM11,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFMM12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFMM13,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFMM14,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFMM15,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFOA16,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFOA17,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFOA18,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFAI3,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RIA5,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RIA6,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFAM7,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFAM9,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RFMM8,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RIA12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RIA14,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RIA15,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RIA16,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RIA17,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM10,RIA18,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFAM12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFMM9,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFMM11,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFMM12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFMM13,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFMM14,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFMM15,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFOA16,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFOA17,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFOA18,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFAI3,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RIA5,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RIA6,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFAM7,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFAM9,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RFMM8,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RIA12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RIA14,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RIA15,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RIA16,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RIA17,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM11,RIA18,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM12,RFMM9,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM12,RFMM11,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM12,RFMM12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM12,RFMM13,-1.0,-0.5,51,0.6981669753641576
D0107A,stimulus_c75,lpfc,RFAM12,RFMM14,-1.0,-0.5,51,0.7155185729481534
D0107A,stimulus_c75,lpfc,RFAM12,RFMM15,-1.0,-0.5,51,0.7176263917227041
D0107A,stimulus_c75,lpfc,RFAM12,RFOA16,-1.0,-0.5,51,0.543020943326067
D0107A,stimulus_c75,lpfc,RFAM12,RFOA17,-1.0,-0.5,51,0.568446865449949
D0107A,stimulus_c75,lpfc,RFAM12,RFOA18,-1.0,-0.5,51,0.5984500782871512
D0107A,stimulus_c75,lpfc,RFAM12,RFAI3,-1.0,-0.5,51,0.16462267357207444
D0107A,stimulus_c75,lpfc,RFAM12,RIA5,-1.0,-0.5,51,0.20745036540677386
D0107A,stimulus_c75,lpfc,RFAM12,RIA6,-1.0,-0.5,51,0.13800291509944912
D0107A,stimulus_c75,lpfc,RFAM12,RFAM7,-1.0,-0.5,51,0.21016456228348215
D0107A,stimulus_c75,lpfc,RFAM12,RFAM9,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM12,RFMM8,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM12,RIA12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM12,RIA14,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFAM12,RIA15,-1.0,-0.5,51,0.5003378628504878
D0107A,stimulus_c75,lpfc,RFAM12,RIA16,-1.0,-0.5,51,0.5234158146127542
D0107A,stimulus_c75,lpfc,RFAM12,RIA17,-1.0,-0.5,51,0.5450522763636337
D0107A,stimulus_c75,lpfc,RFAM12,RIA18,-1.0,-0.5,51,0.5629766139561443
D0107A,stimulus_c75,lpfc,RFMM9,RFMM11,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RFMM12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RFMM13,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RFMM14,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RFMM15,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RFOA16,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RFOA17,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RFOA18,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RFAI3,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RIA5,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RIA6,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RFAM7,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RFAM9,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RFMM8,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RIA12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RIA14,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RIA15,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RIA16,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RIA17,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM9,RIA18,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RFMM12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RFMM13,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RFMM14,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RFMM15,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RFOA16,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RFOA17,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RFOA18,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RFAI3,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RIA5,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RIA6,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RFAM7,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RFAM9,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RFMM8,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RIA12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RIA14,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RIA15,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RIA16,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RIA17,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM11,RIA18,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RFMM13,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RFMM14,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RFMM15,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RFOA16,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RFOA17,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RFOA18,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RFAI3,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RIA5,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RIA6,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RFAM7,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RFAM9,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RFMM8,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RIA12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RIA14,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RIA15,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RIA16,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RIA17,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM12,RIA18,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM13,RFMM14,-1.0,-0.5,51,0.9597747310836694
D0107A,stimulus_c75,lpfc,RFMM13,RFMM15,-1.0,-0.5,51,0.9040499579522218
D0107A,stimulus_c75,lpfc,RFMM13,RFOA16,-1.0,-0.5,51,0.7135467788703329
D0107A,stimulus_c75,lpfc,RFMM13,RFOA17,-1.0,-0.5,51,0.7357746485140609
D0107A,stimulus_c75,lpfc,RFMM13,RFOA18,-1.0,-0.5,51,0.7550113050226784
D0107A,stimulus_c75,lpfc,RFMM13,RFAI3,-1.0,-0.5,51,0.19012423173201123
D0107A,stimulus_c75,lpfc,RFMM13,RIA5,-1.0,-0.5,51,0.1681217571865885
D0107A,stimulus_c75,lpfc,RFMM13,RIA6,-1.0,-0.5,51,0.10278388197658332
D0107A,stimulus_c75,lpfc,RFMM13,RFAM7,-1.0,-0.5,51,0.19898014279408677
D0107A,stimulus_c75,lpfc,RFMM13,RFAM9,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM13,RFMM8,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM13,RIA12,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM13,RIA14,-1.0,-0.5,51,
D0107A,stimulus_c75,lpfc,RFMM13,RIA15,-1.0,-0.5,51,0.6893859303688155
D0107A,stimulus_c75,lpfc,RFMM13,RIA16,-1.0,-0.5,51,0.7319761483550764
D0107A,stimulus_c75,lpfc,RFMM13,RIA17,-1.0,-0.5,51,0.7560047042959505
D0107A,stimulus_c75,lpfc,RFMM13,RIA18,-1.0,-0.5,51,0.7584921980962129
D0107A,stimulus_c75,lpfc,RFMM14,RFMM15,-1.0,-0.5,51,0.9772566341225836
