subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0107A,stimulus_ci25,lpfc,RFAM10,RFAM11,-1.0,-0.5,206,0.8049642876092462
D0107A,stimulus_ci25,lpfc,RFAM10,RFAM12,-1.0,-0.5,206,0.49857671697164224
D0107A,stimulus_ci25,lpfc,RFAM10,RFMM9,-1.0,-0.5,206,0.5303849471952434
D0107A,stimulus_ci25,lpfc,RFAM10,RFMM11,-1.0,-0.5,206,0.48246920891908174
D0107A,stimulus_ci25,lpfc,RFAM10,RFMM12,-1.0,-0.5,206,0.5184759354058074
D0107A,stimulus_ci25,lpfc,RFAM10,RFMM13,-1.0,-0.5,206,0.47000719753291387
D0107A,stimulus_ci25,lpfc,RFAM10,RFMM14,-1.0,-0.5,206,0.4898002410676107
D0107A,stimulus_ci25,lpfc,RFAM10,RFMM15,-1.0,-0.5,206,0.5017586779506906
D0107A,stimulus_ci25,lpfc,RFAM10,RFOA16,-1.0,-0.5,206,0.49235160882532597
D0107A,stimulus_ci25,lpfc,RFAM10,RFOA17,-1.0,-0.5,206,0.5003505029087357
D0107A,stimulus_ci25,lpfc,RFAM10,RFOA18,-1.0,-0.5,206,0.5041952472920099
D0107A,stimulus_ci25,lpfc,RFAM10,RFAI3,-1.0,-0.5,206,0.4115956930213626
D0107A,stimulus_ci25,lpfc,RFAM10,RIA5,-1.0,-0.5,206,0.5211619586351478
D0107A,stimulus_ci25,lpfc,RFAM10,RIA6,-1.0,-0.5,206,0.496628689568905
D0107A,stimulus_ci25,lpfc,RFAM10,RFAM7,-1.0,-0.5,206,0.5074462166802413
D0107A,stimulus_ci25,lpfc,RFAM10,RFAM9,-1.0,-0.5,206,0.7963891079576041
D0107A,stimulus_ci25,lpfc,RFAM10,RFMM8,-1.0,-0.5,206,0.4647064258015817
D0107A,stimulus_ci25,lpfc,RFAM10,RIA12,-1.0,-0.5,206,0.4940983568613795
D0107A,stimulus_ci25,lpfc,RFAM10,RIA14,-1.0,-0.5,206,0.4786848714117149
D0107A,stimulus_ci25,lpfc,RFAM10,RIA15,-1.0,-0.5,206,0.5005271842201937
D0107A,stimulus_ci25,lpfc,RFAM10,RIA16,-1.0,-0.5,206,0.506381840826264
D0107A,stimulus_ci25,lpfc,RFAM10,RIA17,-1.0,-0.5,206,0.5048700505963453
D0107A,stimulus_ci25,lpfc,RFAM10,RIA18,-1.0,-0.5,206,0.5082044511479588
D0107A,stimulus_ci25,lpfc,RFAM11,RFAM12,-1.0,-0.5,206,0.5394780531360657
D0107A,stimulus_ci25,lpfc,RFAM11,RFMM9,-1.0,-0.5,206,0.5051514311936907
D0107A,stimulus_ci25,lpfc,RFAM11,RFMM11,-1.0,-0.5,206,0.47990896716506126
D0107A,stimulus_ci25,lpfc,RFAM11,RFMM12,-1.0,-0.5,206,0.5056701274942956
D0107A,stimulus_ci25,lpfc,RFAM11,RFMM13,-1.0,-0.5,206,0.49283689178884016
D0107A,stimulus_ci25,lpfc,RFAM11,RFMM14,-1.0,-0.5,206,0.5020872255731712
D0107A,stimulus_ci25,lpfc,RFAM11,RFMM15,-1.0,-0.5,206,0.5111207810910602
D0107A,stimulus_ci25,lpfc,RFAM11,RFOA16,-1.0,-0.5,206,0.5054387765930678
D0107A,stimulus_ci25,lpfc,RFAM11,RFOA17,-1.0,-0.5,206,0.5153579208590999
D0107A,stimulus_ci25,lpfc,RFAM11,RFOA18,-1.0,-0.5,206,0.5201400316220749
D0107A,stimulus_ci25,lpfc,RFAM11,RFAI3,-1.0,-0.5,206,0.4109036039552916
D0107A,stimulus_ci25,lpfc,RFAM11,RIA5,-1.0,-0.5,206,0.5226872378281394
D0107A,stimulus_ci25,lpfc,RFAM11,RIA6,-1.0,-0.5,206,0.5193835003487507
D0107A,stimulus_ci25,lpfc,RFAM11,RFAM7,-1.0,-0.5,206,0.5153268417929455
D0107A,stimulus_ci25,lpfc,RFAM11,RFAM9,-1.0,-0.5,206,0.6480829253679973
D0107A,stimulus_ci25,lpfc,RFAM11,RFMM8,-1.0,-0.5,206,0.4642433037155517
D0107A,stimulus_ci25,lpfc,RFAM11,RIA12,-1.0,-0.5,206,0.5072805054921226
D0107A,stimulus_ci25,lpfc,RFAM11,RIA14,-1.0,-0.5,206,0.4832133906656237
D0107A,stimulus_ci25,lpfc,RFAM11,RIA15,-1.0,-0.5,206,0.5273955916959497
D0107A,stimulus_ci25,lpfc,RFAM11,RIA16,-1.0,-0.5,206,0.526302353589632
D0107A,stimulus_ci25,lpfc,RFAM11,RIA17,-1.0,-0.5,206,0.5222491243325356
