subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0107A,stimulus_i75,lpfc,RFAM10,RFAM11,-1.0,-0.5,137,0.7652743469212555
D0107A,stimulus_i75,lpfc,RFAM10,RFAM12,-1.0,-0.5,137,0.48656172406565396
D0107A,stimulus_i75,lpfc,RFAM10,RFMM9,-1.0,-0.5,137,0.5043566812285845
D0107A,stimulus_i75,lpfc,RFAM10,RFMM11,-1.0,-0.5,137,0.47691084193566774
D0107A,stimulus_i75,lpfc,RFAM10,RFMM12,-1.0,-0.5,137,0.47992628595183523
D0107A,stimulus_i75,lpfc,RFAM10,RFMM13,-1.0,-0.5,137,0.46946663247786585
D0107A,stimulus_i75,lpfc,RFAM10,RFMM14,-1.0,-0.5,137,0.46842585626960226
D0107A,stimulus_i75,lpfc,RFAM10,RFMM15,-1.0,-0.5,137,0.468919228900326
D0107A,stimulus_i75,lpfc,RFAM10,RFOA16,-1.0,-0.5,137,0.42943315178945
D0107A,stimulus_i75,lpfc,RFAM10,RFOA17,-1.0,-0.5,137,0.43518070713859214
D0107A,stimulus_i75,lpfc,RFAM10,RFOA18,-1.0,-0.5,137,0.4500339167659982
D0107A,stimulus_i75,lpfc,RFAM10,RFAI3,-1.0,-0.5,137,0.3768448341444882
D0107A,stimulus_i75,lpfc,RFAM10,RIA5,-1.0,-0.5,137,0.4763824196205862
D0107A,stimulus_i75,lpfc,RFAM10,RIA6,-1.0,-0.5,137,0.4804911132972967
D0107A,stimulus_i75,lpfc,RFAM10,RFAM7,-1.0,-0.5,137,0.4956379242320335
D0107A,stimulus_i75,lpfc,RFAM10,RFAM9,-1.0,-0.5,137,0.7602004320647269
D0107A,stimulus_i75,lpfc,RFAM10,RFMM8,-1.0,-0.5,137,0.4505054055287975
D0107A,stimulus_i75,lpfc,RFAM10,RIA12,-1.0,-0.5,137,0.4721613077718975
D0107A,stimulus_i75,lpfc,RFAM10,RIA14,-1.0,-0.5,137,0.4592943813487737
D0107A,stimulus_i75,lpfc,RFAM10,RIA15,-1.0,-0.5,137,0.4690708987117165
D0107A,stimulus_i75,lpfc,RFAM10,RIA16,-1.0,-0.5,137,0.4716036463463688
D0107A,stimulus_i75,lpfc,RFAM10,RIA17,-1.0,-0.5,137,0.4727401018464441
D0107A,stimulus_i75,lpfc,RFAM10,RIA18,-1.0,-0.5,137,0.477367104155024
D0107A,stimulus_i75,lpfc,RFAM11,RFAM12,-1.0,-0.5,137,0.5529663147318187
D0107A,stimulus_i75,lpfc,RFAM11,RFMM9,-1.0,-0.5,137,0.476498283025117
D0107A,stimulus_i75,lpfc,RFAM11,RFMM11,-1.0,-0.5,137,0.4561774798298674
D0107A,stimulus_i75,lpfc,RFAM11,RFMM12,-1.0,-0.5,137,0.49146155951079334
D0107A,stimulus_i75,lpfc,RFAM11,RFMM13,-1.0,-0.5,137,0.4915581386813842
D0107A,stimulus_i75,lpfc,RFAM11,RFMM14,-1.0,-0.5,137,0.49497203571947107
D0107A,stimulus_i75,lpfc,RFAM11,RFMM15,-1.0,-0.5,137,0.4993512384004801
D0107A,stimulus_i75,lpfc,RFAM11,RFOA16,-1.0,-0.5,137,0.48193556404444066
D0107A,stimulus_i75,lpfc,RFAM11,RFOA17,-1.0,-0.5,137,0.487611368327013
D0107A,stimulus_i75,lpfc,RFAM11,RFOA18,-1.0,-0.5,137,0.49404054028399513
D0107A,stimulus_i75,lpfc,RFAM11,RFAI3,-1.0,-0.5,137,0.4008698311815697
D0107A,stimulus_i75,lpfc,RFAM11,RIA5,-1.0,-0.5,137,0.4816694748534145
D0107A,stimulus_i75,lpfc,RFAM11,RIA6,-1.0,-0.5,137,0.475445922514278
D0107A,stimulus_i75,lpfc,RFAM11,RFAM7,-1.0,-0.5,137,0.49682941616983395
D0107A,stimulus_i75,lpfc,RFAM11,RFAM9,-1.0,-0.5,137,0.5913133345613515
D0107A,stimulus_i75,lpfc,RFAM11,RFMM8,-1.0,-0.5,137,0.47805447225143805
D0107A,stimulus_i75,lpfc,RFAM11,RIA12,-1.0,-0.5,137,0.47993485789610957
D0107A,stimulus_i75,lpfc,RFAM11,RIA14,-1.0,-0.5,137,0.4614173071850484
D0107A,stimulus_i75,lpfc,RFAM11,RIA15,-1.0,-0.5,137,0.4646102049930706
D0107A,stimulus_i75,lpfc,RFAM11,RIA16,-1.0,-0.5,137,0.4776887500138185
D0107A,stimulus_i75,lpfc,RFAM11,RIA17,-1.0,-0.5,137,0.48606779159048996
D0107A,stimulus_i75,lpfc,RFAM11,RIA18,-1.0,-0.5,137,0.4975169679564389
D0107A,stimulus_i75,lpfc,RFAM12,RFMM9,-1.0,-0.5,137,0.482658246979328
D0107A,stimulus_i75,lpfc,RFAM12,RFMM11,-1.0,-0.5,137,0.48833029841005593
D0107A,stimulus_i75,lpfc,RFAM12,RFMM12,-1.0,-0.5,137,0.5663324467060971
D0107A,stimulus_i75,lpfc,RFAM12,RFMM13,-1.0,-0.5,137,0.6696442577172784
D0107A,stimulus_i75,lpfc,RFAM12,RFMM14,-1.0,-0.5,137,0.6950656107244831
D0107A,stimulus_i75,lpfc,RFAM12,RFMM15,-1.0,-0.5,137,0.706168676640331
D0107A,stimulus_i75,lpfc,RFAM12,RFOA16,-1.0,-0.5,137,0.5998596363783624
D0107A,stimulus_i75,lpfc,RFAM12,RFOA17,-1.0,-0.5,137,0.6238519206214972
D0107A,stimulus_i75,lpfc,RFAM12,RFOA18,-1.0,-0.5,137,0.6463194415394521
D0107A,stimulus_i75,lpfc,RFAM12,RFAI3,-1.0,-0.5,137,0.43176645507970246
D0107A,stimulus_i75,lpfc,RFAM12,RIA5,-1.0,-0.5,137,0.48491124321424534
D0107A,stimulus_i75,lpfc,RFAM12,RIA6,-1.0,-0.5,137,0.4739650577248428
D0107A,stimulus_i75,lpfc,RFAM12,RFAM7,-1.0,-0.5,137,0.4883824142570874
D0107A,stimulus_i75,lpfc,RFAM12,RFAM9,-1.0,-0.5,137,0.4595075004246587
D0107A,stimulus_i75,lpfc,RFAM12,RFMM8,-1.0,-0.5,137,0.5133967105982239
D0107A,stimulus_i75,lpfc,RFAM12,RIA12,-1.0,-0.5,137,0.517695945210417
D0107A,stimulus_i75,lpfc,RFAM12,RIA14,-1.0,-0.5,137,0.47967947797922694
D0107A,stimulus_i75,lpfc,RFAM12,RIA15,-1.0,-0.5,137,0.5824830707864433
D0107A,stimulus_i75,lpfc,RFAM12,RIA16,-1.0,-0.5,137,0.5900115621261868
D0107A,stimulus_i75,lpfc,RFAM12,RIA17,-1.0,-0.5,137,0.6057525466123047
D0107A,stimulus_i75,lpfc,RFAM12,RIA18,-1.0,-0.5,137,0.6246691092135062
D0107A,stimulus_i75,lpfc,RFMM9,RFMM11,-1.0,-0.5,137,0.7518386392497034
D0107A,stimulus_i75,lpfc,RFMM9,RFMM12,-1.0,-0.5,137,0.5667203621612393
D0107A,stimulus_i75,lpfc,RFMM9,RFMM13,-1.0,-0.5,137,0.481395424867426
D0107A,stimulus_i75,lpfc,RFMM9,RFMM14,-1.0,-0.5,137,0.48707958294124293
D0107A,stimulus_i75,lpfc,RFMM9,RFMM15,-1.0,-0.5,137,0.48704443531256314
D0107A,stimulus_i75,lpfc,RFMM9,RFOA16,-1.0,-0.5,137,0.47850495504110524
D0107A,stimulus_i75,lpfc,RFMM9,RFOA17,-1.0,-0.5,137,0.4754119802057165
D0107A,stimulus_i75,lpfc,RFMM9,RFOA18,-1.0,-0.5,137,0.4681772538131155
D0107A,stimulus_i75,lpfc,RFMM9,RFAI3,-1.0,-0.5,137,0.4042105098691967
D0107A,stimulus_i75,lpfc,RFMM9,RIA5,-1.0,-0.5,137,0.5046303322284754
D0107A,stimulus_i75,lpfc,RFMM9,RIA6,-1.0,-0.5,137,0.4586322372302616
D0107A,stimulus_i75,lpfc,RFMM9,RFAM7,-1.0,-0.5,137,0.4667124402737755
D0107A,stimulus_i75,lpfc,RFMM9,RFAM9,-1.0,-0.5,137,0.4891364724768781
D0107A,stimulus_i75,lpfc,RFMM9,RFMM8,-1.0,-0.5,137,0.44936379651703406
D0107A,stimulus_i75,lpfc,RFMM9,RIA12,-1.0,-0.5,137,0.46192096675086913
D0107A,stimulus_i75,lpfc,RFMM9,RIA14,-1.0,-0.5,137,0.506771541279873
D0107A,stimulus_i75,lpfc,RFMM9,RIA15,-1.0,-0.5,137,0.4644196842915713
D0107A,stimulus_i75,lpfc,RFMM9,RIA16,-1.0,-0.5,137,0.47139677332844304
D0107A,stimulus_i75,lpfc,RFMM9,RIA17,-1.0,-0.5,137,0.4770668477599749
D0107A,stimulus_i75,lpfc,RFMM9,RIA18,-1.0,-0.5,137,0.4786687439732479
D0107A,stimulus_i75,lpfc,RFMM11,RFMM12,-1.0,-0.5,137,0.5991939273862017
D0107A,stimulus_i75,lpfc,RFMM11,RFMM13,-1.0,-0.5,137,0.49215600573759244
D0107A,stimulus_i75,lpfc,RFMM11,RFMM14,-1.0,-0.5,137,0.5048849597788407
D0107A,stimulus_i75,lpfc,RFMM11,RFMM15,-1.0,-0.5,137,0.498336438317106
D0107A,stimulus_i75,lpfc,RFMM11,RFOA16,-1.0,-0.5,137,0.4717883367643413
D0107A,stimulus_i75,lpfc,RFMM11,RFOA17,-1.0,-0.5,137,0.4739488225264631
D0107A,stimulus_i75,lpfc,RFMM11,RFOA18,-1.0,-0.5,137,0.4748504027314579
D0107A,stimulus_i75,lpfc,RFMM11,RFAI3,-1.0,-0.5,137,0.3949512080681598
D0107A,stimulus_i75,lpfc,RFMM11,RIA5,-1.0,-0.5,137,0.48987348168023304
D0107A,stimulus_i75,lpfc,RFMM11,RIA6,-1.0,-0.5,137,0.4535399298107956
D0107A,stimulus_i75,lpfc,RFMM11,RFAM7,-1.0,-0.5,137,0.4683610701967412
D0107A,stimulus_i75,lpfc,RFMM11,RFAM9,-1.0,-0.5,137,0.4716167500091774
D0107A,stimulus_i75,lpfc,RFMM11,RFMM8,-1.0,-0.5,137,0.44859102182727995
D0107A,stimulus_i75,lpfc,RFMM11,RIA12,-1.0,-0.5,137,0.4573412558550675
D0107A,stimulus_i75,lpfc,RFMM11,RIA14,-1.0,-0.5,137,0.5432066032459874
D0107A,stimulus_i75,lpfc,RFMM11,RIA15,-1.0,-0.5,137,0.476900950388877
D0107A,stimulus_i75,lpfc,RFMM11,RIA16,-1.0,-0.5,137,0.48946801262221346
D0107A,stimulus_i75,lpfc,RFMM11,RIA17,-1.0,-0.5,137,0.49455610363738645
D0107A,stimulus_i75,lpfc,RFMM11,RIA18,-1.0,-0.5,137,0.5007936930474802
D0107A,stimulus_i75,lpfc,RFMM12,RFMM13,-1.0,-0.5,137,0.5680181522368848
D0107A,stimulus_i75,lpfc,RFMM12,RFMM14,-1.0,-0.5,137,0.5699022759175023
D0107A,stimulus_i75,lpfc,RFMM12,RFMM15,-1.0,-0.5,137,0.5719765418575529
D0107A,stimulus_i75,lpfc,RFMM12,RFOA16,-1.0,-0.5,137,0.5049152608042937
D0107A,stimulus_i75,lpfc,RFMM12,RFOA17,-1.0,-0.5,137,0.5213668640582563
D0107A,stimulus_i75,lpfc,RFMM12,RFOA18,-1.0,-0.5,137,0.5332712256604918
