subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LASF10-LASF11,-1.0,-0.5,111,0.2923338810049995
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LOF11-LOF13,-1.0,-0.5,111,0.09833475812869008
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LOF13-LOF15,-1.0,-0.5,111,0.058725313240434306
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LINS3-LINS4,-1.0,-0.5,111,0.1983075877871136
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LINS4-LINS5,-1.0,-0.5,111,0.18414243080689743
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LINS5-LINS6,-1.0,-0.5,111,0.08895190047583369
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LOF11-LOF13,-1.0,-0.5,111,0.06963575460050371
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LOF13-LOF15,-1.0,-0.5,111,0.07397313483955559
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LINS3-LINS4,-1.0,-0.5,111,0.09115075000359138
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LINS4-LINS5,-1.0,-0.5,111,0.08611126591253944
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LINS5-LINS6,-1.0,-0.5,111,0.22618860963992998
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LOF13-LOF15,-1.0,-0.5,111,0.5015820261224444
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LINS3-LINS4,-1.0,-0.5,111,0.1321065777031505
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LINS4-LINS5,-1.0,-0.5,111,0.09937786376438691
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LINS5-LINS6,-1.0,-0.5,111,0.1190574093979437
D0110,stimulus_blockA,lpfc,LOF13-LOF15,LINS3-LINS4,-1.0,-0.5,111,0.11682565908010821
D0110,stimulus_blockA,lpfc,LOF13-LOF15,LINS4-LINS5,-1.0,-0.5,111,0.10011008517747029
D0110,stimulus_blockA,lpfc,LOF13-LOF15,LINS5-LINS6,-1.0,-0.5,111,0.07261561211673151
D0110,stimulus_blockA,lpfc,LINS3-LINS4,LINS4-LINS5,-1.0,-0.5,111,0.21053982080360395
D0110,stimulus_blockA,lpfc,LINS3-LINS4,LINS5-LINS6,-1.0,-0.5,111,0.1018155029298815
D0110,stimulus_blockA,lpfc,LINS4-LINS5,LINS5-LINS6,-1.0,-0.5,111,0.3627135068244565
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LASF10-LASF11,-0.5,0.0,111,0.30630303022066613
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LOF11-LOF13,-0.5,0.0,111,0.09378756045129606
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LOF13-LOF15,-0.5,0.0,111,0.08416633944770176
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LINS3-LINS4,-0.5,0.0,111,0.18696181051019742
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LINS4-LINS5,-0.5,0.0,111,0.18699756720048571
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LINS5-LINS6,-0.5,0.0,111,0.06899698199739306
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LOF11-LOF13,-0.5,0.0,111,0.10001986547463802
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LOF13-LOF15,-0.5,0.0,111,0.09077622598601504
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LINS3-LINS4,-0.5,0.0,111,0.10713898136754603
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LINS4-LINS5,-0.5,0.0,111,0.10460177613361717
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LINS5-LINS6,-0.5,0.0,111,0.1455689489296204
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LOF13-LOF15,-0.5,0.0,111,0.5349956776542543
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LINS3-LINS4,-0.5,0.0,111,0.19376792203372106
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LINS4-LINS5,-0.5,0.0,111,0.14451776863364693
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LINS5-LINS6,-0.5,0.0,111,0.07979698976418784
D0110,stimulus_blockA,lpfc,LOF13-LOF15,LINS3-LINS4,-0.5,0.0,111,0.18628341711254348
D0110,stimulus_blockA,lpfc,LOF13-LOF15,LINS4-LINS5,-0.5,0.0,111,0.12379417208755489
D0110,stimulus_blockA,lpfc,LOF13-LOF15,LINS5-LINS6,-0.5,0.0,111,0.09598673724382661
D0110,stimulus_blockA,lpfc,LINS3-LINS4,LINS4-LINS5,-0.5,0.0,111,0.20031429558063035
D0110,stimulus_blockA,lpfc,LINS3-LINS4,LINS5-LINS6,-0.5,0.0,111,0.11250100457565036
D0110,stimulus_blockA,lpfc,LINS4-LINS5,LINS5-LINS6,-0.5,0.0,111,0.38225402225807925
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LASF10-LASF11,0.0,0.5,111,0.3306626032713853
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LOF11-LOF13,0.0,0.5,111,0.09858824703337712
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LOF13-LOF15,0.0,0.5,111,0.07580141458191592
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LINS3-LINS4,0.0,0.5,111,0.18023053272903902
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LINS4-LINS5,0.0,0.5,111,0.23677346376862013
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LINS5-LINS6,0.0,0.5,111,0.06496191410596547
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LOF11-LOF13,0.0,0.5,111,0.09280523640432105
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LOF13-LOF15,0.0,0.5,111,0.0987437123995074
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LINS3-LINS4,0.0,0.5,111,0.12368875806935999
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LINS4-LINS5,0.0,0.5,111,0.1502146650002091
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LINS5-LINS6,0.0,0.5,111,0.16636186284837018
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LOF13-LOF15,0.0,0.5,111,0.5627589982028028
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LINS3-LINS4,0.0,0.5,111,0.2363501935484601
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LINS4-LINS5,0.0,0.5,111,0.0974474507403876
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LINS5-LINS6,0.0,0.5,111,0.1285702575769258
D0110,stimulus_blockA,lpfc,LOF13-LOF15,LINS3-LINS4,0.0,0.5,111,0.20632645933522764
D0110,stimulus_blockA,lpfc,LOF13-LOF15,LINS4-LINS5,0.0,0.5,111,0.0842741670571617
D0110,stimulus_blockA,lpfc,LOF13-LOF15,LINS5-LINS6,0.0,0.5,111,0.13374167187100686
D0110,stimulus_blockA,lpfc,LINS3-LINS4,LINS4-LINS5,0.0,0.5,111,0.18266283290518615
D0110,stimulus_blockA,lpfc,LINS3-LINS4,LINS5-LINS6,0.0,0.5,111,0.0972732727111866
D0110,stimulus_blockA,lpfc,LINS4-LINS5,LINS5-LINS6,0.0,0.5,111,0.3428068201444039
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LASF10-LASF11,0.5,1.0,111,0.2890159763536333
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LOF11-LOF13,0.5,1.0,111,0.044433882289135945
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LOF13-LOF15,0.5,1.0,111,0.0732639447320871
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LINS3-LINS4,0.5,1.0,111,0.18079815118777723
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LINS4-LINS5,0.5,1.0,111,0.20165718188586376
D0110,stimulus_blockA,lpfc,LASF9-LASF10,LINS5-LINS6,0.5,1.0,111,0.06888978764055578
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LOF11-LOF13,0.5,1.0,111,0.08839189699858896
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LOF13-LOF15,0.5,1.0,111,0.11211441301754334
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LINS3-LINS4,0.5,1.0,111,0.09508939799140378
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LINS4-LINS5,0.5,1.0,111,0.103201681182356
D0110,stimulus_blockA,lpfc,LASF10-LASF11,LINS5-LINS6,0.5,1.0,111,0.16676083083386992
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LOF13-LOF15,0.5,1.0,111,0.526276884819579
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LINS3-LINS4,0.5,1.0,111,0.2054604174979837
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LINS4-LINS5,0.5,1.0,111,0.11427560935870344
D0110,stimulus_blockA,lpfc,LOF11-LOF13,LINS5-LINS6,0.5,1.0,111,0.1211667526335205
D0110,stimulus_blockA,lpfc,LOF13-LOF15,LINS3-LINS4,0.5,1.0,111,0.14242208124718148
D0110,stimulus_blockA,lpfc,LOF13-LOF15,LINS4-LINS5,0.5,1.0,111,0.09546151117888423
D0110,stimulus_blockA,lpfc,LOF13-LOF15,LINS5-LINS6,0.5,1.0,111,0.08309932028214066
