subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LFOA14-LFOA17,-1.0,-0.5,111,0.1456323067643222
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LFOA17-LFOA18,-1.0,-0.5,111,0.1846913600569632
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LFOP14-LFOP15,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LFAM9-LFAM10,-1.0,-0.5,111,0.1245057752633921
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LFAM10-LFAM11,-1.0,-0.5,111,0.10624764333286706
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LFAM11-LFAM12,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LFMM13-LFMM14,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LAI6-LAI7,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LAI7-LAI8,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LAI8-LAI9,-1.0,-0.5,111,0.1055162135032273
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LAI9-LAI12,-1.0,-0.5,111,0.12066403350137829
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LAI12-LAI13,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LAI15-LAI16,-1.0,-0.5,111,0.09559585558920158
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LFMI2-LFMI3,-1.0,-0.5,111,0.08761392268036626
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LFMI3-LFMI4,-1.0,-0.5,111,0.08094298610836838
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LFMI4-LFMI5,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LFMI5-LFMI6,-1.0,-0.5,111,0.09357141927058174
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,LFMI6-LFMI7,-1.0,-0.5,111,0.05090265908515729
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RFOA11-RFOA14,-1.0,-0.5,111,0.12317787121412344
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RFOA14-RFOA15,-1.0,-0.5,111,0.14627444046393584
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RFOA15-RFOA16,-1.0,-0.5,111,0.13009416856474418
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RFOP14-RFOP15,-1.0,-0.5,111,0.09000338947531189
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RFMM9-RFMM10,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RFMM10-RFMM11,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RFMM11-RFMM12,-1.0,-0.5,111,0.07715478796327818
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RFMM12-RFMM13,-1.0,-0.5,111,0.1411291885094268
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RAI6-RAI7,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RAI7-RAI8,-1.0,-0.5,111,0.10790100511948425
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RAI8-RAI11,-1.0,-0.5,111,0.11460804155467474
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RAI11-RAI12,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RAI12-RAI14,-1.0,-0.5,111,0.1515800269343843
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RAI14-RAI15,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RAI15-RAI16,-1.0,-0.5,111,0.1922225257760221
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RAI16-RAI17,-1.0,-0.5,111,0.1932251084900318
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RFMI3-RFMI4,-1.0,-0.5,111,0.0715206358143396
D0116,stimulus_blockB,lpfc,LFOA13-LFOA14,RFMI4-RFMI5,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA14-LFOA17,LFOA17-LFOA18,-1.0,-0.5,111,0.23692402084408504
D0116,stimulus_blockB,lpfc,LFOA14-LFOA17,LFOP14-LFOP15,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA14-LFOA17,LFAM9-LFAM10,-1.0,-0.5,111,0.12711281111720885
D0116,stimulus_blockB,lpfc,LFOA14-LFOA17,LFAM10-LFAM11,-1.0,-0.5,111,0.1797055616137448
D0116,stimulus_blockB,lpfc,LFOA14-LFOA17,LFAM11-LFAM12,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA14-LFOA17,LFMM13-LFMM14,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA14-LFOA17,LAI6-LAI7,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA14-LFOA17,LAI7-LAI8,-1.0,-0.5,111,
D0116,stimulus_blockB,lpfc,LFOA14-LFOA17,LAI8-LAI9,-1.0,-0.5,111,0.11226710640516745
