subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0116,stimulus_ci75,lpfc,LFMI3,LFMI5,-1.0,-0.5,203,0.5537972635368597
D0116,stimulus_ci75,lpfc,LFMI3,LFMI6,-1.0,-0.5,203,0.5410503569986155
D0116,stimulus_ci75,lpfc,LFMI3,RFMI4,-1.0,-0.5,203,0.38867019073095355
D0116,stimulus_ci75,lpfc,LFMI3,LFOP15,-1.0,-0.5,203,0.3978849647153488
D0116,stimulus_ci75,lpfc,LFMI3,RFOP15,-1.0,-0.5,203,0.3962779118785409
D0116,stimulus_ci75,lpfc,LFMI3,LFAM10,-1.0,-0.5,203,0.3869239892078639
D0116,stimulus_ci75,lpfc,LFMI3,LFAM11,-1.0,-0.5,203,0.3780849506017066
D0116,stimulus_ci75,lpfc,LFMI3,LFMM14,-1.0,-0.5,203,0.3787805997542802
D0116,stimulus_ci75,lpfc,LFMI3,LAI12,-1.0,-0.5,203,0.37079311954894983
D0116,stimulus_ci75,lpfc,LFMI3,LAI16,-1.0,-0.5,203,0.3774978688370247
D0116,stimulus_ci75,lpfc,LFMI3,LFOA14,-1.0,-0.5,203,0.3910304375944346
D0116,stimulus_ci75,lpfc,LFMI3,LFOA17,-1.0,-0.5,203,0.37187857906696786
D0116,stimulus_ci75,lpfc,LFMI3,LFOA18,-1.0,-0.5,203,0.3749085466352212
D0116,stimulus_ci75,lpfc,LFMI3,RFOA14,-1.0,-0.5,203,0.39481901773545225
D0116,stimulus_ci75,lpfc,LFMI3,RFOA15,-1.0,-0.5,203,0.3723813172008179
D0116,stimulus_ci75,lpfc,LFMI3,RFOA16,-1.0,-0.5,203,0.363342754708169
D0116,stimulus_ci75,lpfc,LFMI3,LAI7,-1.0,-0.5,203,0.3693245112981236
D0116,stimulus_ci75,lpfc,LFMI3,LAI8,-1.0,-0.5,203,0.39297084933435733
D0116,stimulus_ci75,lpfc,LFMI3,RAI7,-1.0,-0.5,203,0.3570720473249227
D0116,stimulus_ci75,lpfc,LFMI3,LFAM12,-1.0,-0.5,203,0.3690972361342403
D0116,stimulus_ci75,lpfc,LFMI3,RFMM10,-1.0,-0.5,203,0.36879558223875325
D0116,stimulus_ci75,lpfc,LFMI3,RFMM11,-1.0,-0.5,203,0.38038791127834426
D0116,stimulus_ci75,lpfc,LFMI3,RFMM12,-1.0,-0.5,203,0.35849578855860953
