subject,condition,part,ch1,ch2,window_start,window_end,n_epochs_in_window,coh_mean
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RLOF8-RLOF10,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RLOF10-RLOF11,-1.0,-0.5,111,0.23364471406531248
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RLOF11-RLOF12,-1.0,-0.5,111,0.2954833996113056
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RLOF15-RLOF16,-1.0,-0.5,111,0.25260084081108297
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA2-RINSA3,-1.0,-0.5,111,0.1761905694105541
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA3-RINSA4,-1.0,-0.5,111,0.23282732962894534
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA10-RINSA11,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA11-RINSA12,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA12-RINSA13,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA13-RINSA14,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA14-RINSA15,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA15-RINSA16,-1.0,-0.5,111,0.09445949691396693
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RLOF10-RLOF11,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RLOF11-RLOF12,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RLOF15-RLOF16,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA2-RINSA3,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA3-RINSA4,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA10-RINSA11,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA11-RINSA12,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA12-RINSA13,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA13-RINSA14,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA14-RINSA15,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA15-RINSA16,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RLOF11-RLOF12,-1.0,-0.5,111,0.4002668896001771
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RLOF15-RLOF16,-1.0,-0.5,111,0.18888548210019468
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA2-RINSA3,-1.0,-0.5,111,0.1828408056950329
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA3-RINSA4,-1.0,-0.5,111,0.10692386178226537
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA10-RINSA11,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA11-RINSA12,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA12-RINSA13,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA13-RINSA14,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA14-RINSA15,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA15-RINSA16,-1.0,-0.5,111,0.12180913065113538
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RLOF15-RLOF16,-1.0,-0.5,111,0.1966613065224058
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RINSA2-RINSA3,-1.0,-0.5,111,0.09108872590946192
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RINSA3-RINSA4,-1.0,-0.5,111,0.0971385192792102
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RINSA10-RINSA11,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RINSA11-RINSA12,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RINSA12-RINSA13,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RINSA13-RINSA14,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RINSA14-RINSA15,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RINSA15-RINSA16,-1.0,-0.5,111,0.05025095198680244
D0117,stimulus_blockC,lpfc,RLOF15-RLOF16,RINSA2-RINSA3,-1.0,-0.5,111,0.08441475271302927
D0117,stimulus_blockC,lpfc,RLOF15-RLOF16,RINSA3-RINSA4,-1.0,-0.5,111,0.11910052920521562
D0117,stimulus_blockC,lpfc,RLOF15-RLOF16,RINSA10-RINSA11,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF15-RLOF16,RINSA11-RINSA12,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF15-RLOF16,RINSA12-RINSA13,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF15-RLOF16,RINSA13-RINSA14,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF15-RLOF16,RINSA14-RINSA15,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RLOF15-RLOF16,RINSA15-RINSA16,-1.0,-0.5,111,0.0609085628980351
D0117,stimulus_blockC,lpfc,RINSA2-RINSA3,RINSA3-RINSA4,-1.0,-0.5,111,0.224287434791963
D0117,stimulus_blockC,lpfc,RINSA2-RINSA3,RINSA10-RINSA11,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA2-RINSA3,RINSA11-RINSA12,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA2-RINSA3,RINSA12-RINSA13,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA2-RINSA3,RINSA13-RINSA14,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA2-RINSA3,RINSA14-RINSA15,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA2-RINSA3,RINSA15-RINSA16,-1.0,-0.5,111,0.13524893380043335
D0117,stimulus_blockC,lpfc,RINSA3-RINSA4,RINSA10-RINSA11,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA3-RINSA4,RINSA11-RINSA12,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA3-RINSA4,RINSA12-RINSA13,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA3-RINSA4,RINSA13-RINSA14,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA3-RINSA4,RINSA14-RINSA15,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA3-RINSA4,RINSA15-RINSA16,-1.0,-0.5,111,0.06216555759677366
D0117,stimulus_blockC,lpfc,RINSA10-RINSA11,RINSA11-RINSA12,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA10-RINSA11,RINSA12-RINSA13,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA10-RINSA11,RINSA13-RINSA14,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA10-RINSA11,RINSA14-RINSA15,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA10-RINSA11,RINSA15-RINSA16,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA11-RINSA12,RINSA12-RINSA13,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA11-RINSA12,RINSA13-RINSA14,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA11-RINSA12,RINSA14-RINSA15,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA11-RINSA12,RINSA15-RINSA16,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA12-RINSA13,RINSA13-RINSA14,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA12-RINSA13,RINSA14-RINSA15,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA12-RINSA13,RINSA15-RINSA16,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA13-RINSA14,RINSA14-RINSA15,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA13-RINSA14,RINSA15-RINSA16,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RINSA14-RINSA15,RINSA15-RINSA16,-1.0,-0.5,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RLOF8-RLOF10,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RLOF10-RLOF11,-0.5,0.0,111,0.3330036130077254
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RLOF11-RLOF12,-0.5,0.0,111,0.39001051381405416
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RLOF15-RLOF16,-0.5,0.0,111,0.2513985020223895
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA2-RINSA3,-0.5,0.0,111,0.14895232973180905
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA3-RINSA4,-0.5,0.0,111,0.24251472787756762
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA10-RINSA11,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA11-RINSA12,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA12-RINSA13,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA13-RINSA14,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA14-RINSA15,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RMOF13-RMOF15,RINSA15-RINSA16,-0.5,0.0,111,0.1243663452037912
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RLOF10-RLOF11,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RLOF11-RLOF12,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RLOF15-RLOF16,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA2-RINSA3,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA3-RINSA4,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA10-RINSA11,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA11-RINSA12,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA12-RINSA13,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA13-RINSA14,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA14-RINSA15,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF8-RLOF10,RINSA15-RINSA16,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RLOF11-RLOF12,-0.5,0.0,111,0.4095820884383119
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RLOF15-RLOF16,-0.5,0.0,111,0.21861134133252988
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA2-RINSA3,-0.5,0.0,111,0.13821448719388119
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA3-RINSA4,-0.5,0.0,111,0.15616623038641447
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA10-RINSA11,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA11-RINSA12,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA12-RINSA13,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA13-RINSA14,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA14-RINSA15,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF10-RLOF11,RINSA15-RINSA16,-0.5,0.0,111,0.09722431816646719
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RLOF15-RLOF16,-0.5,0.0,111,0.24430837206515005
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RINSA2-RINSA3,-0.5,0.0,111,0.1508401287606337
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RINSA3-RINSA4,-0.5,0.0,111,0.13988043558531393
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RINSA10-RINSA11,-0.5,0.0,111,
D0117,stimulus_blockC,lpfc,RLOF11-RLOF12,RINSA11-RINSA12,-0.5,0.0,111,
