subject,part,condition,window_start,window_end,ch1,ch2,n_epochs,sig_freqs
D0107A,lpfc,stimulus_blockA,-1.0,-0.5,RFOA15-RFOA16,RFAI2-RFAI3,112,"3.00,3.21,3.42,3.62,3.83"
D0107A,lpfc,stimulus_blockA,-1.0,-0.5,RFOA15-RFOA16,RFAM6-RFAM7,112,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50"
D0107A,lpfc,stimulus_blockA,-1.0,-0.5,RFOA15-RFOA16,RFAM8-RFAM9,112,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08"
D0107A,lpfc,stimulus_blockA,-1.0,-0.5,RFOA15-RFOA16,RFAM10-RFAM11,112,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79"
D0107A,lpfc,stimulus_blockA,-1.0,-0.5,RFOA15-RFOA16,RIA5-RIA6,112,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54"
D0107A,lpfc,stimulus_blockA,-1.0,-0.5,RFOA15-RFOA16,RIA6-RIA7,112,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12"
D0107A,lpfc,stimulus_blockA,-1.0,-0.5,RFOA15-RFOA16,RIA15-RIA16,112,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58"
D0107A,lpfc,stimulus_blockA,-1.0,-0.5,RFAI2-RFAI3,RFAM8-RFAM9,112,"4.25,4.46,4.67"
D0107A,lpfc,stimulus_blockA,-1.0,-0.5,RFAI2-RFAI3,RIA4-RIA5,112,"3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_blockA,-1.0,-0.5,RFAI2-RFAI3,RIA5-RIA6,112,"7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_blockA,-1.0,-0.5,RFAI2-RFAI3,RIA6-RIA7,112,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
