subject,part,condition,window_start,window_end,ch1,ch2,n_epochs,sig_freqs
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA15-RFOA16,RFOA17-RFOA18,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA15-RFOA16,RFAM6-RFAM7,111,"3.00,3.21,3.42,3.62"
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA15-RFOA16,RFAM7-RFAM8,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50"
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA15-RFOA16,RFAM8-RFAM9,111,7.58
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA15-RFOA16,RFAM10-RFAM11,111,"3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71"
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA15-RFOA16,RFMM14-RFMM15,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA15-RFOA16,RIA5-RIA6,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.50,5.71,5.92,6.12,6.33"
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA15-RFOA16,RIA6-RIA7,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88"
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA15-RFOA16,RIA15-RIA16,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA15-RFOA16,RIA16-RIA17,111,"3.83,4.04,5.29,5.50,5.71"
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA15-RFOA16,RIA17-RIA18,111,"3.00,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA17-RFOA18,RFAI2-RFAI3,111,3.00
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA17-RFOA18,RFAM6-RFAM7,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25"
D0107A,lpfc,stimulus_blockC,-1.0,-0.5,RFOA17-RFOA18,RFAM7-RFAM8,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71"
