subject,part,condition,window_start,window_end,ch1,ch2,n_epochs,sig_freqs
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFOA15-RFOA16,RFAM8-RFAM9,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFOA15-RFOA16,RFAM9-RFAM10,111,"3.00,3.21,3.42,3.62"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFOA15-RFOA16,RFAM10-RFAM11,111,"4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFOA15-RFOA16,RFMM14-RFMM15,111,"3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.75,6.96"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFOA15-RFOA16,RIA4-RIA5,111,"4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFOA15-RFOA16,RIA5-RIA6,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFOA15-RFOA16,RIA15-RIA16,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFOA15-RFOA16,RIA16-RIA17,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFOA15-RFOA16,RIA17-RIA18,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAI2-RFAI3,RFAI3-RFAI4,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAI2-RFAI3,RFAM8-RFAM9,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,7.79,8.00"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAI2-RFAI3,RFAM9-RFAM10,111,"3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAI2-RFAI3,RIA4-RIA5,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAI2-RFAI3,RIA5-RIA6,111,"3.00,3.21,3.42,3.83,4.04,4.25,4.46,4.67,4.88,5.08,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAI2-RFAI3,RIA16-RIA17,111,"3.00,3.21,3.42,3.62,3.83"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAI3-RFAI4,RFAM8-RFAM9,111,"3.00,3.21,3.42,3.62,3.83,5.50,5.71,5.92,6.12,6.33,6.54"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAI3-RFAI4,RIA4-RIA5,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAI3-RFAI4,RIA5-RIA6,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAI3-RFAI4,RIA16-RIA17,111,5.92
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAI3-RFAI4,RIA17-RIA18,111,"3.00,3.21,6.33,6.54,6.75"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAM8-RFAM9,RFAM9-RFAM10,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,8.00"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAM8-RFAM9,RFAM10-RFAM11,111,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_blockD,-0.5,0.0,RFAM8-RFAM9,RIA4-RIA5,111,"4.67,4.88,5.08,5.29,7.17,7.38,7.58,7.79,8.00"
