subject,part,condition,window_start,window_end,ch1,ch2,n_epochs,sig_freqs
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFOA15-RFOA16,RFAM9-RFAM10,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFOA15-RFOA16,RFAM10-RFAM11,213,"3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFOA15-RFOA16,RIA4-RIA5,213,"3.00,3.21,3.42,3.62"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFOA15-RFOA16,RIA5-RIA6,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFOA15-RFOA16,RIA6-RIA7,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFOA15-RFOA16,RIA15-RIA16,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFOA15-RFOA16,RIA16-RIA17,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFOA15-RFOA16,RIA17-RIA18,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM8-RFAM9,RFAM9-RFAM10,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM8-RFAM9,RFAM10-RFAM11,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM8-RFAM9,RIA4-RIA5,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM8-RFAM9,RIA5-RIA6,213,"3.00,3.21,3.42,3.62,3.83,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM8-RFAM9,RIA6-RIA7,213,"3.00,3.21,3.42,3.62"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM8-RFAM9,RIA15-RIA16,213,"3.00,3.21,4.67,4.88,5.08,5.29,5.50,5.71,5.92"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM8-RFAM9,RIA16-RIA17,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM8-RFAM9,RIA17-RIA18,213,"4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM9-RFAM10,RFAM10-RFAM11,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM9-RFAM10,RIA4-RIA5,213,"5.08,5.29,5.50,5.71,5.92,6.12,6.33"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM9-RFAM10,RIA5-RIA6,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM9-RFAM10,RIA6-RIA7,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM9-RFAM10,RIA15-RIA16,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM9-RFAM10,RIA16-RIA17,213,"3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM9-RFAM10,RIA17-RIA18,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12,6.33"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM10-RFAM11,RIA6-RIA7,213,"3.00,3.21,3.42,3.62,3.83"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM10-RFAM11,RIA15-RIA16,213,"3.00,5.50,5.71,5.92,6.12,6.33,6.54,6.75,6.96,7.17,7.38,7.58,7.79,8.00"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM10-RFAM11,RIA16-RIA17,213,"3.00,3.21,3.42,3.62,3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50,5.71,5.92,6.12"
D0107A,lpfc,stimulus_c,-1.0,-0.5,RFAM10-RFAM11,RIA17-RIA18,213,"3.83,4.04,4.25,4.46,4.67,4.88,5.08,5.29,5.50"
