subject,event,ch1,ch2,coh_mean
D0057,Stimulus,RAI15,RAI16,0.7920953152353211
D0057,Stimulus,RAI15,RPI15,0.2292446707262322
D0057,Stimulus,RAI15,RPI14,0.23232060466422788
D0057,Stimulus,RAI15,RAMF10,0.36539520061283376
D0057,Stimulus,RAI15,RAMF11,0.3708339121399248
D0057,Stimulus,RAI15,RAMF12,0.3406749945305592
D0057,Stimulus,RAI15,RAMF13,0.2547660099828921
D0057,Stimulus,RAI15,RAMF14,0.23258239419335958
D0057,Stimulus,RAI16,RPI15,0.26424171160654636
D0057,Stimulus,RAI16,RPI14,0.2197856570971804
D0057,Stimulus,RAI16,RAMF10,0.3524645593265786
D0057,Stimulus,RAI16,RAMF11,0.36337989774902446
D0057,Stimulus,RAI16,RAMF12,0.3546969075942835
D0057,Stimulus,RAI16,RAMF13,0.27675195243041
D0057,Stimulus,RAI16,RAMF14,0.24443202618827392
D0057,Stimulus,RPI15,RPI14,0.25915920802486736
D0057,Stimulus,RPI15,RAMF10,0.24004231397055165
D0057,Stimulus,RPI15,RAMF11,0.22691712209959922
D0057,Stimulus,RPI15,RAMF12,0.2659548629681247
D0057,Stimulus,RPI15,RAMF13,0.37470286127948105
D0057,Stimulus,RPI15,RAMF14,0.4559328160471997
D0057,Stimulus,RPI14,RAMF10,0.2276885886286435
D0057,Stimulus,RPI14,RAMF11,0.21846534520012806
D0057,Stimulus,RPI14,RAMF12,0.21813451191239833
D0057,Stimulus,RPI14,RAMF13,0.21949339358752826
D0057,Stimulus,RPI14,RAMF14,0.22293024167550013
D0057,Stimulus,RAMF10,RAMF11,0.7593131916271875
D0057,Stimulus,RAMF10,RAMF12,0.6586183497807125
D0057,Stimulus,RAMF10,RAMF13,0.4556330911707978
D0057,Stimulus,RAMF10,RAMF14,0.29994397133648404
D0057,Stimulus,RAMF11,RAMF12,0.7653556546340708
D0057,Stimulus,RAMF11,RAMF13,0.4501213179122046
D0057,Stimulus,RAMF11,RAMF14,0.2827220642927951
D0057,Stimulus,RAMF12,RAMF13,0.693993204511705
D0057,Stimulus,RAMF12,RAMF14,0.4365941577792669
D0057,Stimulus,RAMF13,RAMF14,0.7584539589453287
