subject,event,ch1,ch2,coh_mean
D0063,Response,RAI10,RAI11,0.3576488660149103
D0063,Response,RAI10,RASF15,0.286146317299334
D0063,Response,RAI10,RASF16,0.2604425360043663
D0063,Response,RAI10,RMSF8,0.3001103273727856
D0063,Response,RAI10,RMSF9,0.277948849567271
D0063,Response,RAI10,RMSF10,0.3159408529975996
D0063,Response,RAI10,RMSF11,0.26064812794122116
D0063,Response,RAI10,RMSF12,0.258742679120373
D0063,Response,RAI10,RMSF7,0.2748274262125139
D0063,Response,RAI10,RAMF8,0.23685460543196574
D0063,Response,RAI10,RAMF9,0.2363538745954474
D0063,Response,RAI10,RAMF10,0.22152950092399848
D0063,Response,RAI10,RMMF9,0.3282182391464341
D0063,Response,RAI10,RMMF10,0.3267854257501216
D0063,Response,RAI11,RASF15,0.23904974017257427
D0063,Response,RAI11,RASF16,0.25725652925200465
D0063,Response,RAI11,RMSF8,0.23921732482894506
D0063,Response,RAI11,RMSF9,0.2565837149229395
D0063,Response,RAI11,RMSF10,0.2550848144234266
D0063,Response,RAI11,RMSF11,0.261428160812531
D0063,Response,RAI11,RMSF12,0.2614618502394402
D0063,Response,RAI11,RMSF7,0.28933356323998405
D0063,Response,RAI11,RAMF8,0.23005012435953934
D0063,Response,RAI11,RAMF9,0.2339412016341632
D0063,Response,RAI11,RAMF10,0.2470154887721248
D0063,Response,RAI11,RMMF9,0.292082020835999
D0063,Response,RAI11,RMMF10,0.2885022135498084
D0063,Response,RASF15,RASF16,0.5026258313978567
D0063,Response,RASF15,RMSF8,0.26311260652994467
D0063,Response,RASF15,RMSF9,0.24348872676039382
D0063,Response,RASF15,RMSF10,0.2737647866690617
D0063,Response,RASF15,RMSF11,0.2885426875326407
D0063,Response,RASF15,RMSF12,0.2900328213195263
D0063,Response,RASF15,RMSF7,0.25521687198361964
D0063,Response,RASF15,RAMF8,0.2525883529716416
D0063,Response,RASF15,RAMF9,0.2546227261618059
D0063,Response,RASF15,RAMF10,0.27670191020706025
D0063,Response,RASF15,RMMF9,0.2562541641452734
D0063,Response,RASF15,RMMF10,0.24595073687739116
D0063,Response,RASF16,RMSF8,0.2545600930363712
D0063,Response,RASF16,RMSF9,0.2665360227569343
D0063,Response,RASF16,RMSF10,0.2777694046726035
D0063,Response,RASF16,RMSF11,0.5819705994820523
D0063,Response,RASF16,RMSF12,0.5900060470423806
D0063,Response,RASF16,RMSF7,0.2993710804425351
D0063,Response,RASF16,RAMF8,0.24611133450200143
D0063,Response,RASF16,RAMF9,0.2799853253384183
D0063,Response,RASF16,RAMF10,0.3954831656485164
D0063,Response,RASF16,RMMF9,0.24777839877153734
D0063,Response,RASF16,RMMF10,0.2499555729041231
D0063,Response,RMSF8,RMSF9,0.7725744471472723
D0063,Response,RMSF8,RMSF10,0.6674952450221814
D0063,Response,RMSF8,RMSF11,0.2644772365887323
D0063,Response,RMSF8,RMSF12,0.26211997466672693
D0063,Response,RMSF8,RMSF7,0.6034904455370714
D0063,Response,RMSF8,RAMF8,0.24697495263622515
D0063,Response,RMSF8,RAMF9,0.23634883529432002
D0063,Response,RMSF8,RAMF10,0.2374498780859906
D0063,Response,RMSF8,RMMF9,0.3039447237660491
D0063,Response,RMSF8,RMMF10,0.27903275470535566
D0063,Response,RMSF9,RMSF10,0.8189003745916072
D0063,Response,RMSF9,RMSF11,0.31261737973677267
D0063,Response,RMSF9,RMSF12,0.32123822034885174
D0063,Response,RMSF9,RMSF7,0.6090563068847175
D0063,Response,RMSF9,RAMF8,0.25062409536129865
D0063,Response,RMSF9,RAMF9,0.24101802969162894
D0063,Response,RMSF9,RAMF10,0.2619156307597944
D0063,Response,RMSF9,RMMF9,0.27550158460859725
D0063,Response,RMSF9,RMMF10,0.26105698140609757
D0063,Response,RMSF10,RMSF11,0.3217385334337362
D0063,Response,RMSF10,RMSF12,0.3177199699849387
D0063,Response,RMSF10,RMSF7,0.46165022889158036
D0063,Response,RMSF10,RAMF8,0.25078551514876646
D0063,Response,RMSF10,RAMF9,0.24535241166203664
D0063,Response,RMSF10,RAMF10,0.2539108759975571
D0063,Response,RMSF10,RMMF9,0.2644337468863436
D0063,Response,RMSF10,RMMF10,0.25238410500488756
D0063,Response,RMSF11,RMSF12,0.9984857968293912
D0063,Response,RMSF11,RMSF7,0.40767170641255496
D0063,Response,RMSF11,RAMF8,0.2373425074869522
D0063,Response,RMSF11,RAMF9,0.27719437097007327
D0063,Response,RMSF11,RAMF10,0.408487072320294
D0063,Response,RMSF11,RMMF9,0.24019528490916747
D0063,Response,RMSF11,RMMF10,0.2378980300038792
D0063,Response,RMSF12,RMSF7,0.41757791509332653
D0063,Response,RMSF12,RAMF8,0.23714267478357884
D0063,Response,RMSF12,RAMF9,0.2772681679615269
D0063,Response,RMSF12,RAMF10,0.4109283198151732
D0063,Response,RMSF12,RMMF9,0.2404016465856159
D0063,Response,RMSF12,RMMF10,0.2385063708694546
D0063,Response,RMSF7,RAMF8,0.24764312790791326
D0063,Response,RMSF7,RAMF9,0.23463228967018016
D0063,Response,RMSF7,RAMF10,0.26237217416588066
D0063,Response,RMSF7,RMMF9,0.34064580916092735
D0063,Response,RMSF7,RMMF10,0.30443792952147514
D0063,Response,RAMF8,RAMF9,0.6940493862802722
D0063,Response,RAMF8,RAMF10,0.40687698088518565
D0063,Response,RAMF8,RMMF9,0.23886114727340388
D0063,Response,RAMF8,RMMF10,0.23610510035252902
D0063,Response,RAMF9,RAMF10,0.5658283433656767
D0063,Response,RAMF9,RMMF9,0.2300781998675436
D0063,Response,RAMF9,RMMF10,0.22302477513638475
D0063,Response,RAMF10,RMMF9,0.2505013738478409
D0063,Response,RAMF10,RMMF10,0.25983317400976547
D0063,Response,RMMF9,RMMF10,0.72943863979515
