subject,event,ch1,ch2,coh_mean
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,ROF16,0.46941536541735324
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAI16,0.44120531448867434
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF11,0.4797452446717154
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF12,0.4668724799655182
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF13,0.46738214003103623
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF14,0.47008709733940557
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMMF13,0.4858886448609179
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMMF14,0.4858364693788025
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,LASF10,0.48931749229463406
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,LASF11,0.48428367472571515
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,LASF14,0.4766598340062187
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,LASF15,0.46575304110852095
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,LASF16,0.4870772757350805
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,LMSF5,0.4598668101881668
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,LMSF6,0.4631661631744935
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,LMSF12,0.47846561833188644
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,LPSF10,0.4987087599677738
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,LPSF12,0.48898575927883914
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RASF15,0.5262094452944328
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RASF16,0.5105240611047536
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMSF8,0.5009765170934937
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMSF9,0.4903851439922012
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMSF10,0.4881403911883768
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMSF11,0.48784666628801127
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMSF12,0.48767311230125815
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAI4,0.5121357302906856
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAI6,0.5080946576509782
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAI10,0.5035370136647301
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAI11,0.4610337250267815
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF8,0.474348133938379
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF9,0.46618757925970905
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RAMF10,0.4632834516473699
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMMF9,0.465065252105766
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMMF10,0.5003209192138738
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",RAI5,RMSF7,0.48542820706425843
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,RAI16,0.6182562294655283
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,RAMF11,0.5342610042785733
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,RAMF12,0.7796134148086922
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,RAMF13,0.7981416897891607
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,RAMF14,0.7983049440064918
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,RMMF13,0.5121578392996424
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,RMMF14,0.6276545631854898
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,LASF10,0.5000874819057242
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,LASF11,0.5017447259456076
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,LASF14,0.4983266830892822
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,LASF15,0.489694474439641
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,LASF16,0.6259093618244802
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,LMSF5,0.49340277863989834
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,LMSF6,0.48355179850063446
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,LMSF12,0.626038875187389
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,LPSF10,0.49292522468937355
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,LPSF12,0.6043535524757317
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,RASF15,0.4983325661676558
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,RASF16,0.6251285686736251
D0063,"Stimulus_c25.0_Accuracy1.0_(0.0, 0.5)",ROF16,RMSF8,0.4968099946179921
