subject,event,ch1,ch2,coh_mean
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,ROF16,0.538682094599511
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RAI16,0.538682094599511
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RAMF11,0.5694756413229605
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RAMF12,0.49761589970173653
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RAMF13,0.4877151718999439
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RAMF14,0.5071601788014387
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RMMF13,0.49773934630674055
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RMMF14,0.49407863153197257
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,LASF10,0.5126113429614927
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,LASF11,0.5123218463063354
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,LASF14,0.4822403435584298
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,LASF15,0.4931381304222451
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,LASF16,0.5050295049131798
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,LMSF5,0.4819130773856007
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,LMSF6,0.48849205748271757
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,LMSF12,0.4834006222387178
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,LPSF10,0.4829093884433562
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,LPSF12,0.5225972481427328
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RASF15,0.5226158303215221
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RASF16,0.5401915748978832
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RMSF8,0.5339122278638976
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RMSF9,0.6304538642906371
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RMSF10,0.5289390276146044
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RMSF11,0.48618886538064493
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RMSF12,0.5119125310856973
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RAI4,0.49807473498417204
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RAI6,0.5598846448292605
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RAI10,0.6350118239871122
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RAI11,0.5236329684380595
D0063,"stimulus_ci75_(-0.5, 0.0)",RAI5,RAMF8,0.5237421272796261
