subject,event,ch1,ch2,coh_mean
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,ROF16,0.494964042966941
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,RAI16,0.494964042966941
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,RAMF11,0.49508979303566425
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,RAMF12,0.5713897621023571
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,RAMF13,0.4890110799953217
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,RAMF14,0.5179536204994788
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,RMMF13,0.5117670480698948
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,RMMF14,0.49106640256740747
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,LASF10,0.4875604066134148
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,LASF11,0.5155922858277207
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,LASF14,0.5035421391155923
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,LASF15,0.5324511915447704
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,LASF16,0.49644267670862363
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,LMSF5,0.4786084536414954
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,LMSF6,0.49716762120671715
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,LMSF12,0.5396199904127958
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,LPSF10,0.508829757355122
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,LPSF12,0.5418910790646014
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,RASF15,0.5141520219874802
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,RASF16,0.4986815470391259
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,RMSF8,0.5018567176233844
D0063,"stimulus_ci75_(1.0, 1.5)",RAI5,RMSF9,0.5662569687776056
